id_keep,prot_id,genome
mix.component_32,EGR50061.1,GCA_000167675
mix.component_32,EGR50062.1,GCA_000167675
mix.component_32,EGR50063.1,GCA_000167675
mix.component_32,EGR50064.1,GCA_000167675
NRPS.component_29,EGR50058.1,GCA_000167675
NRPS.component_29,EGR50059.1,GCA_000167675
NRPS.component_29,EGR50060.1,GCA_000167675
NRPS.component_29,EGR50061.1,GCA_000167675
NRPS.component_29,EGR50062.1,GCA_000167675
NRPS.component_29,EGR50063.1,GCA_000167675
NRPS.component_29,EGR50064.1,GCA_000167675
PKS-NRP_Hybrids.component_12,EGR50058.1,GCA_000167675
PKS-NRP_Hybrids.component_12,EGR50059.1,GCA_000167675
PKS-NRP_Hybrids.component_12,EGR50060.1,GCA_000167675
PKS-NRP_Hybrids.component_12,EGR50061.1,GCA_000167675
PKS-NRP_Hybrids.component_12,EGR50062.1,GCA_000167675
PKS-NRP_Hybrids.component_12,EGR50063.1,GCA_000167675
PKS-NRP_Hybrids.component_12,EGR50064.1,GCA_000167675
PKSI.component_32,EGR50058.1,GCA_000167675
PKSI.component_32,EGR50059.1,GCA_000167675
PKSI.component_32,EGR50060.1,GCA_000167675
PKSI.component_32,EGR50061.1,GCA_000167675
PKSI.component_32,EGR50062.1,GCA_000167675
PKSI.component_32,EGR50063.1,GCA_000167675
PKSI.component_32,EGR50064.1,GCA_000167675
mix.component_130,EGR49687.1,GCA_000167675
mix.component_130,EGR49688.1,GCA_000167675
mix.component_130,EGR49689.1,GCA_000167675
mix.component_130,EGR49690.1,GCA_000167675
mix.component_130,EGR49691.1,GCA_000167675
mix.component_130,EGR49692.1,GCA_000167675
mix.component_130,EGR49693.1,GCA_000167675
mix.component_130,EGR49694.1,GCA_000167675
mix.component_130,EGR49695.1,GCA_000167675
mix.component_130,EGR49696.1,GCA_000167675
mix.component_130,EGR49697.1,GCA_000167675
mix.component_130,EGR49698.1,GCA_000167675
mix.component_130,EGR49699.1,GCA_000167675
NRPS.component_3,EGR49687.1,GCA_000167675
NRPS.component_3,EGR49688.1,GCA_000167675
NRPS.component_3,EGR49689.1,GCA_000167675
NRPS.component_3,EGR49690.1,GCA_000167675
NRPS.component_3,EGR49691.1,GCA_000167675
NRPS.component_3,EGR49692.1,GCA_000167675
NRPS.component_3,EGR49693.1,GCA_000167675
NRPS.component_3,EGR49694.1,GCA_000167675
NRPS.component_3,EGR49695.1,GCA_000167675
NRPS.component_3,EGR49696.1,GCA_000167675
NRPS.component_3,EGR49697.1,GCA_000167675
NRPS.component_3,EGR49698.1,GCA_000167675
NRPS.component_3,EGR49699.1,GCA_000167675
PKS-NRP_Hybrids.component_20,EGR49687.1,GCA_000167675
PKS-NRP_Hybrids.component_20,EGR49688.1,GCA_000167675
PKS-NRP_Hybrids.component_20,EGR49689.1,GCA_000167675
PKS-NRP_Hybrids.component_20,EGR49690.1,GCA_000167675
PKS-NRP_Hybrids.component_20,EGR49691.1,GCA_000167675
PKS-NRP_Hybrids.component_20,EGR49692.1,GCA_000167675
PKS-NRP_Hybrids.component_20,EGR49693.1,GCA_000167675
PKS-NRP_Hybrids.component_20,EGR49694.1,GCA_000167675
PKS-NRP_Hybrids.component_20,EGR49695.1,GCA_000167675
PKS-NRP_Hybrids.component_20,EGR49696.1,GCA_000167675
PKS-NRP_Hybrids.component_20,EGR49697.1,GCA_000167675
PKS-NRP_Hybrids.component_20,EGR49698.1,GCA_000167675
PKS-NRP_Hybrids.component_20,EGR49699.1,GCA_000167675
PKSI.component_57,EGR49687.1,GCA_000167675
PKSI.component_57,EGR49688.1,GCA_000167675
PKSI.component_57,EGR49689.1,GCA_000167675
PKSI.component_57,EGR49690.1,GCA_000167675
PKSI.component_57,EGR49691.1,GCA_000167675
PKSI.component_57,EGR49692.1,GCA_000167675
PKSI.component_57,EGR49693.1,GCA_000167675
PKSI.component_57,EGR49694.1,GCA_000167675
PKSI.component_57,EGR49695.1,GCA_000167675
PKSI.component_57,EGR49696.1,GCA_000167675
PKSI.component_57,EGR49697.1,GCA_000167675
PKSI.component_57,EGR49698.1,GCA_000167675
PKSI.component_57,EGR49699.1,GCA_000167675
mix.component_87,EGR49687.1,GCA_000167675
mix.component_87,EGR49688.1,GCA_000167675
mix.component_87,EGR49689.1,GCA_000167675
mix.component_87,EGR49690.1,GCA_000167675
Terpene.component_13,EGR49687.1,GCA_000167675
Terpene.component_13,EGR49688.1,GCA_000167675
Terpene.component_13,EGR49689.1,GCA_000167675
Terpene.component_13,EGR49690.1,GCA_000167675
mix.component_14,EGR49687.1,GCA_000167675
mix.component_14,EGR49688.1,GCA_000167675
mix.component_14,EGR49689.1,GCA_000167675
mix.component_14,EGR49690.1,GCA_000167675
mix.component_14,EGR49691.1,GCA_000167675
mix.component_14,EGR49692.1,GCA_000167675
mix.component_14,EGR49693.1,GCA_000167675
mix.component_14,EGR49694.1,GCA_000167675
PKSI.component_25,EGR49687.1,GCA_000167675
PKSI.component_25,EGR49688.1,GCA_000167675
PKSI.component_25,EGR49689.1,GCA_000167675
PKSI.component_25,EGR49690.1,GCA_000167675
PKSI.component_25,EGR49691.1,GCA_000167675
PKSI.component_25,EGR49692.1,GCA_000167675
PKSI.component_25,EGR49693.1,GCA_000167675
PKSI.component_25,EGR49694.1,GCA_000167675
mix.component_51,EGR49253.1,GCA_000167675
mix.component_51,EGR49254.1,GCA_000167675
mix.component_51,EGR49255.1,GCA_000167675
mix.component_51,EGR49256.1,GCA_000167675
mix.component_51,EGR49257.1,GCA_000167675
mix.component_51,EGR49258.1,GCA_000167675
mix.component_51,EGR49259.1,GCA_000167675
mix.component_51,EGR49260.1,GCA_000167675
PKSI.component_21,EGR49253.1,GCA_000167675
PKSI.component_21,EGR49254.1,GCA_000167675
PKSI.component_21,EGR49255.1,GCA_000167675
PKSI.component_21,EGR49256.1,GCA_000167675
PKSI.component_21,EGR49257.1,GCA_000167675
PKSI.component_21,EGR49258.1,GCA_000167675
PKSI.component_21,EGR49259.1,GCA_000167675
PKSI.component_21,EGR49260.1,GCA_000167675
mix.component_157,EGR49253.1,GCA_000167675
Terpene.component_27,EGR49253.1,GCA_000167675
mix.component_34,EGR49253.1,GCA_000167675
mix.component_34,EGR49254.1,GCA_000167675
mix.component_34,EGR49255.1,GCA_000167675
mix.component_34,EGR49256.1,GCA_000167675
mix.component_34,EGR49257.1,GCA_000167675
mix.component_34,EGR49258.1,GCA_000167675
mix.component_34,EGR49259.1,GCA_000167675
mix.component_34,EGR49260.1,GCA_000167675
PKSI.component_13,EGR49253.1,GCA_000167675
PKSI.component_13,EGR49254.1,GCA_000167675
PKSI.component_13,EGR49255.1,GCA_000167675
PKSI.component_13,EGR49256.1,GCA_000167675
PKSI.component_13,EGR49257.1,GCA_000167675
PKSI.component_13,EGR49258.1,GCA_000167675
PKSI.component_13,EGR49259.1,GCA_000167675
PKSI.component_13,EGR49260.1,GCA_000167675
mix.component_72,EGR49253.1,GCA_000167675
mix.component_72,EGR49254.1,GCA_000167675
mix.component_72,EGR49255.1,GCA_000167675
mix.component_72,EGR49256.1,GCA_000167675
mix.component_72,EGR49257.1,GCA_000167675
mix.component_72,EGR49258.1,GCA_000167675
mix.component_72,EGR49259.1,GCA_000167675
mix.component_72,EGR49260.1,GCA_000167675
NRPS.component_20,EGR49253.1,GCA_000167675
NRPS.component_20,EGR49254.1,GCA_000167675
NRPS.component_20,EGR49255.1,GCA_000167675
NRPS.component_20,EGR49256.1,GCA_000167675
NRPS.component_20,EGR49257.1,GCA_000167675
NRPS.component_20,EGR49258.1,GCA_000167675
NRPS.component_20,EGR49259.1,GCA_000167675
NRPS.component_20,EGR49260.1,GCA_000167675
mix.component_27,EGR48848.1,GCA_000167675
mix.component_27,EGR48849.1,GCA_000167675
mix.component_27,EGR48850.1,GCA_000167675
mix.component_27,EGR48851.1,GCA_000167675
mix.component_27,EGR48852.1,GCA_000167675
mix.component_27,EGR48853.1,GCA_000167675
mix.component_27,EGR48854.1,GCA_000167675
mix.component_27,EGR48855.1,GCA_000167675
mix.component_27,EGR48856.1,GCA_000167675
mix.component_27,EGR48857.1,GCA_000167675
mix.component_27,EGR48858.1,GCA_000167675
NRPS.component_24,EGR48848.1,GCA_000167675
NRPS.component_24,EGR48849.1,GCA_000167675
NRPS.component_24,EGR48850.1,GCA_000167675
NRPS.component_24,EGR48851.1,GCA_000167675
NRPS.component_24,EGR48852.1,GCA_000167675
NRPS.component_24,EGR48853.1,GCA_000167675
NRPS.component_24,EGR48854.1,GCA_000167675
NRPS.component_24,EGR48855.1,GCA_000167675
NRPS.component_24,EGR48856.1,GCA_000167675
NRPS.component_24,EGR48857.1,GCA_000167675
NRPS.component_24,EGR48858.1,GCA_000167675
mix.component_75,EGR48159.1,GCA_000167675
mix.component_75,EGR48160.1,GCA_000167675
mix.component_75,EGR48161.1,GCA_000167675
mix.component_75,EGR48162.1,GCA_000167675
mix.component_75,EGR48163.1,GCA_000167675
mix.component_75,EGR48164.1,GCA_000167675
mix.component_75,EGR48165.1,GCA_000167675
mix.component_75,EGR48166.1,GCA_000167675
Others.component_16,EGR48159.1,GCA_000167675
Others.component_16,EGR48160.1,GCA_000167675
Others.component_16,EGR48161.1,GCA_000167675
Others.component_16,EGR48162.1,GCA_000167675
Others.component_16,EGR48163.1,GCA_000167675
Others.component_16,EGR48164.1,GCA_000167675
Others.component_16,EGR48165.1,GCA_000167675
Others.component_16,EGR48166.1,GCA_000167675
mix.component_13,EGR47137.1,GCA_000167675
mix.component_13,EGR47138.1,GCA_000167675
mix.component_13,EGR47139.1,GCA_000167675
Terpene.component_2,EGR47137.1,GCA_000167675
Terpene.component_2,EGR47138.1,GCA_000167675
Terpene.component_2,EGR47139.1,GCA_000167675
mix.component_45,EGR46915.1,GCA_000167675
mix.component_45,EGR46916.1,GCA_000167675
mix.component_45,EGR46917.1,GCA_000167675
mix.component_45,EGR46918.1,GCA_000167675
mix.component_45,EGR46919.1,GCA_000167675
mix.component_45,EGR46920.1,GCA_000167675
mix.component_45,EGR46921.1,GCA_000167675
mix.component_45,EGR46922.1,GCA_000167675
mix.component_45,EGR46923.1,GCA_000167675
mix.component_45,EGR46924.1,GCA_000167675
PKSI.component_42,EGR46915.1,GCA_000167675
PKSI.component_42,EGR46916.1,GCA_000167675
PKSI.component_42,EGR46917.1,GCA_000167675
PKSI.component_42,EGR46918.1,GCA_000167675
PKSI.component_42,EGR46919.1,GCA_000167675
PKSI.component_42,EGR46920.1,GCA_000167675
PKSI.component_42,EGR46921.1,GCA_000167675
PKSI.component_42,EGR46922.1,GCA_000167675
PKSI.component_42,EGR46923.1,GCA_000167675
PKSI.component_42,EGR46924.1,GCA_000167675
mix.component_35,EGR46915.1,GCA_000167675
mix.component_35,EGR46916.1,GCA_000167675
mix.component_35,EGR46917.1,GCA_000167675
mix.component_35,EGR46918.1,GCA_000167675
mix.component_35,EGR46919.1,GCA_000167675
mix.component_35,EGR46920.1,GCA_000167675
mix.component_35,EGR46921.1,GCA_000167675
mix.component_35,EGR46922.1,GCA_000167675
mix.component_35,EGR46923.1,GCA_000167675
mix.component_35,EGR46924.1,GCA_000167675
PKSI.component_7,EGR46915.1,GCA_000167675
PKSI.component_7,EGR46916.1,GCA_000167675
PKSI.component_7,EGR46917.1,GCA_000167675
PKSI.component_7,EGR46918.1,GCA_000167675
PKSI.component_7,EGR46919.1,GCA_000167675
PKSI.component_7,EGR46920.1,GCA_000167675
PKSI.component_7,EGR46921.1,GCA_000167675
PKSI.component_7,EGR46922.1,GCA_000167675
PKSI.component_7,EGR46923.1,GCA_000167675
PKSI.component_7,EGR46924.1,GCA_000167675
mix.component_15,EGR46915.1,GCA_000167675
mix.component_15,EGR46916.1,GCA_000167675
mix.component_15,EGR46917.1,GCA_000167675
mix.component_15,EGR46918.1,GCA_000167675
Terpene.component_12,EGR46915.1,GCA_000167675
Terpene.component_12,EGR46916.1,GCA_000167675
Terpene.component_12,EGR46917.1,GCA_000167675
Terpene.component_12,EGR46918.1,GCA_000167675
mix.component_18,EGR46486.1,GCA_000167675
mix.component_18,EGR46487.1,GCA_000167675
mix.component_18,EGR46488.1,GCA_000167675
mix.component_18,EGR46489.1,GCA_000167675
mix.component_18,EGR46490.1,GCA_000167675
mix.component_18,EGR46491.1,GCA_000167675
mix.component_18,EGR46492.1,GCA_000167675
PKSI.component_11,EGR46486.1,GCA_000167675
PKSI.component_11,EGR46487.1,GCA_000167675
PKSI.component_11,EGR46488.1,GCA_000167675
PKSI.component_11,EGR46489.1,GCA_000167675
PKSI.component_11,EGR46490.1,GCA_000167675
PKSI.component_11,EGR46491.1,GCA_000167675
PKSI.component_11,EGR46492.1,GCA_000167675
mix.component_6,EGR45949.1,GCA_000167675
mix.component_6,EGR45950.1,GCA_000167675
mix.component_6,EGR45951.1,GCA_000167675
mix.component_6,EGR45952.1,GCA_000167675
mix.component_6,EGR45953.1,GCA_000167675
mix.component_6,EGR45954.1,GCA_000167675
mix.component_6,EGR45955.1,GCA_000167675
mix.component_6,EGR45956.1,GCA_000167675
NRPS.component_1,EGR45949.1,GCA_000167675
NRPS.component_1,EGR45950.1,GCA_000167675
NRPS.component_1,EGR45951.1,GCA_000167675
NRPS.component_1,EGR45952.1,GCA_000167675
NRPS.component_1,EGR45953.1,GCA_000167675
NRPS.component_1,EGR45954.1,GCA_000167675
NRPS.component_1,EGR45955.1,GCA_000167675
NRPS.component_1,EGR45956.1,GCA_000167675
mix.component_1,EGR45647.1,GCA_000167675
mix.component_1,EGR45648.1,GCA_000167675
mix.component_1,EGR45649.1,GCA_000167675
mix.component_1,EGR45650.1,GCA_000167675
Others.component_1,EGR45647.1,GCA_000167675
Others.component_1,EGR45648.1,GCA_000167675
Others.component_1,EGR45649.1,GCA_000167675
Others.component_1,EGR45650.1,GCA_000167675
mix.component_24,EGR45647.1,GCA_000167675
mix.component_24,EGR45648.1,GCA_000167675
Terpene.component_5,EGR45647.1,GCA_000167675
Terpene.component_5,EGR45648.1,GCA_000167675
mix.component_2,EGR45498.1,GCA_000167675
mix.component_2,EGR45499.1,GCA_000167675
mix.component_2,EGR45500.1,GCA_000167675
mix.component_2,EGR45501.1,GCA_000167675
mix.component_2,EGR45502.1,GCA_000167675
Terpene.component_1,EGR45498.1,GCA_000167675
Terpene.component_1,EGR45499.1,GCA_000167675
Terpene.component_1,EGR45500.1,GCA_000167675
Terpene.component_1,EGR45501.1,GCA_000167675
Terpene.component_1,EGR45502.1,GCA_000167675
mix.component_57,EGR45374.1,GCA_000167675
mix.component_57,EGR45375.1,GCA_000167675
mix.component_57,EGR45376.1,GCA_000167675
mix.component_57,EGR45377.1,GCA_000167675
mix.component_57,EGR45378.1,GCA_000167675
mix.component_57,EGR45379.1,GCA_000167675
mix.component_57,EGR45380.1,GCA_000167675
mix.component_57,EGR45381.1,GCA_000167675
mix.component_57,EGR45382.1,GCA_000167675
mix.component_57,EGR45383.1,GCA_000167675
mix.component_57,EGR45384.1,GCA_000167675
mix.component_57,EGR45385.1,GCA_000167675
mix.component_57,EGR45386.1,GCA_000167675
mix.component_57,EGR45387.1,GCA_000167675
NRPS.component_9,EGR45374.1,GCA_000167675
NRPS.component_9,EGR45375.1,GCA_000167675
NRPS.component_9,EGR45376.1,GCA_000167675
NRPS.component_9,EGR45377.1,GCA_000167675
NRPS.component_9,EGR45378.1,GCA_000167675
NRPS.component_9,EGR45379.1,GCA_000167675
NRPS.component_9,EGR45380.1,GCA_000167675
NRPS.component_9,EGR45381.1,GCA_000167675
NRPS.component_9,EGR45382.1,GCA_000167675
NRPS.component_9,EGR45383.1,GCA_000167675
NRPS.component_9,EGR45384.1,GCA_000167675
NRPS.component_9,EGR45385.1,GCA_000167675
NRPS.component_9,EGR45386.1,GCA_000167675
NRPS.component_9,EGR45387.1,GCA_000167675
PKS-NRP_Hybrids.component_4,EGR45374.1,GCA_000167675
PKS-NRP_Hybrids.component_4,EGR45375.1,GCA_000167675
PKS-NRP_Hybrids.component_4,EGR45376.1,GCA_000167675
PKS-NRP_Hybrids.component_4,EGR45377.1,GCA_000167675
PKS-NRP_Hybrids.component_4,EGR45378.1,GCA_000167675
PKS-NRP_Hybrids.component_4,EGR45379.1,GCA_000167675
PKS-NRP_Hybrids.component_4,EGR45380.1,GCA_000167675
PKS-NRP_Hybrids.component_4,EGR45381.1,GCA_000167675
PKS-NRP_Hybrids.component_4,EGR45382.1,GCA_000167675
PKS-NRP_Hybrids.component_4,EGR45383.1,GCA_000167675
PKS-NRP_Hybrids.component_4,EGR45384.1,GCA_000167675
PKS-NRP_Hybrids.component_4,EGR45385.1,GCA_000167675
PKS-NRP_Hybrids.component_4,EGR45386.1,GCA_000167675
PKS-NRP_Hybrids.component_4,EGR45387.1,GCA_000167675
PKSI.component_17,EGR45374.1,GCA_000167675
PKSI.component_17,EGR45375.1,GCA_000167675
PKSI.component_17,EGR45376.1,GCA_000167675
PKSI.component_17,EGR45377.1,GCA_000167675
PKSI.component_17,EGR45378.1,GCA_000167675
PKSI.component_17,EGR45379.1,GCA_000167675
PKSI.component_17,EGR45380.1,GCA_000167675
PKSI.component_17,EGR45381.1,GCA_000167675
PKSI.component_17,EGR45382.1,GCA_000167675
PKSI.component_17,EGR45383.1,GCA_000167675
PKSI.component_17,EGR45384.1,GCA_000167675
PKSI.component_17,EGR45385.1,GCA_000167675
PKSI.component_17,EGR45386.1,GCA_000167675
PKSI.component_17,EGR45387.1,GCA_000167675
mix.component_52,EGR45374.1,GCA_000167675
mix.component_52,EGR45375.1,GCA_000167675
Terpene.component_8,EGR45374.1,GCA_000167675
Terpene.component_8,EGR45375.1,GCA_000167675
mix.component_53,EGR45146.1,GCA_000167675
mix.component_53,EGR45147.1,GCA_000167675
mix.component_53,EGR45148.1,GCA_000167675
mix.component_53,EGR45149.1,GCA_000167675
mix.component_53,EGR45150.1,GCA_000167675
mix.component_53,EGR45151.1,GCA_000167675
mix.component_53,EGR45152.1,GCA_000167675
mix.component_53,EGR45153.1,GCA_000167675
mix.component_53,EGR45154.1,GCA_000167675
mix.component_53,EGR45155.1,GCA_000167675
mix.component_53,EGR45156.1,GCA_000167675
mix.component_53,EGR45157.1,GCA_000167675
mix.component_53,EGR45158.1,GCA_000167675
mix.component_53,EGR45159.1,GCA_000167675
mix.component_53,EGR45160.1,GCA_000167675
NRPS.component_42,EGR45146.1,GCA_000167675
NRPS.component_42,EGR45147.1,GCA_000167675
NRPS.component_42,EGR45148.1,GCA_000167675
NRPS.component_42,EGR45149.1,GCA_000167675
NRPS.component_42,EGR45150.1,GCA_000167675
NRPS.component_42,EGR45151.1,GCA_000167675
NRPS.component_42,EGR45152.1,GCA_000167675
NRPS.component_42,EGR45153.1,GCA_000167675
NRPS.component_42,EGR45154.1,GCA_000167675
NRPS.component_42,EGR45155.1,GCA_000167675
NRPS.component_42,EGR45156.1,GCA_000167675
NRPS.component_42,EGR45157.1,GCA_000167675
NRPS.component_42,EGR45158.1,GCA_000167675
NRPS.component_42,EGR45159.1,GCA_000167675
NRPS.component_42,EGR45160.1,GCA_000167675
PKS-NRP_Hybrids.component_7,EGR45146.1,GCA_000167675
PKS-NRP_Hybrids.component_7,EGR45147.1,GCA_000167675
PKS-NRP_Hybrids.component_7,EGR45148.1,GCA_000167675
PKS-NRP_Hybrids.component_7,EGR45149.1,GCA_000167675
PKS-NRP_Hybrids.component_7,EGR45150.1,GCA_000167675
PKS-NRP_Hybrids.component_7,EGR45151.1,GCA_000167675
PKS-NRP_Hybrids.component_7,EGR45152.1,GCA_000167675
PKS-NRP_Hybrids.component_7,EGR45153.1,GCA_000167675
PKS-NRP_Hybrids.component_7,EGR45154.1,GCA_000167675
PKS-NRP_Hybrids.component_7,EGR45155.1,GCA_000167675
PKS-NRP_Hybrids.component_7,EGR45156.1,GCA_000167675
PKS-NRP_Hybrids.component_7,EGR45157.1,GCA_000167675
PKS-NRP_Hybrids.component_7,EGR45158.1,GCA_000167675
PKS-NRP_Hybrids.component_7,EGR45159.1,GCA_000167675
PKS-NRP_Hybrids.component_7,EGR45160.1,GCA_000167675
PKSI.component_26,EGR45146.1,GCA_000167675
PKSI.component_26,EGR45147.1,GCA_000167675
PKSI.component_26,EGR45148.1,GCA_000167675
PKSI.component_26,EGR45149.1,GCA_000167675
PKSI.component_26,EGR45150.1,GCA_000167675
PKSI.component_26,EGR45151.1,GCA_000167675
PKSI.component_26,EGR45152.1,GCA_000167675
PKSI.component_26,EGR45153.1,GCA_000167675
PKSI.component_26,EGR45154.1,GCA_000167675
PKSI.component_26,EGR45155.1,GCA_000167675
PKSI.component_26,EGR45156.1,GCA_000167675
PKSI.component_26,EGR45157.1,GCA_000167675
PKSI.component_26,EGR45158.1,GCA_000167675
PKSI.component_26,EGR45159.1,GCA_000167675
PKSI.component_26,EGR45160.1,GCA_000167675
mix.component_63,EGR44775.1,GCA_000167675
mix.component_63,EGR44776.1,GCA_000167675
mix.component_63,EGR44777.1,GCA_000167675
mix.component_63,EGR44778.1,GCA_000167675
mix.component_63,EGR44779.1,GCA_000167675
PKSI.component_2,EGR44775.1,GCA_000167675
PKSI.component_2,EGR44776.1,GCA_000167675
PKSI.component_2,EGR44777.1,GCA_000167675
PKSI.component_2,EGR44778.1,GCA_000167675
PKSI.component_2,EGR44779.1,GCA_000167675
mix.component_42,EGR44624.1,GCA_000167675
mix.component_42,EGR44625.1,GCA_000167675
mix.component_42,EGR44626.1,GCA_000167675
mix.component_42,EGR44627.1,GCA_000167675
mix.component_42,EGR44628.1,GCA_000167675
mix.component_42,EGR44629.1,GCA_000167675
mix.component_42,EGR44630.1,GCA_000167675
mix.component_42,EGR44631.1,GCA_000167675
NRPS.component_4,EGR44624.1,GCA_000167675
NRPS.component_4,EGR44625.1,GCA_000167675
NRPS.component_4,EGR44626.1,GCA_000167675
NRPS.component_4,EGR44627.1,GCA_000167675
NRPS.component_4,EGR44628.1,GCA_000167675
NRPS.component_4,EGR44629.1,GCA_000167675
NRPS.component_4,EGR44630.1,GCA_000167675
NRPS.component_4,EGR44631.1,GCA_000167675
mix.component_7,EGR44624.1,GCA_000167675
mix.component_7,EGR44625.1,GCA_000167675
mix.component_7,EGR44626.1,GCA_000167675
Terpene.component_10,EGR44624.1,GCA_000167675
Terpene.component_10,EGR44625.1,GCA_000167675
Terpene.component_10,EGR44626.1,GCA_000167675
mix.component_19,EGR44504.1,GCA_000167675
mix.component_19,EGR44505.1,GCA_000167675
mix.component_19,EGR44506.1,GCA_000167675
mix.component_19,EGR44507.1,GCA_000167675
mix.component_19,EGR44508.1,GCA_000167675
mix.component_19,EGR44509.1,GCA_000167675
mix.component_19,EGR44510.1,GCA_000167675
PKSI.component_33,EGR44504.1,GCA_000167675
PKSI.component_33,EGR44505.1,GCA_000167675
PKSI.component_33,EGR44506.1,GCA_000167675
PKSI.component_33,EGR44507.1,GCA_000167675
PKSI.component_33,EGR44508.1,GCA_000167675
PKSI.component_33,EGR44509.1,GCA_000167675
PKSI.component_33,EGR44510.1,GCA_000167675
mix.component_70,EGR44120.1,GCA_000167675
mix.component_70,EGR44121.1,GCA_000167675
mix.component_70,EGR44122.1,GCA_000167675
mix.component_70,EGR44123.1,GCA_000167675
mix.component_70,EGR44124.1,GCA_000167675
mix.component_70,EGR44125.1,GCA_000167675
mix.component_70,EGR44126.1,GCA_000167675
NRPS.component_7,EGR44120.1,GCA_000167675
NRPS.component_7,EGR44121.1,GCA_000167675
NRPS.component_7,EGR44122.1,GCA_000167675
NRPS.component_7,EGR44123.1,GCA_000167675
NRPS.component_7,EGR44124.1,GCA_000167675
NRPS.component_7,EGR44125.1,GCA_000167675
NRPS.component_7,EGR44126.1,GCA_000167675
mix.component_151,EGR44076.1,GCA_000167675
mix.component_151,EGR44077.1,GCA_000167675
mix.component_151,EGR44078.1,GCA_000167675
mix.component_151,EGR44079.1,GCA_000167675
mix.component_151,EGR44080.1,GCA_000167675
Others.component_28,EGR44076.1,GCA_000167675
Others.component_28,EGR44077.1,GCA_000167675
Others.component_28,EGR44078.1,GCA_000167675
Others.component_28,EGR44079.1,GCA_000167675
Others.component_28,EGR44080.1,GCA_000167675
mix.component_24,EHK15215.1,GCA_000170995
mix.component_24,EHK15216.1,GCA_000170995
mix.component_24,EHK15217.1,GCA_000170995
mix.component_24,EHK15218.1,GCA_000170995
Terpene.component_5,EHK15215.1,GCA_000170995
Terpene.component_5,EHK15216.1,GCA_000170995
Terpene.component_5,EHK15217.1,GCA_000170995
Terpene.component_5,EHK15218.1,GCA_000170995
mix.component_1,EHK15215.1,GCA_000170995
mix.component_1,EHK15216.1,GCA_000170995
mix.component_1,EHK15217.1,GCA_000170995
mix.component_1,EHK15218.1,GCA_000170995
mix.component_1,EHK15219.1,GCA_000170995
mix.component_1,EHK15220.1,GCA_000170995
mix.component_1,EHK15221.1,GCA_000170995
mix.component_1,EHK15226.1,GCA_000170995
Others.component_1,EHK15215.1,GCA_000170995
Others.component_1,EHK15216.1,GCA_000170995
Others.component_1,EHK15217.1,GCA_000170995
Others.component_1,EHK15218.1,GCA_000170995
Others.component_1,EHK15219.1,GCA_000170995
Others.component_1,EHK15220.1,GCA_000170995
