cazy_base,MDS1,MDS2,interest,cazy_description
GH13_25,0.006864904056568582,-0.026537647902883328,FALSE,NA
GH13_3,0.3634229306616152,0.29719072856075723,TRUE,NA
GH13_40,0.006864904056568582,-0.026537647902883328,FALSE,NA
GH13_8,0.006864904056568582,-0.026537647902883328,FALSE,NA
GH132,0.13338541690953068,-0.005154667936565141,FALSE,"Activity on beta-1,3-glucan (curdlan) shown for the Aspergillus fumigatus Sun4 protein; activity on laminarioligosaccharides shown for Aspergillus fumigatus Sun4 protein and Candida albicans Sun41 protein; transglycosylation activity reported in PMID 23508952."
GH133,0.13338541690953068,-0.005154667936565141,FALSE,"amylo-alpha-1,6-glucosidase (EC 3.2.1.33);"
GH134,-0.9352529255368729,0.7175756625176449,FALSE,"endo-beta-1,4-mannanase (EC 3.2.1.78);"
GH142,-0.9092056700243842,0.3562084793758546,FALSE,beta-L-arabinofuranosidase (EC 3.2.1.185)
GH15,-0.16698990295521526,-0.06275562964529069,FALSE,"glucoamylase (EC 3.2.1.3); glucodextranase (EC 3.2.1.70); alpha,alpha-trehalase (EC 3.2.1.28); dextran dextrinase (EC 2.4.1.2)"
GH16,0.09895341306223425,-6.812846678557461e-4,FALSE,"xyloglucan:xyloglucosyltransferase (EC 2.4.1.207); keratan-sulfate endo-1,4-beta-galactosidase (EC 3.2.1.103); endo-1,3-beta-glucanase (EC 3.2.1.39); endo-1,3(4)-beta-glucanase (EC 3.2.1.6); licheninase (EC 3.2.1.73); beta-agarase (EC 3.2.1.81); kappa;-carrageenase (EC 3.2.1.83); xyloglucanase (EC 3.2.1.151); endo-beta-1,3-galactanase (EC 3.2.1.181); beta-porphyranase (EC 3.2.1.178); hyaluronidase (EC 3.2.1.35); endo-beta-1,4-galactosidase (EC 3.2.1.-); chitin beta-1,6-glucanosyltransferase (EC 2.4.1.-); endo-beta-1,4-galactosidase (EC 3.2.1.-)"
GH17,0.12247266006048844,-0.02132152878408312,FALSE,"glucan endo-1,3-beta-glucosidase (EC 3.2.1.39); glucan 1,3-beta-glucosidase (EC 3.2.1.58); licheninase (EC 3.2.1.73); ABA-specific beta-glucosidase (EC 3.2.1.175); beta-1,3-glucanosyltransglycosylase (EC 2.4.1.-)"
GH18,0.025995985260624913,-0.03802770999154914,TRUE,chitinase (EC 3.2.1.14); lysozyme (EC 3.2.1.17); endo-beta-N-acetylglucosaminidase (EC 3.2.1.96); peptidoglycan hydrolase with endo-beta-N-acetylglucosaminidase specificity (EC 3.2.1.-); Nod factor hydrolase (EC 3.2.1.-); xylanase inhibitor; concanavalin B; narbonin
GH19,0.1476268343269247,0.14986390800271643,FALSE,chitinase (EC 3.2.1.14); lysozyme (EC 3.2.1.17)
GH2,-0.13995521967791938,0.011645583670981867,TRUE,beta-galactosidase (EC 3.2.1.23) ; beta-mannosidase (EC 3.2.1.25); beta-glucuronidase (EC 3.2.1.31); alpha-L-arabinofuranosidase (EC 3.2.1.55); mannosylglycoprotein endo-beta-mannosidase (EC 3.2.1.152); exo-beta-glucosaminidase (EC 3.2.1.165); alpha-L-arabinopyranosidase (EC 3.2.1.-); beta-galacturonidase (EC 3.2.1.-)
GH20,-0.03636382259111613,-0.054093254873841756,FALSE,"beta-hexosaminidase (EC 3.2.1.52); lacto-N-biosidase (EC 3.2.1.140); beta-1,6-N-acetylglucosaminidase) (EC 3.2.1.-); beta-6-SO3-N-acetylglucosaminidase (EC 3.2.1.-)"
GH23,0.22049617728135734,0.04852367571960628,FALSE,lysozyme type G (EC 3.2.1.17); peptidoglycan lyase (EC 4.2.2.n1) also known in the literature as peptidoglycan lytic transglycosylase; chitinase (EC 3.2.1.14)
GH24,-0.7138676516797521,-0.4314842435056024,FALSE,lysozyme (EC 3.2.1.17)
GH25,-0.48033863959977346,-0.14893885151583816,FALSE,lysozyme (EC 3.2.1.17)
GH26,-0.9038341325530312,0.2373135384911693,FALSE,"beta-mannanase (EC 3.2.1.78); exo-beta-1,4-mannobiohydrolase (EC 3.2.1.100); beta-1,3-xylanase (EC 3.2.1.32); lichenase / endo-beta-1,3-1,4-glucanase (EC 3.2.1.73); mannobiose-producing exo-beta-mannanase (EC 3.2.1.-)"
GH27,-0.7538597846700453,-0.0308655839615478,TRUE,alpha-galactosidase (EC 3.2.1.22); alpha-N-acetylgalactosaminidase (EC 3.2.1.49); isomalto-dextranase (EC 3.2.1.94); beta-L-arabinopyranosidase (EC 3.2.1.88); galactan:galactan galactosyltransferase (EC 2.4.1.-)
GH28,-0.06962086464797781,0.021363329186968108,FALSE,"polygalacturonase (EC 3.2.1.15); alpha-L-rhamnosidase (EC 3.2.1.40); exo-polygalacturonase (EC 3.2.1.67); exo-polygalacturonosidase (EC 3.2.1.82); rhamnogalacturonase (EC 3.2.1.171); rhamnogalacturonan alpha-1,2-galacturonohydrolase (EC 3.2.1.173); endo-xylogalacturonan hydrolase (EC 3.2.1.-)"
GH29,0.44653929527404085,0.1146315820596994,FALSE,"alpha-L-fucosidase (EC 3.2.1.51); alpha-1,3/1,4-L-fucosidase (EC 3.2.1.111)"
GH3,0.07972935075501839,0.00834714483349606,FALSE,"beta-glucosidase (EC 3.2.1.21); xylan 1,4-beta-xylosidase (EC 3.2.1.37); beta-glucosylceramidase (EC 3.2.1.45); beta-N-acetylhexosaminidase (EC 3.2.1.52); alpha-L-arabinofuranosidase (EC 3.2.1.55); glucan 1,3-beta-glucosidase (EC 3.2.1.58); glucan 1,4-beta-glucosidase (EC 3.2.1.74); isoprimeverose-producing oligoxyloglucan hydrolase (EC 3.2.1.120); coniferin beta-glucosidase (EC 3.2.1.126); exo-1,3-1,4-glucanase (EC 3.2.1.-); beta-N-acetylglucosaminide phosphorylases (EC 2.4.1.-)"
GH30,-0.32509648611291997,0.014588042875832553,FALSE,"endo-beta-1,4-xylanase (EC 3.2.1.8); beta-glucosidase (3.2.1.21); beta-glucuronidase (EC 3.2.1.31); beta-xylosidase (EC 3.2.1.37); beta-fucosidase (EC 3.2.1.38); glucosylceramidase (EC 3.2.1.45); beta-1,6-glucanase (EC 3.2.1.75); glucuronoarabinoxylan endo-beta-1,4-xylanase (EC 3.2.1.136); endo-beta-1,6-galactanase (EC:3.2.1.164); [reducing end] beta-xylosidase (EC 3.2.1.-)"
GH30_3,-0.3655156104078617,0.013155113141191572,FALSE,NA
GH30_5,-0.8520290482753374,0.1497698146503193,TRUE,NA
GH30_7,-0.8518045970315457,0.1397809913159525,FALSE,NA
GH31,0.11819862726924796,0.01834904179483734,FALSE,"alpha-glucosidase (EC 3.2.1.20); alpha-galactosidase (EC 3.2.1.22); alpha-mannosidase (EC 3.2.1.24); alpha-1,3-glucosidase (EC 3.2.1.84); sucrase-isomaltase (EC 3.2.1.48) (EC 3.2.1.10); alpha-xylosidase (EC 3.2.1.177); alpha-glucan lyase (EC 4.2.2.13); isomaltosyltransferase (EC 2.4.1.-); oligosaccharide alpha-1,4-glucosyltransferase (EC 2.4.1.161); sulfoquinovosidase (EC 3.2.1.-)"
GH32,-0.5484111676109046,-0.12667714850131548,FALSE,"invertase (EC 3.2.1.26); endo-inulinase (EC 3.2.1.7); beta-2,6-fructan 6-levanbiohydrolase (EC 3.2.1.64); endo-levanase (EC 3.2.1.65); exo-inulinase (EC 3.2.1.80); fructan beta-(2,1)-fructosidase/1-exohydrolase (EC 3.2.1.153); fructan beta-(2,6)-fructosidase/6-exohydrolase (EC 3.2.1.154); sucrose:sucrose 1-fructosyltransferase (EC 2.4.1.99); fructan:fructan 1-fructosyltransferase (EC 2.4.1.100); sucrose:fructan 6-fructosyltransferase (EC 2.4.1.10); fructan:fructan 6G-fructosyltransferase (EC 2.4.1.243); levan fructosyltransferase (EC 2.4.1.-); [retaining] sucrose:sucrose 6-fructosyltransferase (6-SST) (EC 2.4.1.-); cycloinulo-oligosaccharide fructanotransferase (EC 2.4.1.-)"
GH33,-0.09421205579292867,-0.07692790387945524,FALSE,sialidase or neuraminidase (EC 3.2.1.18); trans-sialidase (EC 2.4.1.-); anhydrosialidase (EC 4.2.2.15); Kdo hydrolase (EC 3.2.1.-); 2-keto-3-deoxynononic acid hydrolase / KDNase (EC 3.2.1.-)
GH35,0.10889582692393694,-0.03825311767295767,FALSE,"beta-galactosidase (EC 3.2.1.23); exo-beta-glucosaminidase (EC 3.2.1.165); exo-beta-1,4-galactanase (EC 3.2.1.-); beta-1,3-galactosidase (EC 3.2.1.-)"
GH36,0.119373552048295,0.0012594477092933668,FALSE,alpha-galactosidase (EC 3.2.1.22); alpha-N-acetylgalactosaminidase (EC 3.2.1.49); stachyose synthase (EC 2.4.1.67); raffinose synthase (EC 2.4.1.82)
GH37,-0.038306672416986376,-0.03853908902544747,FALSE,"alpha,alpha-trehalase (EC 3.2.1.28)."
GH38,0.08641064636163812,0.0057784963177556405,FALSE,"alpha-mannosidase (EC 3.2.1.24); mannosyl-oligosaccharide alpha-1,2-mannosidase (EC 3.2.1.113); mannosyl-oligosaccharide alpha-1,3-1,6-mannosidase (EC 3.2.1.114); alpha-2-O-mannosylglycerate hydrolase (EC 3.2.1.170); mannosyl-oligosaccharide alpha-1,3-mannosidase (EC 3.2.1.-)"
GH39,-0.8390053427251449,0.03485390743351834,FALSE,alpha-L-iduronidase (EC 3.2.1.76); beta-xylosidase (EC 3.2.1.37).
GH4,-0.9293739695036144,0.22158469204365025,FALSE,maltose-6-phosphate glucosidase (EC 3.2.1.122); alpha-glucosidase (EC 3.2.1.20); alpha-galactosidase (EC 3.2.1.22); 6-phospho-beta-glucosidase (EC 3.2.1.86); alpha-glucuronidase (EC 3.2.1.139); alpha-galacturonase (EC 3.2.1.67); palatinase (EC 3.2.1.-)
GH43,-0.16292492987811463,0.033806305832994266,TRUE,"beta-xylosidase (EC 3.2.1.37); alpha-L-arabinofuranosidase (EC 3.2.1.55); arabinanase (EC 3.2.1.99); xylanase (EC 3.2.1.8); galactan 1,3-beta-galactosidase  (EC 3.2.1.145); alpha-1,2-L-arabinofuranosidase (EC 3.2.1.-); exo-alpha-1,5-L-arabinofuranosidase (EC 3.2.1.-); [inverting] exo-alpha-1,5-L-arabinanase (EC 3.2.1.-); beta-1,3-xylosidase (EC 3.2.1.-)"
GH43_11,-0.8337851403480413,0.09018166717707819,TRUE,NA
GH43_13,-0.9038341325530312,0.2373135384911693,TRUE,NA
GH43_14,-0.8561450287693831,0.21374188734116745,TRUE,NA
GH43_21,-0.20269385901875586,0.03457995044196017,TRUE,NA
GH43_24,-0.9182823114586642,0.5933363039693732,TRUE,NA
GH43_29,-0.9227900502207289,0.44902967003458993,TRUE,NA
GH43_30,-0.895438574266561,0.3122216350683209,TRUE,NA
GH43_34,-0.17540058747864323,0.027563487876263105,TRUE,NA
GH43_36,-0.5205338840504925,0.2587322303915909,TRUE,NA
GH45,-0.5775615902243837,-0.02196549165654574,FALSE,endoglucanase (EC 3.2.1.4)
GH47,0.12071869156548692,-0.012370293475420803,FALSE,alpha-mannosidase (EC 3.2.1.113)
GH49,0.3616669157264475,0.01584306077647195,FALSE,"dextranase (EC 3.2.1.11); isopullulanase (EC 3.2.1.57); dextran 1,6-alpha-isomaltotriosidase (EC 3.2.1.95)."
GH5,-0.02134488086836433,0.017049222576538,TRUE,"endo-beta-1,4-glucanase / cellulase (EC 3.2.1.4); endo-beta-1,4-xylanase (EC 3.2.1.8); beta-glucosidase (EC 3.2.1.21); beta-mannosidase (EC 3.2.1.25); beta-glucosylceramidase (EC 3.2.1.45); glucan beta-1,3-glucosidase (EC 3.2.1.58); licheninase (EC 3.2.1.73); exo-beta-1,4-glucanase / cellodextrinase (EC 3.2.1.74); glucan endo-1,6-beta-glucosidase (EC 3.2.1.75); mannan endo-beta-1,4-mannosidase (EC 3.2.1.78); cellulose beta-1,4-cellobiosidase (EC 3.2.1.91); steryl beta-glucosidase (EC 3.2.1.104); endoglycoceramidase (EC 3.2.1.123); chitosanase (EC 3.2.1.132); beta-primeverosidase (EC 3.2.1.149); xyloglucan-specific endo-beta-1,4-glucanase (EC 3.2.1.151); endo-beta-1,6-galactanase (EC 3.2.1.164); hesperidin 6-O-alpha-L-rhamnosyl-beta-glucosidase (EC 3.2.1.168); beta-1,3-mannanase (EC 3.2.1.-); arabinoxylan-specific endo-beta-1,4-xylanase (EC 3.2.1.-); mannan transglycosylase (EC 2.4.1.-)"
GH5_12,-0.02134488086836433,0.017049222576538,TRUE,NA
