Orthogroup,tool,combined_annot,pa_Lower,pa_Coral,pa_Higher,pa_Leafcutter,pa_AllOutgroup
OG0000032,led,"abH08,abH07",1,1,1,1,1
OG0000032,MEROPS,"MER0087541-familyS33unassignedpeptidases(Aspergillusclavatus)[S33.UPW]#S33#{peptidaseunit:60-599}~sourceEAW12345~,MER0093089-familyS33unassignedpeptidases(Aspergillusniger)[S33.UPW]#S33#{peptidaseunit:69-561}~sourceCAK41306~,MER0210192-familyS33unassignedpeptidases(Aspergillusterreus)[S33.UPW]#S33#{peptidaseunit:61-520}~sourceXP_001215786~,MER0064109-familyS33unassignedpeptidases(Gibberellazeae)[S33.UPW]#S33#{peptidaseunit:2-525}~sourceXP_386901~,MER0215489-familyS33non-peptidasehomologues(Neosartoryafischeri)[S33.UNW]#S33#{peptidaseunit:33-512}~sourceXP_001266560~,MER0624751-familyS33unassignedpeptidases(Gibberellazeae)[S33.UPW]#S33#{peptidaseunit:60-522}~sourceXP_383113~,MER0032162-familyS33unassignedpeptidases(Emericellanidulans)[S33.UPW]#S33#{peptidaseunit:66-613}~sourceEAA67120~,MER0625804-familyS33unassignedpeptidases(Thielaviaterrestris)[S33.UPW]#S33#{peptidaseunit:66-549}~sourceXP_003654669~,MER0032723-familyS33non-peptidasehomologues(Aspergillusoryzae)[S33.UNW]#S33#{peptidaseunit:52-478}~sourceAO070335000159~,MER0625945-familyS33unassignedpeptidases(Magnaportheoryzae)[S33.UPW]#S33#{peptidaseunit:37-509}~sourceXP_003718525~,MER0626149-familyS33unassignedpeptidases(Aspergillusniger)[S33.UPW]#S33#{peptidaseunit:27-500}~sourceXP_001396398~,MER0032758-familyS33unassignedpeptidases(Aspergillusoryzae)[S33.UPW]#S33#{peptidaseunit:28-344}~sourceAO070330000100~",1,1,1,1,1
OG0000039,led,"abH33,abH09",1,1,1,1,1
OG0000040,MEROPS,MER0161332-familyC56non-peptidasehomologues(Talaromycesstipitatus)[C56.UNW]#C56#{peptidaseunit:112-218}~sourceEED15519~,1,1,1,1,1
OG0000041,led,abH36,1,1,1,1,1
OG0000042,led,abH16,1,1,1,1,1
OG0000044,led,abH07,1,1,1,0,1
OG0000045,led,abH34,1,1,1,1,1
OG0000048,cazy,CBM66,1,1,1,1,1
OG0000048,led,abH08,1,1,1,1,1
OG0000048,MEROPS,MER0209297-familyS33non-peptidasehomologues(Cupriavidusnecator)[S33.UNW]#S33#{peptidaseunit:10-305}~sourceYP_726037~,1,1,1,1,1
OG0000049,led,"abH07,abH08,abH09,abH11,abH31,abH20,abH14,abH38,abH04,abH13,abH21,abH22",1,1,1,1,1
OG0000049,MEROPS,"MER0108414-At4g36530({Arabidopsisthaliana})(Burkholderiamultivorans)[S33.A01]#S33#{peptidaseunit:8-275}~sourceBAG45214~,MER0060272-familyS33unassignedpeptidases(Gibberellazeae)[S33.UPW]#S33#{peptidaseunit:1-279}~sourceXP_381835~,MER0244887-familyS33unassignedpeptidases(Burkholderiagladioli)[S33.UPW]#S33#{peptidaseunit:8-275}~sourceYP_004350627~,MER0035349-familyS33unassignedpeptidases(Mesorhizobiumloti)[S33.UPW]#S33#{peptidaseunit:1-278}~sourceQ98KT6~,MER0284977-familyS33unassignedpeptidases(Streptomycesbingchenggensis)[S33.UPW]#S33#{peptidaseunit:8-275}~sourceYP_004968009~,MER0100377-familyS33unassignedpeptidases(Beijerinckiaindica)[S33.UPW]#S33#{peptidaseunit:3-273}~sourceACB95453~,MER0112045-At4g36530({Arabidopsisthaliana})(Burkholderiacenocepacia)[S33.A01]#S33#{peptidaseunit:10-275}~sourceCAR57010~,MER0214316-familyS33non-peptidasehomologues(Ustilagomaydis)[S33.UNW]#S33#{peptidaseunit:77-360}~sourceXP_758649~,MER0239889-familyS33unassignedpeptidases(Stigmatellaaurantiaca)[S33.UPW]#S33#{peptidaseunit:2-272}~sourceYP_003957002~,MER0238014-familyS33unassignedpeptidases(Bacillusamyloliquefaciens)[S33.UPW]#S33#{peptidaseunit:10-271}~sourceYP_003922487~,MER0508292-familyS33unassignedpeptidases(Streptomyceshygroscopicus)[S33.UPW]#S33#{peptidaseunit:30-276}~sourceYP_007689690~",1,1,1,1,1
OG0000050,MEROPS,MER0203392-familyS9non-peptidasehomologues(Bacillusmegaterium)[S09.UNW]#S09X#{peptidaseunit:21-307}~sourceADE68844~,1,1,1,1,1
OG0000056,led,abH08,1,1,1,1,1
OG0000057,led,abH27,1,1,1,1,1
OG0000058,cazy,GH18,1,1,1,1,1
OG0000059,led,abH08,1,1,1,1,1
OG0000061,led,abH09,1,1,1,1,1
OG0000061,MEROPS,MER1360781-familyA31non-peptidasehomologues(Thecamonastrahens)[A31.UNW]#A31#{peptidaseunit:181-256}~sourceXP_013753081~,1,1,1,1,1
OG0000062,led,abH08,1,1,1,1,1
OG0000062,MEROPS,MER0152877-familyS9non-peptidasehomologues(Scheffersomycesstipitis)[S09.UNW]#S09X#{peptidaseunit:63-286}~sourceABN64716~,1,1,1,1,1
OG0000064,led,abH04,1,1,1,1,1
OG0000067,led,"abH08,abH07,abH31",1,1,1,1,1
OG0000068,led,"abH09,abH01",1,1,1,1,1
OG0000072,led,"abH36,abH16",1,1,1,1,1
OG0000074,led,"abH05,abH08",1,1,1,1,1
OG0000079,cazy,AA11,1,1,1,1,1
OG0000082,led,abH09,1,1,1,1,1
OG0000085,MEROPS,"MER0125657-subfamilyC14Bunassignedpeptidases(Sclerotiniasclerotiorum)[C14.UPB]#C14B#{peptidaseunit:112-424}~sourceEDN95117~,MER0280099-subfamilyC14Bunassignedpeptidases(Metarhiziumanisopliae)[C14.UPB]#C14B#{peptidaseunit:135-455}~sourceEFY94758~,MER0279653-subfamilyC14Bunassignedpeptidases(Trichodermareesei)[C14.UPB]#C14B#{peptidaseunit:1-316}~sourceEGR46784~,MER0039472-subfamilyC14Bunassignedpeptidases(Podosporaanserina)[C14.UPB]#C14B#{peptidaseunit:107-419}~sourceXP_001929768~,MER0039477-subfamilyC14Bunassignedpeptidases(Gibberellazeae)[C14.UPB]#C14B#{peptidaseunit:71-400}~sourceEAA77044~",1,1,1,1,1
OG0000088,led,abH09,1,1,1,1,1
OG0000088,MEROPS,"MER0983815-subfamilyS8Anon-peptidasehomologues(Caproniacoronata)[S08.UNA]#S08A#{peptidaseunit:423-641}~sourceW9Z0H1~,MER0263582-familyM13non-peptidasehomologues(Pteropusvampyrus)[M13.UNW]#M13#{peptidaseunit:922-1085}~sourceGENSCAN00000029842~",1,1,1,1,1
OG0000090,cazy,CE10,1,0,1,1,1
OG0000090,led,"abH01,abH03,abH04,abH06,abH22,abH02,abH31,abH28,abH27,abH36,abH05,abH21,abH26",1,0,1,1,1
OG0000090,MEROPS,"MER0064229-familyS9unassignedpeptidases(Gibberellazeae)[S09.UPW]#S09X#{peptidaseunit:80-316}~sourceXP_384833~,MER0624892-familyS9non-peptidasehomologues(Gibberellazeae)[S09.UNW]#S09X#{peptidaseunit:82-320}~sourceXP_383914~,MER0060390-familyS9unassignedpeptidases(Metallosphaerasedula)[S09.UPW]#S09X#{peptidaseunit:46-294}~sourceYP_001191160~,MER0131793-familyS9unassignedpeptidases(Nakamurellamultipartita)[S09.UPW]#S09X#{peptidaseunit:53-320}~sourceGEBA2500706196~,MER0101452-familyS9unassignedpeptidases(Acaryochlorismarina)[S09.UPW]#S09X#{peptidaseunit:57-285}~sourceABW25576~,MER0220356-familyS9unassignedpeptidases(Amycolatopsismediterranei)[S09.UPW]#S09X#{peptidaseunit:71-296}~sourceYP_003765790~,MER0065243-familyS9unassignedpeptidases(Gibberellazeae)[S09.UPW]#S09X#{peptidaseunit:49-299}~sourceXP_389288~,MER0060251-familyS9unassignedpeptidases(Gibberellazeae)[S09.UPW]#S09X#{peptidaseunit:92-323}~sourceXP_382394~,MER0507065-familyS9unassignedpeptidases(Propionibacteriumavidum)[S09.UPW]#S09X#{peptidaseunit:50-247}~sourceYP_007872093~,MER0511117-familyS9unassignedpeptidases(Macrophominaphaseolina)[S09.UPW]#S09X#{peptidaseunit:106-327}~sourceEKG15532~,MER0511371-familyS9unassignedpeptidases(Macrophominaphaseolina)[S09.UPW]#S09X#{peptidaseunit:95-321}~sourceEKG12745~,MER0626142-familyS9unassignedpeptidases(Aspergillusniger)[S09.UPW]#S09X#{peptidaseunit:81-342}~sourceXP_001395837~,MER0249983-brefeldinAesterase(Novosphingobiumsp.PP1Y)[S09.951]#S09C#{peptidaseunit:57-310}~sourceYP_004538268~,MER0041425-brefeldinAesterase(Propionibacteriumacnes)[S09.951]#S09C#{peptidaseunit:52-302}~sourceYP_056976-1~,MER0201638-familyS9unassignedpeptidases(Nectriahaematococca)[S09.UPW]#S09X#{peptidaseunit:64-307}~sourceEEU41319~,MER0151434-familyS9unassignedpeptidases(Rhodococcusjostii)[S09.UPW]#S09X#{peptidaseunit:63-311}~sourceABG97091~,MER0070590-familyS9unassignedpeptidases(Rhodopseudomonaspalustris)[S09.UPW]#S09X#{peptidaseunit:58-293}~sourceYP_486641~",1,0,1,1,1
OG0000093,led,abH28,1,1,1,1,1
OG0000094,cazy,GH18,1,0,1,1,1
OG0000094,MEROPS,MER0428589-Cwp84peptidase(Limoniumbicolor)[C01.125]#C01A#{peptidaseunit:23-64}~sourceACE79210~,1,0,1,1,1
OG0000095,MEROPS,"MER0348145-subfamilyC2Aunassignedpeptidases(Trichodermareesei)[C02.UPA]#C02A#{peptidaseunit:156-432}~sourceEGR45726~,MER0348177-subfamilyC2Aunassignedpeptidases(Hypocreavirens)[C02.UPA]#C02A#{peptidaseunit:135-408}~sourceEHK24004~,MER0348180-subfamilyC2Aunassignedpeptidases(Trichodermareesei)[C02.UPA]#C02A#{peptidaseunit:137-412}~sourceEGR47487~,MER0348147-subfamilyC2Aunassignedpeptidases(Hypocreavirens)[C02.UPA]#C02A#{peptidaseunit:69-344}~sourceEHK19859~,MER0348155-subfamilyC2Aunassignedpeptidases(Hypocreavirens)[C02.UPA]#C02A#{peptidaseunit:156-432}~sourceEHK15259~,MER0348166-subfamilyC2Aunassignedpeptidases(Trichodermaatroviride)[C02.UPA]#C02A#{peptidaseunit:155-432}~sourceEHK41550~,MER0348161-subfamilyC2Aunassignedpeptidases(Trichodermaatroviride)[C02.UPA]#C02A#{peptidaseunit:136-408}~sourceEHK44429~,MER0064125-subfamilyC2Aunassignedpeptidases(Gibberellazeae)[C02.UPA]#C02A#{peptidaseunit:159-449}~sourceXP_386687~,MER0122488-subfamilyC2Aunassignedpeptidases(Chaetomiumglobosum)[C02.UPA]#C02A#{peptidaseunit:164-454}~sourceEAQ91710~,MER0060216-subfamilyC2Aunassignedpeptidases(Gibberellazeae)[C02.UPA]#C02A#{peptidaseunit:145-429}~sourceXP_382821~,MER0348053-subfamilyC2Aunassignedpeptidases(Cordycepsmilitaris)[C02.UPA]#C02A#{peptidaseunit:130-401}~sourceEGX92311~,MER0348184-subfamilyC2Aunassignedpeptidases(Nectriahaematococca)[C02.UPA]#C02A#{peptidaseunit:119-392}~sourceXP_003044922~,MER0003999-subfamilyC2Aunassignedpeptidases(Neurosporacrassa)[C02.UPA]#C02A#{peptidaseunit:225-465}~sourceQ8X0W5_NEUCS~",1,1,1,1,1
OG0000096,led,abH23,1,0,1,1,1
OG0000096,MEROPS,MER0975456-subfamilyS8Anon-peptidasehomologues(Fusariumoxysporum)[S08.UNA]#S08A#{peptidaseunit:484-729}~sourceN4UJ84~,1,0,1,1,1
OG0000097,cazy,GT64,1,1,1,1,1
OG0000098,led,abH30,1,1,1,1,1
OG0000099,MEROPS,MER0295850-familyC26non-peptidasehomologues(Nematostellavectensis)[C26.UNW]#C26#{peptidaseunit:61-329}~sourceXP_001621066~,1,1,1,1,1
OG0000100,MEROPS,MER0295850-familyC26non-peptidasehomologues(Nematostellavectensis)[C26.UNW]#C26#{peptidaseunit:61-329}~sourceXP_001621066~,1,1,1,1,1
OG0000107,cazy,AA7,1,0,0,1,1
OG0000107,led,abH04,1,0,0,1,1
OG0000112,led,abH09,1,1,1,1,1
OG0000114,cazy,"GH5_5,CBM1",1,1,1,1,1
OG0000121,MEROPS,"MER0101148-trichodermapepsin(Trichodermareesei)[A01.027]#A01A#{peptidaseunit:82-407}~sourceCAJ44684~,MER0383819-subfamilyA1Aunassignedpeptidases(Trichodermareesei)[A01.UPA]#A01A#{peptidaseunit:92-396}~sourceEGR52488~,MER0383832-subfamilyA1Aunassignedpeptidases(Hypocreavirens)[A01.UPA]#A01A#{peptidaseunit:96-397}~sourceEHK21938~,MER0383706-trichodermapepsin(Hypocreavirens)[A01.027]#A01A#{peptidaseunit:89-402}~sourceEHK24253~,MER0383880-trichodermapepsin(Trichodermaatroviride)[A01.027]#A01A#{peptidaseunit:92-403}~sourceEHK49245~,MER0383705-subfamilyA1Aunassignedpeptidases(Trichodermaatroviride)[A01.UPA]#A01A#{peptidaseunit:97-398}~sourceEHK47203~,MER0014006-trichodermapepsin(Trichodermaharzianum)[A01.027]#A01A#{peptidaseunit:79-404}~sourceQ9HDT6~,MER0039492-trichodermapepsin(Trichodermaasperellum)[A01.027]#A01A#{peptidaseunit:82-405}~sourceAAT09023~,MER0369530-subfamilyA1Aunassignedpeptidases(Torrubiellahemipterigena)[A01.UPA]#A01A#{peptidaseunit:100-404}~sourceA0A0A1TNW4~",1,1,1,1,1
OG0000122,MEROPS,"MER1073443-grifolisin(Trichodermareesei)[S53.010]#S53#{peptidaseunit:182-584}~sourceG0RTY5~,MER1069374-familyS53non-peptidasehomologues(Hypocreavirens)[S53.UNW]#S53#{peptidaseunit:179-561}~sourceG9MF51~,MER1073614-grifolisin(Trichodermaatroviride)[S53.010]#S53#{peptidaseunit:166-568}~sourceG9NV71~,MER1073836-familyS53unassignedpeptidases(Stachybotryschartarum)[S53.UPW]#S53#{peptidaseunit:190-584}~sourceA0A084AR29~,MER1073740-familyS53unassignedpeptidases(Metarhiziumbrunneum)[S53.UPW]#S53#{peptidaseunit:188-569}~sourceA0A0B4H8B7~,MER1069234-familyS53unassignedpeptidases(Metarhiziumguizhouense)[S53.UPW]#S53#{peptidaseunit:188-569}~sourceA0A0B4HGQ3~,MER1070091-familyS53unassignedpeptidases(Metarhiziumanisopliae)[S53.UPW]#S53#{peptidaseunit:188-569}~sourceA0A086NHT3~,MER1073493-grifolisin(Ophiocordycepssinensis)[S53.010]#S53#{peptidaseunit:188-541}~sourceT5ABU4~,MER1073101-familyS53unassignedpeptidases(Talaromycesmarneffei)[S53.UPW]#S53#{peptidaseunit:211-561}~sourceB6QEA1~,MER1074265-grifolisin(Cordycepsmilitaris)[S53.010]#S53#{peptidaseunit:192-580}~sourceG3J691~",1,1,1,1,1
OG0000128,led,abH09,1,1,1,1,1
OG0000128,MEROPS,MER1360781-familyA31non-peptidasehomologues(Thecamonastrahens)[A31.UNW]#A31#{peptidaseunit:181-256}~sourceXP_013753081~,1,1,1,1,1
OG0000129,cazy,CE10,1,1,1,1,1
OG0000129,led,"abH04,abH06,abH30,abH01,abH11,abH22,abH08",1,1,1,1,1
OG0000129,MEROPS,"MER0064227-familyS9unassignedpeptidases(Gibberellazeae)[S09.UPW]#S09X#{peptidaseunit:74-333}~sourceXP_384897~,MER0224197-familyS9unassignedpeptidases(Aspergillusniger)[S09.UPW]#S09X#{peptidaseunit:73-330}~sourceXP_001390109~",1,1,1,1,1
OG0000146,MEROPS,"MER0242197-glycosylphosphatidylinositol:proteintransamidase(Glomerellagraminicola)[C13.005]#C13#{peptidaseunit:25-295}~sourceEFQ31045~,MER0656118-familyC13unassignedpeptidases(Magnaporthiopsispoae)[C13.UPW]#C13#{peptidaseunit:29-298}~sourceA0A0C4E123~,MER0242202-glycosylphosphatidylinositol:proteintransamidase(Metarhiziumacridum)[C13.005]#C13#{peptidaseunit:25-295}~sourceEFY87529~,MER0064713-glycosylphosphatidylinositol:proteintransamidase(Gibberellazeae)[C13.005]#C13#{peptidaseunit:24-294}~sourceXP_389811~,MER0242200-glycosylphosphatidylinositol:proteintransamidase(Nectriahaematococca)[C13.005]#C13#{peptidaseunit:24-294}~sourceXP_003046689~,MER0358813-glycosylphosphatidylinositol:proteintransamidase(Colletotrichumgloeosporioides)[C13.005]#C13#{peptidaseunit:26-295}~sourceT0LCQ5~,MER0242198-glycosylphosphatidylinositol:proteintransamidase(Hordeumvulgare)[C13.005]#C13#{peptidaseunit:24-294}~sourceBAJ93780~",1,1,1,1,1
OG0000147,led,abH09,1,1,1,1,1
OG0000151,cazy,PL7_4,1,1,1,1,1
OG0000152,led,abH31,1,0,1,1,1
OG0000153,led,abH04,1,1,1,1,1
OG0000154,MEROPS,MER0984952-subfamilyS8Anon-peptidasehomologues(Nectriahaematococca)[S08.UNA]#S08A#{peptidaseunit:710-942}~sourceC7ZDK0~,1,1,1,1,1
OG0000158,MEROPS,"MER0214461-AT3G19970protein({Arabidopsisthaliana})(Laccariabicolor)[S09.A57]#S09X#{peptidaseunit:119-290}~sourceXP_001885284~,MER0213780-AT3G19970protein({Arabidopsisthaliana})(Laccariabicolor)[S09.A57]#S09X#{peptidaseunit:119-284}~sourceXP_001885283~",1,1,1,1,1
OG0000160,cazy,GH55,1,1,1,1,1
OG0000160,led,"abH36,abH06",1,1,1,1,1
OG0000164,led,abH08,1,0,1,1,1
OG0000165,MEROPS,MER1360781-familyA31non-peptidasehomologues(Thecamonastrahens)[A31.UNW]#A31#{peptidaseunit:181-256}~sourceXP_013753081~,1,1,1,1,1
OG0000165,led,abH01,1,1,1,1,1
OG0000167,MEROPS,"MER1073108-subfamilyS49Cnon-peptidasehomologues(Deferribacterdesulfuricans)[S49.UNC]#S49C#{peptidaseunit:109-219}~sourceD3P9A0~,MER1072799-subfamilyS49Cnon-peptidasehomologues()[S49.UNC]#S49C#{peptidaseunit:93-188}~sourceI2JQ99~,MER1072525-subfamilyS49Cnon-peptidasehomologues(Marinomonassp.S3726)[S49.UNC]#S49C#{peptidaseunit:90-140}~sourceA0A0F4QW84~,MER1072342-subfamilyS49Cnon-peptidasehomologues(Geomicrobiumsp.JCM19055)[S49.UNC]#S49C#{peptidaseunit:92-231}~sourceA0A061NBE0~,MER1071493-subfamilyS49Cnon-peptidasehomologues(Rhodococcusruber)[S49.UNC]#S49C#{peptidaseunit:82-190}~sourceM2Y5T1~,MER1072137-subfamilyS49Cnon-peptidasehomologues(Thermomicrobiumroseum)[S49.UNC]#S49C#{peptidaseunit:100-214}~sourceB9L3E0~,MER1072234-subfamilyS49Cnon-peptidasehomologues(Geomicrobiumsp.JCM19037)[S49.UNC]#S49C#{peptidaseunit:90-226}~sourceA0A061NBU9~,MER1071850-subfamilyS49Cnon-peptidasehomologues(Bacillusbataviensis)[S49.UNC]#S49C#{peptidaseunit:84-224}~sourceK6D517~,MER1071490-subfamilyS49Cnon-peptidasehomologues(Rhodococcusrhodochrous)[S49.UNC]#S49C#{peptidaseunit:82-191}~sourceW4A0J6~",1,1,1,1,1
OG0000167,led,abH04,1,1,1,1,1
OG0000177,MEROPS,MER1073240-subfamilyS49Cnon-peptidasehomologues(Acinetobacterbohemicus)[S49.UNC]#S49C#{peptidaseunit:84-212}~sourceN8Q6E4~,1,1,1,1,1
OG0000181,led,abH04,1,1,1,1,1
OG0000185,MEROPS,"MER0378848-gamma-glutamyltransferase({Schizosaccharomyces}-type)(Hypocreavirens)[T03.011]#T03#{peptidaseunit:48-579}~sourceEHK26617~,MER0378941-gamma-glutamyltransferase({Schizosaccharomyces}-type)(Hypocreavirens)[T03.011]#T03#{peptidaseunit:30-552}~sourceEHK19442~,MER0378990-gamma-glutamyltransferase({Schizosaccharomyces}-type)(Trichodermareesei)[T03.011]#T03#{peptidaseunit:3-463}~sourceEGR44749~,MER0378947-gamma-glutamyltransferase({Schizosaccharomyces}-type)(Trichodermareesei)[T03.011]#T03#{peptidaseunit:49-581}~sourceEGR45904~,MER0378835-gamma-glutamyltransferase({Schizosaccharomyces}-type)(Trichodermaatroviride)[T03.011]#T03#{peptidaseunit:24-578}~sourceEHK45432~,MER0378875-gamma-glutamyltransferase({Schizosaccharomyces}-type)(Trichodermaatroviride)[T03.011]#T03#{peptidaseunit:18-484}~sourceEHK49456~,MER0378747-gamma-glutamyltransferase({Schizosaccharomyces}-type)(Cordycepsmilitaris)[T03.011]#T03#{peptidaseunit:53-606}~sourceEGX94202~",1,1,1,1,1
OG0000187,led,"abH36,abH33",1,1,1,1,1
OG0000188,led,abH09,1,1,1,1,1
OG0000190,led,"abH21,abH22",1,1,1,1,1
OG0000191,led,abH01,1,1,1,1,1
OG0000194,cazy,GH18,1,1,1,1,1
OG0000194,led,abH36,1,1,1,1,1
OG0000195,led,abH31,1,1,1,1,1
OG0000197,led,"abH31,abH11",1,0,0,1,1
OG0000197,MEROPS,"MER0214517-familyS9non-peptidasehomologues(Podosporaanserina)[S09.UNW]#S09X#{peptidaseunit:34-221}~sourceXP_001906399~,MER0214562-familyS9non-peptidasehomologues(Penicilliumchrysogenum)[S09.UNW]#S09X#{peptidaseunit:32-216}~sourceXP_002558981~,MER0060250-familyS9non-peptidasehomologues(Gibberellazeae)[S09.UNW]#S09X#{peptidaseunit:34-219}~sourceXP_382407~,MER0213704-familyS9non-peptidasehomologues(Aspergillusniger)[S09.UNW]#S09X#{peptidaseunit:32-221}~sourceXP_001399596~,MER0215490-familyS9non-peptidasehomologues(Magnaportheoryzae)[S09.UNW]#S09X#{peptidaseunit:37-216}~sourceXP_001522163~",1,0,0,1,1
OG0000198,led,abH33,1,1,1,1,1
OG0000200,cazy,"AA4,AA7",1,1,1,1,1
OG0000200,led,abH09,1,1,1,1,1
OG0000206,cazy,AA4,1,1,0,1,1
OG0000208,led,abH23,1,1,1,1,1
OG0000209,led,abH36,1,1,1,1,1
