Gene	MobiDBLite	Coils	interpro	GO	CDD	Gene3D	SUPERFAMILY	ProSiteProfiles	Pfam	SMART	ProSitePatterns	PATHWAY	TIGRFAM	PRINTS	Hamap	PIRSF	SFLD
PNP57696.1	NA	NA	IPR025870	NA	NA	G3DSA:3.10.180.10	NA	NA	PF13468	NA	NA	NA	NA	NA	NA	NA	NA
PNP47800.1	NA	Coil	IPR006530	NA	NA	G3DSA:2.180.10.10	NA	NA	PF05593	NA	NA	NA	TIGR01643;TIGR03696	NA	NA	NA	NA
PNP58504.1	NA	NA	IPR000398	GO:0004799;GO:0006231;GO:0008080	cd00351	G3DSA:3.30.572.10;G3DSA:3.40.630.30	SSF55831;SSF55729	NA	PF13302;PF00303	NA	PS00091	KEGG: 00240+2.1.1.45|KEGG: 00670+2.1.1.45|MetaCyc: PWY-3841|MetaCyc: PWY-7184|MetaCyc: PWY-7187|MetaCyc: PWY-7198|MetaCyc: PWY-7199|MetaCyc: PWY-7210|Reactome: R-HSA-499943|Reactome: R-HSA-69205	TIGR03284	PR00108	MF_00008	NA	NA
PNP54998.1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45996.1	mobidb-lite	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	cd00067	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172	SM00066	PS00463	NA	NA	NA	NA	NA	NA
PNP53389.1	mobidb-lite	Coil	IPR011032	GO:0016491;GO:0003824;GO:0055114;GO:0031177;GO:0016740	cd02440;cd00833;cd05195	G3DSA:3.40.50.720;G3DSA:3.90.180.10;G3DSA:3.40.50.150;G3DSA:3.10.129.110;G3DSA:3.30.70.3290;G3DSA:3.40.47.10;G3DSA:1.10.1200.10;G3DSA:3.40.366.10	SSF50129;SSF53335;SSF53901;SSF51735;SSF55048;SSF47336;SSF52151	PS50075	PF00698;PF13602;PF00550;PF08659;PF08240;PF14765;PF00109;PF08242;PF02801	SM00829;SM00822;SM00825;SM00826;SM00823;SM00827	PS00012;PS00606	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	NA	NA	NA	NA	NA
PNP49421.1	mobidb-lite	NA	IPR018936	GO:0016301	NA	NA	NA	NA	PF00454	NA	PS00916	NA	NA	NA	NA	NA	NA
PNP56504.1	NA	NA	IPR000209	GO:0004252;GO:0006508	NA	G3DSA:3.40.50.200	SSF52743	NA	PF00082	NA	PS00138	NA	NA	NA	NA	NA	NA
PNP56846.1	NA	NA	IPR027417	GO:0005524;GO:0016887	cd18580	G3DSA:3.40.50.300	SSF52540	PS50893	PF00005	SM00382	PS00211	NA	NA	NA	NA	NA	NA
PNP60355.1	NA	NA	IPR003719	GO:0003824;GO:0009058	NA	G3DSA:3.10.310.10	SSF54506	NA	PF02567	NA	NA	NA	TIGR00654	NA	NA	PIRSF016184	NA
PNP48212.1	mobidb-lite	Coil	IPR000571	GO:0046872	cd17936;cd18808	NA	SSF52540	PS50103	PF13086;PF13087	NA	NA	NA	NA	NA	NA	NA	NA
PNP49826.1	NA	NA	IPR036291	GO:0003824;GO:0050662	cd05227	G3DSA:3.40.50.720	SSF51735	NA	PF01370	NA	NA	NA	NA	NA	NA	NA	NA
PNP50465.1	NA	NA	IPR002328	GO:0008270;GO:0016491;GO:0055114	cd05285	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SSF51735;SSF50129	NA	PF08240;PF00107	SM00829	PS00059	Reactome: R-HSA-71384	NA	NA	NA	NA	NA
PNP49704.1	mobidb-lite	NA	IPR013241	GO:0006364;GO:0008033	NA	NA	NA	NA	PF08228	NA	NA	NA	NA	NA	NA	NA	NA
PNP57260.1	NA	NA	IPR015590	GO:0016491;GO:0055114;GO:0016620	NA	G3DSA:3.40.605.10;G3DSA:3.40.309.10	SSF53720	NA	PF00171	NA	PS00687	NA	NA	NA	NA	NA	NA
PNP59324.1	NA	NA	IPR003615	NA	NA	NA	NA	NA	PF13391	NA	NA	NA	NA	NA	NA	NA	NA
PNP57559.1	NA	NA	IPR029058	GO:0016787	NA	G3DSA:3.40.50.1820	SSF53474	NA	PF01738	NA	NA	NA	NA	NA	NA	NA	NA
PNP56367.1	NA	NA	IPR029058	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	PF12697	NA	NA	NA	NA	NA	NA	NA	NA
PNP46428.1	NA	NA	IPR002656	GO:0016747	NA	NA	NA	NA	PF01757	NA	NA	NA	NA	NA	NA	NA	NA
PNP53100.1	NA	NA	IPR001544	GO:0003824	NA	G3DSA:3.30.470.10;G3DSA:3.20.10.10	SSF56752	NA	PF01063	NA	NA	Reactome: R-HSA-70895	NA	NA	NA	NA	NA
PNP49996.1	NA	NA	IPR000757	GO:0004553;GO:0005975	NA	G3DSA:2.60.120.200	SSF49899	PS51762	PF00722	NA	NA	NA	NA	NA	NA	NA	NA
PNP54430.1	NA	NA	IPR013094	GO:0016787	NA	G3DSA:3.40.50.1820	SSF53474	NA	PF07859	NA	NA	NA	NA	NA	NA	NA	NA
PNP56906.1	NA	Coil	IPR022033	GO:0005515	NA	NA	SSF101908;SSF50978	NA	PF12234	NA	NA	NA	NA	NA	NA	NA	NA
PNP55946.1	NA	NA	IPR036928		NA	G3DSA:3.90.1300.10	SSF75304	NA	NA	NA	NA	KEGG: 00970+6.3.5.7	NA	NA	NA	NA	NA
PNP57568.1	NA	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	cd00067;cd12148	G3DSA:4.10.240.10	SSF57701	PS50048	PF04082;PF00172	SM00906;SM00066	PS00463	NA	NA	NA	NA	NA	NA
PNP50628.1	mobidb-lite	Coil	IPR013218	GO:0000444;GO:0007059;GO:0051301	NA	NA	NA	NA	PF08202	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-6798695|Reactome: R-HSA-68877	NA	NA	NA	NA	NA
PNP51788.1	mobidb-lite	NA	IPR014756	GO:0016491;GO:0030151;GO:0055114;GO:0042128	NA	G3DSA:3.10.120.10;G3DSA:3.90.420.10	SSF81296;SSF55856;SSF56524	PS50255	PF03404;PF00174;PF00173	SM01117	NA	Reactome: R-HSA-1614517	NA	PR00407	NA	NA	NA
PNP57522.1	mobidb-lite	NA	IPR012171	GO:0006629;GO:0016021;GO:0016491	cd03506	NA	NA	NA	PF00487	NA	NA	NA	NA	NA	NA	PIRSF015921	NA
PNP60490.1	mobidb-lite	Coil	IPR013240	GO:0006360	NA	NA	NA	NA	PF08208	NA	NA	Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73863	NA	NA	NA	NA	NA
PNP52017.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP49328.1	mobidb-lite	NA	IPR012479	GO:0006355	NA	NA	NA	NA	PF07818	NA	NA	Reactome: R-HSA-427413	NA	NA	NA	NA	NA
PNP53000.1	mobidb-lite	Coil	IPR024610	NA	cd15505;cd17016	G3DSA:3.30.40.10	SSF57903	PS50016	PF12998	SM00249;SM01408	PS01359	NA	NA	NA	NA	NA	NA
PNP51461.1	mobidb-lite	NA	IPR026270	GO:0006614;GO:0008312;GO:0048500;GO:0005515	NA	G3DSA:1.25.40.10	NA	NA	PF17004;PF08492	NA	NA	Reactome: R-HSA-1799339	NA	NA	NA	PIRSF038922	NA
PNP52903.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP56252.1	NA	Coil	IPR011899	GO:0045454;GO:0009055;GO:0015035	cd03419	G3DSA:3.40.30.10	SSF52833	PS51354	PF00462	NA	NA	NA	TIGR02180	PR00160	NA	NA	NA
PNP58915.1	NA	NA	IPR036589		NA	G3DSA:3.20.20.330	SSF82282	PS50970	PF02574	NA	NA	Reactome: R-HSA-1614635	NA	NA	NA	NA	NA
PNP58125.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP49930.1	NA	NA	IPR004313	GO:0010309;GO:0055114;GO:0016491;GO:0019509	NA	G3DSA:2.60.120.10	SSF51182	NA	PF03079	NA	NA	KEGG: 00270+1.13.11.54|MetaCyc: PWY-4361|Reactome: R-HSA-1237112	NA	NA	MF_03154	NA	NA
PNP56591.1	NA	Coil	IPR016181	GO:0008080	NA	G3DSA:3.40.630.30	SSF55729	NA	PF00583	NA	NA	NA	NA	NA	NA	NA	NA
PNP54078.1	mobidb-lite	NA	IPR000891	GO:0003824;GO:0019752;GO:0046912;GO:0004410;GO:0019878	cd07948	G3DSA:1.10.238.260;G3DSA:3.20.20.70	SSF51569	PS50991	PF00682	NA	PS00815;PS00816	KEGG: 00290+2.3.3.13|KEGG: 00620+2.3.3.13|MetaCyc: PWY-6871	TIGR02146	NA	NA	NA	NA
PNP50075.1	NA	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	cd12148	NA	NA	NA	PF04082	SM00906	NA	NA	NA	NA	NA	NA	NA
PNP52399.1	mobidb-lite	NA	IPR036236	GO:0003676	NA	NA	SSF57667	PS50157	PF12171	NA	PS00028	NA	NA	NA	NA	NA	NA
PNP58296.1	NA	NA	IPR020843	GO:0016491;GO:0055114	cd08249	G3DSA:3.40.50.720;G3DSA:3.90.180.10	SSF51735;SSF50129	NA	PF00107;PF08240	SM00829	NA	NA	NA	NA	NA	NA	NA
PNP45390.1	NA	NA	IPR000627	GO:0003824;GO:0006725;GO:0008199;GO:0055114;GO:0005506;GO:0009712;GO:0018576;GO:0016702	NA	G3DSA:2.60.130.10	SSF49482	NA	PF00775;PF04444	NA	PS00083	NA	NA	NA	NA	NA	NA
PNP52774.1	mobidb-lite	NA	IPR014752	NA	NA	G3DSA:2.60.40.640	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP53036.1	NA	NA	IPR015797	GO:0016787	cd03676	G3DSA:3.90.79.10;G3DSA:3.30.750.160	SSF55811	PS51462	PF15916;PF00293	NA	NA	NA	NA	NA	NA	NA	NA
PNP58114.1	NA	NA	IPR036132	GO:0015078;GO:0033180;GO:1902600	cd14785	G3DSA:1.20.1460.10;G3DSA:3.30.70.1180;G3DSA:3.30.70.100	SSF118203	NA	PF03223	NA	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-9639288|Reactome: R-HSA-983712	NA	NA	NA	NA	NA
PNP60562.1	mobidb-lite	NA	IPR002048	GO:0005509;GO:0005347;GO:0055085	cd00051	G3DSA:1.50.40.10;G3DSA:1.10.238.10	SSF47473;SSF103506	PS50222;PS50920	PF13499;PF00036;PF00153	SM00054	PS00018	NA	NA	PR00926	NA	NA	NA
PNP53805.1	NA	NA	IPR002562	GO:0003676;GO:0006139;GO:0008408	NA	G3DSA:3.30.420.10	SSF53098	NA	PF01612	NA	NA	NA	NA	NA	NA	NA	NA
PNP54020.1	NA	NA	IPR029062	NA	NA	G3DSA:3.40.50.880	SSF52317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP50830.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP53319.1	mobidb-lite	NA	IPR038765	GO:0016579;GO:0036459	cd02662	NA	SSF54001	PS50235	PF00443	NA	NA	NA	NA	NA	NA	NA	NA
PNP59604.1	mobidb-lite	Coil	IPR036874	GO:0004089;GO:0008270;GO:0015976	cd00883	G3DSA:3.40.1050.10	SSF53056	NA	PF00484	SM00947	PS00704	KEGG: 00910+4.2.1.1|MetaCyc: PWY-241|MetaCyc: PWY-5743|MetaCyc: PWY-5744|MetaCyc: PWY-5789|MetaCyc: PWY-6142|MetaCyc: PWY-7115|MetaCyc: PWY-7117	NA	NA	NA	NA	NA
PNP58325.1	mobidb-lite	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	cd00067	G3DSA:4.10.240.10	SSF57701	PS50048	PF11951;PF00172	SM00066	PS00463	NA	NA	NA	NA	NA	NA
PNP49712.1	mobidb-lite	NA	IPR031567		NA	G3DSA:2.30.29.30	NA	NA	PF16978;PF16979	NA	NA	Reactome: R-HSA-1257604|Reactome: R-HSA-389357|Reactome: R-HSA-5218920|Reactome: R-HSA-5674400|Reactome: R-HSA-6804757	NA	NA	NA	NA	NA
PNP55595.1	NA	NA	IPR001303	NA	NA	G3DSA:3.40.225.10	SSF53639	NA	PF00596	SM01007	NA	NA	NA	NA	NA	NA	NA
PNP51384.1	mobidb-lite	NA	IPR038054	NA	NA	NA	SSF143985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP58983.1	NA	NA	IPR036291	GO:0016491;GO:0055114	NA	G3DSA:3.30.360.10;G3DSA:3.40.50.720;G3DSA:1.10.1870.10	SSF51735;SSF55347	NA	PF16653;PF03435	NA	NA	Reactome: R-HSA-71064	NA	NA	NA	NA	NA
PNP59444.1	mobidb-lite	Coil	IPR012173	GO:0005634;GO:0005732;GO:0006364;GO:0034457	NA	NA	NA	NA	PF04006	NA	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	PIRSF017300	NA
PNP47088.1	mobidb-lite	Coil	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	cd00067	G3DSA:4.10.240.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45204.1	mobidb-lite	Coil	IPR006568	GO:0005634	NA	NA	NA	NA	PF04046;PF04037	SM00581	NA	Reactome: R-HSA-72163|Reactome: R-HSA-72165	NA	NA	NA	NA	NA
PNP60116.1	mobidb-lite	NA	IPR029071	GO:0005515	cd01803	G3DSA:3.10.20.90	SSF54236	PS50053	PF00240	SM00213	PS00299	NA	NA	PR00348	NA	NA	NA
PNP56565.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP50904.1	NA	NA	IPR005303	GO:0003824;GO:0030151;GO:0030170	NA	NA	SSF141673	PS51340	PF03476;PF03473	NA	NA	KEGG: 00790+2.8.1.9|MetaCyc: PWY-5963	NA	NA	NA	NA	NA
PNP57897.1	mobidb-lite	NA	IPR015898	GO:0007186	NA	NA	SSF48670	NA	PF00631	SM01224	NA	Reactome: R-HSA-418594|Reactome: R-HSA-6814122	NA	NA	NA	NA	NA
PNP58167.1	mobidb-lite	NA	IPR009071	NA	NA	G3DSA:1.10.30.10	SSF47095	PS50118	PF00505	SM00398	NA	NA	NA	NA	NA	NA	NA
PNP59042.1	mobidb-lite	Coil	IPR022967	GO:0004386;GO:0003676	cd05684;cd18791;cd17971	G3DSA:3.40.50.300;G3DSA:2.40.50.140;G3DSA:1.20.120.1080	SSF52540;SSF50249	PS51192;PS51194;PS50126	PF00271;PF04408;PF07717;PF00575	SM00316;SM00490;SM00487;SM00847	PS00690	NA	NA	NA	NA	NA	NA
PNP55998.1	NA	NA	IPR036188	NA	NA	G3DSA:3.50.50.60;G3DSA:2.60.120.260	SSF51905	NA	PF12831	NA	NA	NA	NA	NA	NA	NA	NA
PNP58099.1	mobidb-lite	NA	IPR040079	GO:0005515	cd00570;cd00299	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	SSF52833;SSF47616	PS50404;PS50405	PF13417	NA	NA	NA	NA	NA	NA	NA	SFLDS00019;SFLDG00358
PNP45222.1	mobidb-lite	NA	IPR001898	GO:0016020;GO:0022857;GO:0055085	cd14478;cd01115	NA	NA	PS51382	PF00939;PF03105	NA	NA	Reactome: R-HSA-433137	TIGR00785	NA	NA	NA	NA
PNP56547.1	mobidb-lite	Coil	IPR022210	NA	NA	NA	NA	NA	PF12550	NA	NA	NA	NA	NA	NA	NA	NA
PNP51797.1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP57462.1	mobidb-lite	NA	IPR000511	GO:0004408;GO:0005739	NA	NA	NA	NA	PF01265	NA	PS00821;PS00822	KEGG: 00860+4.4.1.17	NA	NA	NA	NA	NA
PNP53739.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP50354.1	NA	NA	IPR007111	NA	NA	G3DSA:3.40.50.300	SSF52540	NA	PF05729	NA	NA	NA	NA	NA	NA	NA	NA
PNP58117.1	mobidb-lite	Coil	IPR016024	NA	NA	NA	SSF48371	NA	PF03914	NA	NA	NA	NA	NA	NA	NA	NA
PNP60063.1	mobidb-lite	NA	IPR006089	GO:0003995;GO:0055114;GO:0016627;GO:0050660	NA	G3DSA:2.40.110.10;G3DSA:1.10.540.10;G3DSA:1.20.140.10	SSF47203;SSF56645	PS51257	PF02771;PF02770;PF00441	NA	PS00072;PS00073	NA	NA	NA	NA	PIRSF016578	NA
PNP51825.1	mobidb-lite	NA	IPR020846	GO:0055085	cd17502	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	SSF103473	PS50850	PF07690	NA	NA	NA	NA	NA	NA	NA	NA
PNP56745.1	NA	NA	IPR001660	GO:0005515	NA	G3DSA:1.10.150.50	SSF47769	PS50105	PF07647	NA	NA	NA	NA	NA	NA	NA	NA
PNP49514.1	NA	NA	IPR001806	GO:0003924;GO:0005525;GO:0007264	NA	G3DSA:3.40.50.300	SSF52540	PS51420	PF00071	SM00176;SM00173;SM00174;SM00175	NA	Reactome: R-HSA-194840	TIGR00231	PR00449	NA	NA	NA
PNP60184.1	NA	NA	IPR002347	NA	NA	G3DSA:3.40.50.720	SSF51735	NA	PF00106	NA	NA	NA	NA	PR00081;PR00080	NA	NA	NA
PNP57104.1	mobidb-lite	NA	IPR036770	GO:0005515	NA	G3DSA:1.25.40.20	SSF48403	PS50297;PS50088	PF13857	SM00248	NA	NA	NA	NA	NA	NA	NA
PNP60359.1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP57046.1	NA	NA	IPR040632	NA	NA	G3DSA:3.40.50.300	NA	NA	PF17784	NA	NA	NA	NA	NA	NA	NA	NA
PNP54180.1	mobidb-lite	Coil	IPR009548	GO:0003725	NA	NA	NA	NA	PF06658	NA	NA	NA	NA	NA	NA	NA	NA
PNP52183.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP58492.1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40158.1	NA	NA	IPR002347	NA	NA	G3DSA:3.40.50.720	SSF51735	NA	PF00106	NA	NA	NA	NA	NA	NA	NA	NA
PNP47078.1	mobidb-lite	NA	IPR036774	GO:0016972;GO:0055114	NA	G3DSA:1.20.120.310	SSF69000	PS51324	PF04777	NA	NA	MetaCyc: PWY-7533	NA	NA	NA	NA	NA
PNP51256.1	NA	NA	IPR016138	GO:0017148;GO:0030598	NA	G3DSA:3.40.420.10	SSF56371	NA	PF00161	NA	PS00275	NA	NA	PR00396	NA	NA	NA
PNP53712.1	NA	NA	IPR036409	GO:0005737;GO:0019509;GO:0046872	NA	G3DSA:3.40.225.10	SSF53639	NA	PF00596	SM01007	NA	KEGG: 00270+4.2.1.109|MetaCyc: PWY-4361|Reactome: R-HSA-111458|Reactome: R-HSA-1237112|Reactome: R-HSA-9627069	TIGR03328	NA	MF_03116	NA	NA
PNP45747.1	mobidb-lite	Coil	IPR001474	GO:0003934;GO:0046654	cd00642	G3DSA:3.30.1130.10;G3DSA:1.10.286.10	SSF55620	NA	PF01227	NA	PS00860;PS00859	KEGG: 00790+3.5.4.16|MetaCyc: PWY-5663|MetaCyc: PWY-5664|MetaCyc: PWY-6147|MetaCyc: PWY-6703|MetaCyc: PWY-6983|MetaCyc: PWY-7442|MetaCyc: PWY-7852|Reactome: R-HSA-1474151	TIGR00063	NA	MF_00223	NA	NA
PNP52131.1	NA	NA	IPR041677	GO:0003677;GO:0005524;GO:0016787;GO:0003968	cd18808;cd18044	G3DSA:3.40.50.300	SSF52540	NA	PF13086;PF04851;PF13087;PF05183	SM00382	NA	NA	NA	NA	NA	NA	NA
PNP58021.1	mobidb-lite	NA	IPR001810	GO:0005515	NA	NA	NA	PS50181	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP52831.1	NA	NA	IPR002474	GO:0004088;GO:0006207;GO:0006541	cd01744	G3DSA:3.50.30.20;G3DSA:3.40.50.880	SSF52021;SSF52317	PS51273	PF00988;PF00117	SM01097	NA	KEGG: 00240+6.3.5.5|KEGG: 00250+6.3.5.5|MetaCyc: PWY-5154|MetaCyc: PWY-5686|MetaCyc: PWY-7400|MetaCyc: PWY-7790|MetaCyc: PWY-7791	TIGR01368	PR00099;PR00096;PR00097	MF_01209	NA	NA
PNP58559.1	NA	NA	IPR000473	GO:0003735;GO:0005840;GO:0006412	NA	NA	SSF57840	NA	PF00444	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	TIGR01022	NA	MF_00251	NA	NA
PNP49759.1	mobidb-lite	NA	IPR013641	NA	NA	G3DSA:3.40.50.300	SSF52540	NA	PF08433	NA	NA	NA	NA	NA	NA	NA	NA
PNP57958.1	NA	NA	IPR001780	GO:0003735;GO:0005840;GO:0006412	NA	G3DSA:2.40.10.190	SSF50447	NA	PF01247	NA	PS01105	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	MF_00573	NA	NA
PNP59634.1	NA	NA	NA	NA	NA	NA	SSF109604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP50868.1	mobidb-lite	NA	IPR009072	GO:0046982;GO:0006366	cd07978	G3DSA:1.10.20.10	SSF47113	NA	PF02269	NA	NA	NA	NA	NA	NA	NA	NA
PNP57128.1	NA	Coil	IPR008688	GO:0000276;GO:0015078;GO:0015986	NA	NA	SSF161060	NA	PF05405	NA	NA	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	NA	NA	NA	NA	NA
PNP45994.1	mobidb-lite	Coil	IPR003210	GO:0005786;GO:0006614;GO:0008312;GO:0030942;GO:0048500	NA	G3DSA:3.30.720.10	SSF54762	NA	PF02290	NA	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-6798695	NA	NA	NA	NA	NA
PNP57891.1	mobidb-lite	Coil	IPR036770	GO:0005515	NA	G3DSA:1.25.40.20	SSF48403	PS50088;PS51204;PS50297	PF12796	SM00248	NA	NA	NA	NA	NA	NA	NA
PNP41310.1	NA	NA	IPR023401		NA	G3DSA:3.40.50.720;G3DSA:3.30.1780.10	SSF51735	NA	PF02423	NA	NA	Reactome: R-HSA-71064	NA	NA	NA	PIRSF001439	NA
PNP51750.1	mobidb-lite	Coil	IPR019540	GO:0016255;GO:0042765	NA	NA	SSF53474	NA	PF10510	NA	NA	Reactome: R-HSA-162791	NA	NA	NA	NA	NA
