Gene	CDD	interpro	GO	Pfam	Gene3D	SUPERFAMILY	SMART	MobiDBLite	PATHWAY	ProSiteProfiles	ProSitePatterns	PRINTS	Coils	TIGRFAM	PIRSF	Hamap	SFLD
PON26304.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON22717.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27865.1	cd12148;cd00067	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	G3DSA:4.10.240.10	SSF57701	SM00066	mobidb-lite	NA	PS50048	PS00463	NA	Coil	NA	NA	NA	NA
PON23751.1	NA	IPR029058	GO:0003824	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	PR00412	NA	NA	NA	NA	NA
PON29648.1	cd00165;cd06087	IPR000876	GO:0003735;GO:0005840;GO:0006412;GO:0003723	PF00467;PF08071;PF16121;PF00900	G3DSA:2.30.30.30;G3DSA:2.40.50.740;G3DSA:3.10.290.40	NA	SM00363	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS50889	PS00528	NA	NA	NA	PIRSF002116	MF_00485	NA
PON30180.1	cd04301	IPR000182	GO:0008080	PF00583	G3DSA:3.40.630.30	SSF55729	NA	NA	NA	PS51186	NA	NA	NA	NA	NA	NA	NA
PON30798.1	NA	IPR036249	NA	PF06110	G3DSA:3.40.30.10	SSF52833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22646.1	NA	IPR023299	GO:0000166;GO:0016021;GO:0008553;GO:0120029	PF00122;PF00690;PF00702	G3DSA:3.40.1110.10;G3DSA:1.20.1110.10;G3DSA:2.60.120.1500;G3DSA:2.70.150.10	SSF56784;SSF81653;SSF81665	SM00831	mobidb-lite	Reactome: R-HSA-936837	NA	PS00154	PR00120;PR00119	NA	TIGR01494;TIGR01647	NA	NA	SFLDS00003;SFLDF00027
PON23723.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29398.1	NA	IPR001452	GO:0005515	PF14604	G3DSA:2.30.30.40	SSF50044	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27277.1	NA	IPR024983	GO:0005515	PF12770	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON30841.1	NA	IPR019325	GO:0007034;GO:0030001	PF10176	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON31001.1	cd03784	IPR003903	GO:0005975;GO:0016758;GO:0030259	PF03033	G3DSA:3.40.50.2000	SSF53756	SM00726	mobidb-lite	KEGG: 00550+2.4.1.227|MetaCyc: PWY-5265|MetaCyc: PWY-6385|MetaCyc: PWY-6470|MetaCyc: PWY-6471	PS50330	NA	NA	Coil	NA	NA	NA	NA
PON23928.1	cd01421	IPR024051	GO:0003937;GO:0004643;GO:0006164;GO:0003824	PF02142;PF01808	G3DSA:3.40.140.20;G3DSA:1.10.287.440;G3DSA:3.40.50.1380	SSF53927;SSF52335	SM00798;SM00851	NA	KEGG: 00230+3.5.4.10+2.1.2.3|KEGG: 00670+2.1.2.3|MetaCyc: PWY-6123|MetaCyc: PWY-6124|MetaCyc: PWY-7234|Reactome: R-HSA-73817	PS51855	NA	NA	NA	TIGR00355	PIRSF000414	MF_00139	NA
PON28080.1	cd00412	IPR008162	GO:0000287;GO:0004427;GO:0005737;GO:0006796	PF00719;PF13805	G3DSA:1.20.1270.60;G3DSA:3.90.80.10	SSF50324	NA	mobidb-lite	KEGG: 00190+3.6.1.1|MetaCyc: PWY-7805|MetaCyc: PWY-7807|Reactome: R-HSA-71737	NA	PS00387	NA	Coil	NA	NA	NA	NA
PON25158.1	NA	IPR022099	NA	PF12340;PF12359	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON19993.1	cd00067	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF11951;PF00172	G3DSA:4.10.240.10	SSF57701	SM00066	NA	NA	PS50048	PS00463	NA	Coil	NA	NA	NA	NA
PON20552.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27241.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23543.1	NA	IPR024084	GO:0016616;GO:0055114;GO:0004449;GO:0006099;GO:0000287;GO:0051287	PF00180	G3DSA:3.40.718.10	SSF53659	SM01329	NA	Reactome: R-HSA-71403	NA	PS00470	NA	NA	TIGR00175	NA	NA	NA
PON27922.1	cd09008	IPR020683	GO:0005515;GO:0003824;GO:0009116	PF00023;PF01048;PF12796	G3DSA:1.25.40.20;G3DSA:3.40.50.300	SSF52540;SSF53167;SSF48403	SM00248	mobidb-lite	NA	PS50297;PS50088	NA	PR01415	NA	NA	NA	NA	NA
PON21001.1	NA	IPR009906	NA	PF07286	G3DSA:3.40.1640.10;G3DSA:3.30.2040.10	SSF160920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20130.1	cd01362	IPR005677	GO:0004333;GO:0006106;GO:0045239;GO:0006099;GO:0016829;GO:0003824	PF00206;PF10415	G3DSA:1.10.275.10;G3DSA:1.20.200.10;G3DSA:1.10.40.30	SSF48557	NA	NA	KEGG: 00020+4.2.1.2|KEGG: 00620+4.2.1.2|KEGG: 00720+4.2.1.2|MetaCyc: PWY-5392|MetaCyc: PWY-561|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7254|MetaCyc: PWY-7384|Reactome: R-HSA-71403	NA	PS00163	PR00149	NA	TIGR00979	NA	MF_00743	NA
PON22108.1	NA	IPR002575	NA	PF01636	G3DSA:3.90.1200.10	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27004.1	NA	IPR029044	NA	PF04488	G3DSA:3.90.550.20	SSF53448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26206.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON20851.1	cd07061	IPR029033	NA	NA	G3DSA:3.40.50.1240	SSF53254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28518.1	NA	IPR012951	GO:0016491;GO:0050660;GO:0055114;GO:0071949;GO:0003824	PF08031;PF01565	G3DSA:3.40.462.20;G3DSA:3.30.465.40	SSF56176;SSF55103	NA	NA	NA	PS51387	NA	NA	NA	NA	NA	NA	NA
PON20467.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27651.1	NA	IPR002225	GO:0003854;GO:0006694;GO:0016616;GO:0055114	PF01073	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30091.1	cd15482	IPR036278		PF13088	G3DSA:2.120.10.10	SSF50939	NA	NA	KEGG: 00511+3.2.1.18|KEGG: 00600+3.2.1.18|Reactome: R-HSA-1660662|Reactome: R-HSA-4085001	NA	NA	NA	NA	NA	NA	NA	NA
PON25762.1	cd16348	IPR009770	NA	PF07063	G3DSA:3.10.180.80	NA	SM01150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30287.1	cd04399	IPR027267	GO:0007165;GO:0035556	PF00611;PF00620;PF00610	G3DSA:1.20.1270.60;G3DSA:1.10.555.10	SSF103657;SSF46785;SSF48350	SM00324;SM00055	mobidb-lite	Reactome: R-HSA-194840	PS51741;PS50186;PS50238	NA	NA	Coil	NA	NA	NA	NA
PON30576.1	cd00371;cd02094	IPR006121	GO:0030001;GO:0046872;GO:0000166;GO:0006812;GO:0016021;GO:0019829	PF00122;PF00702;PF00403	G3DSA:3.30.70.100;G3DSA:3.40.1110.10;G3DSA:3.40.50.1000;G3DSA:2.70.150.20	SSF81653;SSF55008;SSF56784;SSF81665	NA	NA	Reactome: R-HSA-936837	PS50846	PS01047;PS00154	PR00119;PR00120	NA	TIGR01525;TIGR01494	NA	NA	SFLDS00003;SFLDF00027
PON29309.1	NA	IPR019800	GO:0004553;GO:0005975	PF14310;PF01915;PF00933	G3DSA:2.60.40.10;G3DSA:3.40.50.1700;G3DSA:3.20.20.300	SSF52279;SSF51445	SM01217	NA	NA	NA	PS00775	PR00133	NA	NA	NA	NA	NA
PON22418.1	NA	IPR018527	GO:0046872	NA	NA	NA	NA	mobidb-lite	NA	NA	PS00202	NA	Coil	NA	NA	NA	NA
PON23839.1	NA	IPR039558	GO:0016491;GO:0055114;GO:0005506;GO:0016706;GO:0031418;GO:0016705	PF13661;PF10637	G3DSA:2.60.120.620	NA	SM00702	mobidb-lite	NA	PS51471	NA	NA	NA	NA	NA	NA	NA
PON28853.1	NA	IPR002830	GO:0016831	PF01977	G3DSA:3.40.1670.10	SSF50475;SSF143968	NA	NA	KEGG: 00130+4.1.1.98|MetaCyc: PWY-5855|MetaCyc: PWY-5856|MetaCyc: PWY-5857|MetaCyc: PWY-6708|MetaCyc: PWY-6978	NA	NA	NA	NA	TIGR00148	NA	MF_01983	NA
PON29682.1	NA	IPR013087	GO:0003676	PF00096	G3DSA:3.30.160.60	SSF57667	SM00355	mobidb-lite	NA	PS50157	PS00028	NA	NA	NA	NA	NA	NA
PON27797.1	NA	IPR007345	NA	PF04230	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26081.1	NA	IPR032675	NA	NA	G3DSA:3.80.10.10	SSF52047	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON26644.1	cd00067	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF11951;PF00172	G3DSA:4.10.240.10	SSF57701	SM00066	NA	NA	PS50048	NA	NA	NA	NA	NA	NA	NA
PON30999.1	cd07521	IPR004274	GO:0016791	PF03031	G3DSA:3.40.50.1000	SSF56784	SM00577	mobidb-lite	NA	PS50969	NA	NA	NA	TIGR02251	NA	NA	NA
PON20698.1	cd12148	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	NA	NA	SM00906	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON22992.1	cd17039	IPR000626	GO:0005515	PF13373;PF10302	G3DSA:3.10.20.90	SSF54236	NA	mobidb-lite	NA	PS50053	NA	NA	NA	NA	NA	NA	NA
PON23655.1	cd01417	IPR000196	GO:0003735;GO:0005840;GO:0006412;GO:0022625	PF01280;PF12074;PF13513	G3DSA:1.10.1650.10;G3DSA:1.25.10.10;G3DSA:1.10.1200.240	SSF48371;SSF48140	SM01349;SM01416	mobidb-lite	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS50077	PS00526	NA	Coil	NA	NA	MF_01475	NA
PON27883.1	NA	IPR013898	NA	PF08589	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23404.1	NA	IPR006694	GO:0005506;GO:0008610;GO:0016491;GO:0055114	PF04116	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28214.1	cd03017	IPR036249	GO:0016209;GO:0016491;GO:0055114;GO:0045454	PF00578	G3DSA:3.40.30.10	SSF52833	NA	mobidb-lite	KEGG: 00480+1.11.1.15|Reactome: R-HSA-3299685	PS51352	NA	NA	NA	NA	NA	NA	NA
PON25354.1	NA	NA	NA	NA	G3DSA:2.170.300.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24032.1	cd00200	IPR013934	GO:0006364;GO:0032040;GO:0005515	PF08625;PF00400	G3DSA:2.130.10.10	SSF50978	SM00320	mobidb-lite	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	PS50082;PS50294	PS00678	PR00320	NA	NA	NA	NA	NA
PON21284.1	cd09271	IPR013924	GO:0006401;GO:0032299	PF08615	G3DSA:3.30.200.130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21604.1	cd02961;cd02995;cd02982;cd02981	IPR013766	GO:0045454;GO:0003756;GO:0016853	PF00085;PF13848	G3DSA:3.40.30.10	SSF52833	NA	mobidb-lite	NA	PS51352	PS00194	PR00421	NA	TIGR01130;TIGR01126	NA	NA	NA
PON24906.1	NA	IPR037176	NA	PF00314	NA	SSF49870	SM00205	NA	NA	PS51367	NA	NA	NA	NA	PIRSF002703	NA	NA
PON25669.1	cd12148	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	NA	NA	SM00906	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26238.1	NA	IPR027417	NA	NA	G3DSA:3.40.50.300	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26780.1	NA	IPR024535	NA	PF12708	G3DSA:2.160.20.10	SSF51126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30849.1	NA	IPR003673	GO:0008410	PF02515	G3DSA:3.40.50.10540	SSF89796	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21873.1	cd02660	IPR018200	GO:0006511;GO:0036459;GO:0016579	PF00443	G3DSA:3.90.70.10;G3DSA:3.30.40.10	SSF57850;SSF54001	NA	mobidb-lite	NA	PS50235	PS00973	NA	NA	NA	NA	NA	NA
PON24023.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON26370.1	cd00200	IPR017986	GO:0005515	PF00400;PF05729	G3DSA:2.130.10.10;G3DSA:3.40.50.300	SSF50998;SSF52540	SM00320	NA	NA	PS50294;PS50082;PS50837	PS00678	PR00320	NA	NA	NA	NA	NA
PON26967.1	NA	IPR003779	GO:0051920;GO:0055114	PF02627	G3DSA:1.20.1290.10	SSF69118	NA	NA	KEGG: 00480+1.11.1.15	NA	NA	NA	NA	NA	NA	NA	NA
PON20437.1	cd15473	IPR020683	GO:0005515	PF12796;PF01843	G3DSA:1.25.40.20	SSF48403	SM01132;SM00248	mobidb-lite	NA	PS50088;PS50297;PS51126	NA	NA	NA	NA	NA	NA	NA
PON24510.1	NA	NA	NA	NA	G3DSA:3.30.230.90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23075.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON28840.1	NA	IPR001509	GO:0003824;GO:0050662	PF01370	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29295.1	cd00200	IPR001680	GO:0005515	PF00400	G3DSA:2.130.10.10	SSF50998	SM00320	NA	NA	PS50082;PS50294	PS00678	PR00320	NA	NA	NA	NA	NA
PON25391.1	NA	IPR010730	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22135.1	cd17356	IPR020846	GO:0016021;GO:0022857;GO:0055085;GO:0016020	PF00083	G3DSA:1.20.1250.20	SSF103473	NA	NA	Reactome: R-HSA-189200	PS50850	PS00216	PR00171	Coil	TIGR00879	NA	NA	NA
PON24495.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28692.1	cd00609	IPR004839	GO:0009058;GO:0030170;GO:0003824	PF00155	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	SSF53383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30761.1	NA	IPR024382	NA	PF12955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27012.1	NA	IPR002347	NA	PF00106	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA
PON23348.1	cd17327	IPR020846	GO:0055085	PF07690	G3DSA:1.20.1250.20	SSF103473	NA	mobidb-lite	NA	PS50850	NA	NA	Coil	NA	NA	NA	NA
PON21464.1	cd05790	IPR036612	GO:0003723	PF18311;PF15985	G3DSA:2.40.50.140;G3DSA:3.30.1370.10	SSF50249;SSF54791	NA	NA	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	NA	NA	NA	Coil	NA	NA	NA	NA
PON29522.1	cd14279	IPR037151	GO:0016491;GO:0055114;GO:0008270	PF13532;PF06839	G3DSA:2.60.120.590	SSF51197	NA	mobidb-lite	NA	PS51471	NA	NA	NA	NA	NA	NA	NA
PON24000.1	cd06141	IPR012337	GO:0003676;GO:0006139;GO:0008408	PF01612	G3DSA:3.30.420.10	SSF53098	SM00474	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON20889.1	NA	NA	NA	PF13233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27048.1	NA	IPR001494	GO:0006886;GO:0008536	PF03810	G3DSA:1.25.10.10	SSF48371	SM00913	mobidb-lite	NA	PS50166	NA	NA	NA	NA	NA	NA	NA
PON27669.1	NA	IPR020683	GO:0005515	PF12796;PF17100	G3DSA:1.25.40.20	SSF48403	SM00248	mobidb-lite	NA	PS50297;PS50088	NA	NA	Coil	NA	NA	NA	NA
PON23936.1	cd06257	IPR036386	GO:0051259;GO:0001671;GO:0051087;GO:0097428	PF07743;PF00226	G3DSA:1.10.287.110;G3DSA:1.20.1280.20	SSF47144;SSF46565	SM00271	mobidb-lite	Reactome: R-HSA-1268020|Reactome: R-HSA-1362409	PS50076	NA	NA	NA	TIGR00714	NA	NA	NA
PON20961.1	NA	IPR004837	GO:0016021;GO:0055085	PF01699	G3DSA:1.20.1420.30	NA	NA	mobidb-lite	Reactome: R-HSA-425561	NA	NA	NA	NA	NA	NA	NA	NA
PON25785.1	cd18186	IPR000210	GO:0005515	PF00651	NA	SSF54695	SM00225	NA	NA	PS50097	NA	NA	Coil	NA	NA	NA	NA
PON30556.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27885.1	NA	IPR023393	NA	PF11274	G3DSA:3.30.530.20	SSF55961	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON22261.1	NA	IPR018606	GO:0031047;GO:0033167	PF09692	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26580.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30429.1	NA	IPR036561	GO:0005759	PF02330	G3DSA:3.10.280.10	SSF54529	NA	mobidb-lite	Reactome: R-HSA-111471|Reactome: R-HSA-140837|Reactome: R-HSA-9645722	NA	NA	NA	NA	NA	NA	NA	NA
PON27425.1	cd00067	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	SSF57701	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23869.1	NA	IPR032710	NA	NA	G3DSA:3.10.450.50	SSF54427	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28915.1	NA	IPR002347	NA	PF00106	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA
PON24526.1	NA	IPR002401	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	G3DSA:1.10.630.10	SSF48264	NA	NA	NA	NA	PS00086	PR00463	Coil	NA	NA	NA	NA
PON26302.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27156.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON26689.1	cd02892	IPR008930	GO:0000250;GO:0005811;GO:0016104;GO:0016866;GO:0042300	PF13243;PF13249	G3DSA:2.40.50.310;G3DSA:1.50.10.20	SSF48239	NA	mobidb-lite	Reactome: R-HSA-191273|Reactome: R-HSA-2426168	NA	PS01074	NA	NA	TIGR01787	NA	NA	SFLDG01016
PON22059.1	cd17356	IPR036259	GO:0016021;GO:0022857;GO:0055085	PF00083	G3DSA:1.20.1250.20	SSF103473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29588.1	NA	IPR040457	GO:0043015	PF04130;PF17681	G3DSA:1.20.120.1900	NA	NA	mobidb-lite	Reactome: R-HSA-380270|Reactome: R-HSA-380320	NA	NA	NA	NA	NA	NA	NA	NA
PON27376.1	NA	IPR018466	NA	PF10342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
