Gene	interpro	GO	ProSiteProfiles	Pfam	Gene3D	MobiDBLite	SUPERFAMILY	SMART	Coils	CDD	PRINTS	ProSitePatterns	PATHWAY	PIRSF	TIGRFAM	Hamap	SFLD
PTB56308.1	IPR036789	GO:0003735;GO:0005840;GO:0006412;GO:0019843	NA	PF00347	G3DSA:3.90.930.12	mobidb-lite	SSF56053	NA	NA	NA	PR00059	PS00525	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA
PTB60266.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	PS50048	PF04082;PF00172	G3DSA:4.10.240.10	NA	SSF57701	SM00066;SM00906	Coil	cd12148;cd00067	NA	PS00463	NA	NA	NA	NA	NA
PTB51818.1	IPR004827	GO:0003700;GO:0006355	NA	NA	G3DSA:1.20.5.170	mobidb-lite	SSF57959	SM00338	Coil	cd14688	NA	PS00036	NA	NA	NA	NA	NA
PTB53513.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	PF00172;PF04082	G3DSA:4.10.240.10	NA	SSF57701	SM00066;SM00906	NA	cd00067;cd12148	NA	PS00463	NA	NA	NA	NA	NA
PTB54054.1	IPR023395	NA	PS50920	PF00153	G3DSA:1.50.40.10	mobidb-lite	SSF103506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54389.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52110.1	IPR018189	GO:0004347;GO:0006094;GO:0006096	PS51463	PF00342	G3DSA:3.40.50.10490;G3DSA:1.10.1390.10	NA	SSF53697	NA	NA	cd05015;cd05016	PR00662	PS00765;PS00174	KEGG: 00010+5.3.1.9|KEGG: 00030+5.3.1.9|KEGG: 00500+5.3.1.9|KEGG: 00520+5.3.1.9|MetaCyc: PWY-3801|MetaCyc: PWY-5054|MetaCyc: PWY-5384|MetaCyc: PWY-5514|MetaCyc: PWY-5659|MetaCyc: PWY-6142|MetaCyc: PWY-621|MetaCyc: PWY-622|MetaCyc: PWY-6981|MetaCyc: PWY-6992|MetaCyc: PWY-7238|MetaCyc: PWY-7347|MetaCyc: PWY-7385|MetaCyc: PWY-8013|Reactome: R-HSA-5628897|Reactome: R-HSA-6798695|Reactome: R-HSA-70171|Reactome: R-HSA-70263	NA	NA	MF_00473	NA
PTB49182.1	IPR014721	GO:0003735;GO:0005840;GO:0006412	NA	PF00380	G3DSA:3.30.230.10	NA	SSF54211	NA	NA	NA	NA	PS00360	NA	NA	NA	NA	NA
PTB55636.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49152.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51398.1	IPR002938	GO:0071949	NA	PF01494	G3DSA:3.40.30.120;G3DSA:3.50.50.60;G3DSA:3.30.9.50	NA	SSF51905	NA	NA	NA	PR00420	NA	NA	NA	NA	NA	NA
PTB53407.1	IPR020846	GO:0016021;GO:0022857;GO:0055085;GO:0016020	PS50850	PF00083	G3DSA:1.20.1250.20	NA	SSF103473	NA	NA	cd17356	PR00171	PS00216;PS00217	Reactome: R-HSA-189200	NA	TIGR00879	NA	NA
PTB61049.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48280.1	IPR021765	GO:0043386	NA	PF11807	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59399.1	IPR029058	NA	NA	NA	G3DSA:3.40.50.1820	mobidb-lite	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48380.1	IPR013094	GO:0016787	NA	PF07859	G3DSA:3.40.50.1820	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54493.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB52118.1	IPR018712	NA	NA	PF09994	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB50200.1	IPR020683	GO:0005515	PS50297;PS50088	PF05729;PF12796	G3DSA:1.25.40.20;G3DSA:3.40.50.300	NA	SSF48403	SM00248	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54595.1	IPR005545	NA	NA	PF03795	G3DSA:3.30.70.1060	NA	SSF54909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52033.1	IPR029063	NA	NA	PF13649	G3DSA:3.40.50.150	NA	SSF53335	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA
PTB56959.1	IPR002110	GO:0005515	PS50088;PS50297	PF12796	G3DSA:1.25.40.20	mobidb-lite	SSF48403	SM00248	NA	NA	PR01415	NA	NA	PIRSF000654	NA	NA	NA
