Gene	interpro	GO	SMART	ProSiteProfiles	Pfam	Gene3D	MobiDBLite	CDD	Coils	SUPERFAMILY	ProSitePatterns	PRINTS	PATHWAY	TIGRFAM	PIRSF	Hamap	SFLD
EHK26374.1	IPR019771	GO:0003779;GO:0005737;GO:0008290;GO:0030036;GO:0051016	NA	NA	PF01115	G3DSA:2.40.160.80;G3DSA:1.20.58.570	mobidb-lite	NA	NA	SSF90096	PS00231	PR00192	Reactome: R-HSA-2132295|Reactome: R-HSA-3371497|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436|Reactome: R-HSA-983231	NA	NA	NA	NA
EHK23629.1	IPR000608		SM00212	PS50127	PF00179	G3DSA:3.10.110.10	NA	cd00195	NA	SSF54495	NA	NA	Reactome: R-HSA-983168	NA	NA	NA	NA
EHK23944.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK21296.1	IPR036400	GO:0016491;GO:0055114;GO:0020037	SM01117	PS51384;PS50255	PF00175;PF00970;PF00173	G3DSA:3.10.120.10;G3DSA:3.40.50.80;G3DSA:2.40.30.10	NA	cd06183	NA	SSF55856;SSF52343;SSF63380	PS00191	PR00406;PR00363;PR00371	Reactome: R-HSA-1237044	NA	NA	NA	NA
EHK18309.1	IPR027417	GO:0003924;GO:0016151;GO:0006807	NA	NA	PF02492	G3DSA:3.40.50.300	mobidb-lite	cd05540	NA	SSF52540	NA	NA	NA	TIGR00101	PIRSF005624	MF_01389	NA
EHK25388.1	IPR029058	NA	NA	NA	PF12697	NA	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EHK19700.1	IPR008427	NA	SM00747	NA	PF05730	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25074.1	IPR000182	GO:0008080	NA	PS51186	PF13508	G3DSA:3.40.630.30	NA	cd04301	NA	SSF55729	NA	NA	NA	NA	NA	NA	NA
EHK25747.1	IPR041792	GO:0003993;GO:0046872;GO:0016787	NA	NA	PF14008;PF00149;PF16656	G3DSA:2.60.40.380;G3DSA:3.60.21.10	NA	cd00839	NA	SSF49363;SSF56300	NA	NA	NA	NA	NA	NA	NA
EHK23172.1	IPR011701	GO:0055085	NA	PS50850	PF07690	G3DSA:1.20.1250.20	NA	cd17323	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK21363.1	IPR027469	GO:0006812;GO:0008324;GO:0016021;GO:0055085	NA	NA	PF01545	G3DSA:1.20.1510.10	mobidb-lite	NA	NA	SSF161111	NA	NA	NA	TIGR01297	NA	NA	NA
EHK25877.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24266.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24584.1	IPR038189	GO:0019901	SM01070;SM01069;SM01071	NA	PF08565;PF03234;PF08564	G3DSA:1.20.58.610	mobidb-lite	NA	Coil	SSF101391	NA	NA	Reactome: R-HSA-1227986|Reactome: R-HSA-1236382|Reactome: R-HSA-5637810|Reactome: R-HSA-8863795	NA	NA	NA	NA
EHK20624.1	IPR001680	GO:0005515;GO:0004842;GO:0016567	SM00504;SM00320	PS50082;PS51698;PS50294	PF00400;PF08606	G3DSA:2.130.10.10;G3DSA:3.30.40.10	NA	cd16656	Coil	SSF57850;SSF50978	NA	NA	MetaCyc: PWY-7511	NA	NA	NA	NA
EHK21672.1	IPR015943	GO:0005515	NA	NA	NA	G3DSA:2.130.10.10	NA	NA	NA	SSF63829	NA	NA	NA	NA	NA	NA	NA
EHK25183.1	IPR019564	GO:0001401	NA	NA	PF10568	NA	NA	cd03078	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17036.1	IPR019734	GO:0005515	SM00028	PS50005;PS50293	PF13176;PF13432;PF13181;PF12895;PF00515	G3DSA:1.25.40.10	mobidb-lite	NA	NA	SSF48452	NA	NA	NA	NA	NA	NA	NA
EHK19977.1	IPR036514	GO:0016788	NA	NA	PF00657	G3DSA:3.40.50.1110	NA	cd01846	NA	SSF52266	NA	NA	NA	NA	NA	NA	NA
EHK16958.1	IPR002925	GO:0016787	NA	NA	PF01738	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EHK26269.1	IPR024060	GO:0004848;GO:0000256;GO:0050385	NA	NA	PF04115	G3DSA:2.60.120.480	NA	NA	NA	SSF55144;SSF51182	NA	NA	KEGG: 00230+4.3.2.3|MetaCyc: PWY-5694|MetaCyc: PWY-5705	NA	NA	NA	NA
EHK24943.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SM00906;SM00066	PS50048	PF04082;PF00172	G3DSA:4.10.240.10	NA	cd12148;cd00067	NA	SSF57701	PS00463	NA	NA	NA	NA	NA	NA
EHK16311.1	IPR020806	GO:0031177;GO:0016740;GO:0003824;GO:0016491	SM00823;SM00822;SM00827;SM00826;SM00825;SM00829	PS50075	PF08659;PF00550;PF16197;PF00698;PF02801;PF14765;PF00109	G3DSA:3.40.366.10;G3DSA:3.40.50.720;G3DSA:1.10.1200.10;G3DSA:3.40.47.10;G3DSA:3.10.129.110;G3DSA:3.90.180.10	NA	cd05274;cd05195;cd00833	NA	SSF53901;SSF47336;SSF51735;SSF50129;SSF52151;SSF55048	PS00012;PS00606	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	NA	NA	NA	NA
EHK21193.1	IPR015955	GO:0003824;GO:0005975;GO:0016616;GO:0055114;GO:0016491;GO:0019752	NA	NA	PF00056;PF02866	G3DSA:3.90.110.10;G3DSA:3.40.50.720	NA	cd00300	NA	SSF56327;SSF51735	NA	PR00086	NA	NA	PIRSF000102	NA	NA
EHK19002.1	IPR017328	GO:0008270;GO:0017136;GO:0070403	NA	PS50305	PF02146	G3DSA:3.30.1600.10;G3DSA:3.40.50.1220	mobidb-lite	cd01408	Coil	SSF52467	NA	NA	NA	NA	PIRSF037938	NA	NA
EHK26848.1	IPR036291	GO:0003824;GO:0050662	NA	NA	PF01370	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA
EHK27424.1	IPR004274	NA	SM00577	PS50969	PF03031	G3DSA:3.40.50.1000	mobidb-lite	NA	NA	SSF56784	NA	NA	NA	NA	NA	NA	NA
EHK16650.1	IPR024733		NA	PS51257	PF05089;PF12972;PF12971	G3DSA:3.30.379.10;G3DSA:3.20.20.80;G3DSA:1.20.120.670	NA	NA	NA	SSF51445	NA	NA	KEGG: 00531+3.2.1.50|Reactome: R-HSA-2024096|Reactome: R-HSA-2206282	NA	NA	NA	NA
EHK17200.1	IPR006813	GO:0003830;GO:0006487;GO:0016020	NA	NA	PF04724	NA	NA	NA	NA	NA	NA	NA	KEGG: 00510+2.4.1.144|MetaCyc: PWY-7426|Reactome: R-HSA-975574	NA	NA	NA	NA
EHK15873.1	IPR036397	GO:0003676;GO:0004523;GO:0016070	NA	NA	PF01351	G3DSA:3.30.420.10;G3DSA:1.10.10.460	NA	cd07181	NA	SSF53098	NA	NA	NA	TIGR00729	NA	NA	NA
EHK23847.1	IPR036390	GO:0000814;GO:0071985	NA	NA	PF05871	G3DSA:1.10.10.10;G3DSA:1.10.10.570	NA	NA	NA	SSF46785	NA	NA	Reactome: R-HSA-917729	NA	NA	NA	NA
EHK26023.1	IPR009080	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004817;GO:0006423	NA	NA	PF01406	G3DSA:3.40.50.620	mobidb-lite	cd06503	Coil	SSF52374;SSF47323	NA	PR00983	KEGG: 00970+6.1.1.16	TIGR00435	NA	MF_00041	NA
EHK27432.1	IPR019148	NA	NA	NA	PF09751	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25250.1	IPR006289	GO:0003676;GO:0005634;GO:0006351;GO:0006355;GO:0008270	SM00509;SM00440;SM00510	PS51319;PS51321;PS51133	PF07500;PF08711;PF01096	G3DSA:2.20.25.10;G3DSA:1.20.930.10;G3DSA:1.10.472.30	mobidb-lite	cd00183;cd13749	Coil	SSF46942;SSF47676;SSF57783	PS00466	NA	NA	TIGR01385	PIRSF006704	NA	NA
EHK21403.1	IPR027796	NA	NA	NA	PF14441	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK25185.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25903.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20863.1	IPR036259	GO:0055085	NA	PS50850	PF07690	G3DSA:1.20.1250.20	NA	cd17476	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK23052.1	IPR019826	NA	NA	NA	PF00135	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	PS00122	NA	NA	NA	NA	NA	NA
EHK16876.1	IPR008217	GO:0005384;GO:0030026	NA	NA	PF01988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21926.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	PF00067	G3DSA:1.10.630.10	NA	NA	NA	SSF48264	PS00086	PR00463;PR00385	NA	NA	NA	NA	NA
EHK18395.1	IPR036259	GO:0055085	NA	PS50850	PF07690	G3DSA:1.20.1250.20	mobidb-lite	cd17502	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK22045.1	IPR020846	GO:0055085	NA	PS50850	PF07690	NA	NA	cd17323	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK26339.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22184.1	IPR025261	NA	SM01177	NA	PF13915;PF13889	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25101.1	IPR011701	GO:0055085	NA	PS50850	PF07690	G3DSA:1.20.1250.20	NA	cd17325	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK26151.1	IPR010021		NA	NA	PF09419	G3DSA:3.40.50.1000	NA	NA	NA	SSF56784	NA	NA	KEGG: 00564+3.1.3.27|MetaCyc: PWY-5269|MetaCyc: PWY-5668|MetaCyc: PWY-7817	TIGR01668	NA	NA	NA
EHK20581.1	IPR011701	GO:0055085	NA	PS50850	PF07690	G3DSA:1.20.1250.20	NA	cd17502	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK15826.1	IPR013520	GO:0006364;GO:0008408;GO:0003676	SM00479	NA	PF00929	G3DSA:3.30.420.10	mobidb-lite	cd06144	NA	SSF53098	NA	NA	NA	NA	NA	NA	NA
EHK17521.1	IPR036914	GO:0003937;GO:0004643;GO:0006164;GO:0003824	SM00798;SM00851	PS51855	PF02142;PF01808	G3DSA:3.40.50.1380;G3DSA:3.40.140.20;G3DSA:1.10.287.440	NA	cd01421	NA	SSF52335;SSF53927	NA	NA	KEGG: 00230+3.5.4.10+2.1.2.3|KEGG: 00670+2.1.2.3|MetaCyc: PWY-6123|MetaCyc: PWY-6124|MetaCyc: PWY-7234|Reactome: R-HSA-73817	TIGR00355	PIRSF000414	MF_00139	NA
EHK21399.1	IPR000408	NA	NA	PS50012	PF13540;PF00415	G3DSA:2.130.10.30	NA	NA	NA	SSF50985	PS00626	PR00633	NA	NA	NA	NA	NA
EHK25589.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	PF04082	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16208.1	IPR001680	GO:0005515	SM00320	PS50082;PS50294;PS50837	PF00400;PF13191	G3DSA:2.130.10.10;G3DSA:3.40.50.300	NA	cd00200	NA	SSF52540;SSF50978;SSF101898	PS00678	NA	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	NA	NA
EHK25905.1	IPR008271	GO:0004672;GO:0006468;GO:0005524	SM00220	PS50011	PF00069	G3DSA:1.10.510.10	mobidb-lite	NA	NA	SSF56112	PS00108;PS00107	NA	NA	NA	NA	NA	NA
EHK16890.1	IPR036852	GO:0004252;GO:0006508;GO:0005618;GO:0016020	NA	NA	PF06280;PF00082	G3DSA:3.40.50.200;G3DSA:3.50.30.30	NA	cd07489	NA	SSF52743	PS00137;PS00136	PR00723	NA	NA	NA	NA	NA
EHK17310.1	IPR017938	GO:0016491;GO:0055114;GO:0048037	NA	PS51384	PF00175	G3DSA:3.40.50.80;G3DSA:2.30.110.10;G3DSA:2.40.30.10	NA	NA	NA	SSF63380;SSF52343	NA	NA	NA	NA	NA	NA	NA
EHK18517.1	IPR036291	NA	NA	NA	PF00106	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	PR00081	NA	NA	NA	NA	NA
EHK23744.1	IPR017804	GO:0008168	NA	NA	PF10017	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	NA	TIGR03439	PIRSF018005	NA	NA
EHK16429.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18296.1	IPR016084		SM01236	NA	PF14518	G3DSA:1.20.910.10	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-189483|Reactome: R-HSA-917937	NA	NA	NA	NA
EHK15495.1	IPR027417	GO:0003677;GO:0006260;GO:0005524	SM00382	NA	PF00004;PF08542	G3DSA:1.10.8.60;G3DSA:3.40.50.300;G3DSA:1.20.272.10	NA	cd00009;cd18140	NA	SSF52540;SSF48019	NA	NA	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091	NA	NA	NA	NA
EHK18467.1	IPR019775	GO:0005515	SM00320	PS50082;PS50294	PF00400	G3DSA:2.130.10.10	NA	cd00200	NA	SSF50978	PS00678	PR00320	NA	NA	NA	NA	NA
EHK25186.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24982.1	IPR032691	NA	NA	NA	PF12783;PF16213;PF16206	NA	mobidb-lite	NA	Coil	SSF48371	NA	NA	NA	NA	NA	NA	NA
EHK20971.1	IPR025337	GO:0016491	NA	NA	PF14027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16598.1	IPR001780	GO:0003735;GO:0005840;GO:0006412	NA	NA	PF01247	G3DSA:2.40.10.190	NA	NA	NA	SSF50447	PS01105	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	MF_00573	NA
EHK18495.1	IPR015422	GO:0003824;GO:0016740;GO:0009058;GO:0030170	NA	NA	PF00155	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	NA	NA	SSF53383	PS00599	NA	NA	NA	NA	NA	NA
EHK20363.1	IPR015928	GO:0003861;GO:0009098;GO:0009316;GO:0051539	NA	NA	PF00330;PF00694	G3DSA:3.20.19.10;G3DSA:3.30.499.10;G3DSA:3.30.499.20	NA	cd01577;cd01583	NA	SSF53732;SSF52016	PS00450;PS01244	PR00415	KEGG: 00290+4.2.1.33	TIGR00171	NA	MF_01031;MF_01026	NA
EHK21999.1	IPR002401	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	PF00067	G3DSA:1.10.630.10	NA	NA	NA	SSF48264	NA	PR00463	NA	NA	NA	NA	NA
EHK25894.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK27132.1	IPR001357	NA	SM00292	PS50172	PF16589	G3DSA:3.40.50.10190	mobidb-lite	cd17719	NA	SSF52113	NA	NA	NA	NA	NA	NA	NA
EHK20957.1	IPR018208	GO:0004553;GO:0005975	NA	PS51761	PF00457	G3DSA:2.60.120.180	NA	NA	NA	SSF49899	PS00776;PS00777	PR00911	MetaCyc: PWY-6717|MetaCyc: PWY-6784	NA	NA	NA	NA
EHK24555.1	IPR000530	GO:0003735;GO:0005840;GO:0006412	NA	NA	PF01248	G3DSA:3.30.1330.30	mobidb-lite	NA	NA	SSF55315	PS01189	PR00972	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA
EHK20854.1	IPR036249	GO:0005515	NA	NA	PF13417	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	NA	cd00299	NA	SSF52833;SSF47616	NA	NA	NA	NA	NA	NA	NA
EHK23525.1	IPR035994	GO:0003824;GO:0009116	NA	NA	NA	G3DSA:3.40.50.1580	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19230.1	IPR006035	GO:0046872;GO:0016813	NA	PS51409	PF00491	G3DSA:3.40.800.10	NA	cd11592	NA	SSF52768	PS01053	PR00116	NA	NA	PIRSF036979	NA	NA
EHK22818.1	IPR018767	GO:0031965;GO:0055088	SM01042	NA	PF10104	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24146.1	IPR036291	NA	NA	NA	PF00106	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	PR00081	NA	NA	NA	NA	NA
EHK26967.1	IPR025204		NA	NA	PF13092	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	NA	NA	NA	NA
EHK19688.1	IPR025676	NA	NA	NA	PF14420	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20851.1	IPR036291	GO:0016491	NA	NA	PF01408	G3DSA:3.30.360.10;G3DSA:3.40.50.720	NA	NA	NA	SSF51735;SSF55347	NA	NA	NA	NA	NA	NA	NA
EHK24778.1	IPR008501	GO:0000445;GO:0006397	NA	NA	PF05615	NA	mobidb-lite	NA	Coil	NA	NA	NA	Reactome: R-HSA-159236|Reactome: R-HSA-72187|Reactome: R-HSA-73856	NA	NA	NA	NA
EHK26289.1	IPR010730	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24217.1	IPR011701	GO:0055085	NA	NA	PF07690	NA	NA	cd17330	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK21642.1	IPR016461	GO:0008168;GO:0008171	NA	PS51683	PF00891	G3DSA:3.40.50.150;G3DSA:1.10.10.10	NA	NA	NA	SSF46785;SSF53335	NA	NA	NA	NA	PIRSF005739	NA	NA
EHK18357.1	IPR002129	GO:0016831;GO:0019752;GO:0030170;GO:0003824	NA	NA	PF00282	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	NA	Coil	SSF53383	NA	NA	NA	NA	NA	NA	NA
EHK22994.1	IPR003819	GO:0016491;GO:0055114	NA	NA	PF02668	G3DSA:3.60.130.10	NA	NA	NA	SSF51197	NA	NA	Reactome: R-HSA-71262	NA	NA	NA	NA
EHK23112.1	IPR013149	GO:0055114;GO:0008270;GO:0016491	SM00829	NA	PF00107;PF08240	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	cd05283	NA	SSF50129;SSF51735	PS00059;PS00065	NA	Reactome: R-HSA-71384	NA	NA	NA	NA
EHK16709.1	IPR000426	GO:0004175;GO:0006511;GO:0019773;GO:0004298;GO:0005839;GO:0051603	SM00948	PS51475	PF00227	G3DSA:3.60.20.10	mobidb-lite	cd03755	NA	SSF56235	NA	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	NA	NA
EHK18187.1	IPR036282	GO:0004364;GO:0005737;GO:0005515	NA	PS50405;PS50404	PF13410;PF13417	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	NA	cd00570	NA	SSF47616;SSF52833	NA	PR01625	KEGG: 00053+1.8.5.1|KEGG: 00480+2.5.1.18+1.8.5.1|KEGG: 00980+2.5.1.18|KEGG: 00982+2.5.1.18|KEGG: 00983+2.5.1.18|MetaCyc: PWY-2261|MetaCyc: PWY-4061|MetaCyc: PWY-4202|MetaCyc: PWY-6370|MetaCyc: PWY-6842|MetaCyc: PWY-7112|MetaCyc: PWY-7533|Reactome: R-HSA-156590|Reactome: R-HSA-196836	NA	NA	NA	SFLDG00358;SFLDS00019
EHK16013.1	IPR037047	NA	NA	PS51532	PF06201	G3DSA:2.60.120.470	mobidb-lite	NA	NA	SSF49785	NA	NA	NA	NA	NA	NA	NA
EHK15421.1	IPR009071	GO:0003677;GO:0006904;GO:0016192;GO:0005515;GO:0016491;GO:0055114	SM00398	PS50934;PS50118	PF00505;PF04433;PF01593;PF00995	G3DSA:3.90.660.10;G3DSA:3.50.50.60;G3DSA:1.10.30.10;G3DSA:1.10.10.10;G3DSA:3.40.50.1910;G3DSA:1.25.40.850;G3DSA:3.40.50.2060;G3DSA:3.90.830.10	mobidb-lite	cd01390	Coil	SSF46689;SSF51905;SSF56815;SSF54373;SSF47095	NA	NA	NA	NA	NA	NA	NA
EHK25451.1	IPR008253	GO:0016020	NA	NA	PF01284	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16062.1	IPR029058	NA	NA	NA	PF00135	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	PS00122	NA	NA	NA	NA	NA	NA
EHK21075.1	IPR018108	NA	NA	PS50920	PF00153	G3DSA:1.50.40.10	NA	NA	NA	SSF103506	NA	NA	NA	NA	NA	NA	NA
EHK20397.1	IPR035994	GO:0003824;GO:0009116	NA	NA	PF01048	NA	NA	cd09008	NA	SSF53167	NA	NA	NA	NA	NA	NA	NA
EHK19217.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21597.1	IPR004813	GO:0055085	NA	NA	PF03169	NA	NA	NA	Coil	NA	NA	NA	NA	TIGR00728	NA	NA	NA
EHK18319.1	IPR001279	NA	SM00849	NA	PF00753	G3DSA:3.60.15.10	NA	cd07730	NA	SSF56281	NA	NA	NA	NA	NA	NA	NA
EHK21317.1	IPR001806	GO:0003924;GO:0005525	SM00173;SM00175;SM00174	PS51419	PF00071	NA	mobidb-lite	cd00154	NA	SSF52540	NA	PR00449	NA	TIGR00231	NA	NA	NA
