Gene	MobiDBLite	interpro	GO	PATHWAY	Pfam	SUPERFAMILY	Gene3D	SMART	CDD	PRINTS	ProSiteProfiles	ProSitePatterns	TIGRFAM	Hamap	Coils	PIRSF	SFLD
KAF3059180.1	mobidb-lite	IPR036259	GO:0016021;GO:0022857;GO:0055085;GO:0016020	Reactome: R-HSA-189200	PF00083	SSF103473	G3DSA:1.20.1250.20	NA	cd17358	PR00171	PS50850	PS00217	NA	NA	NA	NA	NA
KAF3055431.1	NA	IPR012341	GO:0003824;GO:0004571;GO:0005509;GO:0016020	NA	PF01532	SSF48225	G3DSA:1.50.10.10	NA	NA	PR00747	NA	NA	NA	NA	NA	NA	NA
KAF3074606.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3066827.1	NA	IPR039297	NA	NA	PF02238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3071722.1	mobidb-lite	IPR036823	NA	NA	PF00177	SSF47973	G3DSA:1.10.455.10	NA	cd14868	NA	NA	NA	NA	NA	NA	NA	NA
KAF3072263.1	mobidb-lite	IPR010658	NA	NA	PF06813	SSF103473	G3DSA:1.20.1250.20	NA	cd17354	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075707.1	mobidb-lite	NA	NA	NA	NA	NA	G3DSA:1.20.58.340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3063156.1	NA	IPR018717	NA	NA	PF10000	SSF55021	G3DSA:3.30.2130.10	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3074775.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF04082;PF00172	SSF57701	G3DSA:4.10.240.10	SM00906;SM00066	cd00067;cd12148	NA	PS50048	PS00463	NA	NA	NA	NA	NA
KAF3071812.1	NA	IPR017075	GO:0004484;GO:0006370;GO:0031533	MetaCyc: PWY-7375	PF03919;PF01331	SSF50249;SSF56091	G3DSA:3.30.470.30;G3DSA:2.40.50.140	NA	cd07895	NA	NA	NA	NA	NA	NA	PIRSF036959	NA
KAF3069937.1	NA	IPR016624	NA	NA	PF10022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF014753	NA
KAF3072483.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3066198.1	NA	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF00172;PF04082	SSF57701	G3DSA:4.10.240.10	SM00906;SM00066	cd12148;cd00067	NA	PS50048	PS00463	NA	NA	Coil	NA	NA
KAF3073505.1	NA	IPR011990	GO:0005515	NA	NA	SSF48452	NA	SM00028	NA	NA	PS50005	NA	NA	NA	NA	NA	NA
KAF3074996.1	mobidb-lite	IPR013598	GO:0006886;GO:0008536;GO:0005049	Reactome: R-HSA-141444|Reactome: R-HSA-165054|Reactome: R-HSA-168333|Reactome: R-HSA-2173788|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3769402|Reactome: R-HSA-450520|Reactome: R-HSA-5663220|Reactome: R-HSA-5687128|Reactome: R-HSA-68877|Reactome: R-HSA-69273|Reactome: R-HSA-9634638	PF08389;PF08767;PF18787;PF18777;PF18784;PF03810	SSF48371	G3DSA:1.25.10.10	SM00913;SM01102	NA	NA	PS50166	NA	NA	NA	NA	NA	NA
KAF3066784.1	mobidb-lite	IPR033391	GO:0005975;GO:0042578;GO:0016791	KEGG: 00010+3.1.3.11|KEGG: 00030+3.1.3.11|KEGG: 00051+3.1.3.11|KEGG: 00680+3.1.3.11|KEGG: 00710+3.1.3.11|MetaCyc: PWY-5484|Reactome: R-HSA-70263	PF00316	SSF56655	G3DSA:3.40.190.80;G3DSA:3.30.540.10	NA	NA	PR01958	NA	PS00124	NA	NA	NA	NA	NA
KAF3070143.1	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF11951;PF00172	SSF57701	G3DSA:4.10.240.10	SM00066	cd00067	NA	PS50048	PS00463	NA	NA	NA	NA	NA
KAF3055454.1	NA	IPR012341	GO:0003824	Reactome: R-HSA-70221	PF00723	SSF48208	G3DSA:1.50.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077524.1	mobidb-lite	IPR009327	NA	NA	PF06172	SSF51182	G3DSA:2.60.120.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3060498.1	NA	NA	NA	NA	NA	NA	NA	NA	cd18724	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075761.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3055490.1	NA	IPR036259	GO:0055085	NA	PF07690	SSF103473	G3DSA:1.20.1250.20	NA	cd17327	NA	PS50850	NA	NA	NA	NA	NA	NA
KAF3066166.1	mobidb-lite	IPR001594	GO:0016409	NA	PF01529	NA	NA	NA	NA	NA	PS50216	NA	NA	NA	NA	NA	NA
KAF3068258.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	SSF57701	G3DSA:4.10.240.10	SM00066	cd00067	NA	PS50048	PS00463	NA	NA	Coil	NA	NA
KAF3063139.1	mobidb-lite	IPR036259	GO:0055085	NA	PF07690	SSF103473	G3DSA:1.20.1720.10	NA	cd17386;cd17502	NA	PS50850	NA	NA	NA	NA	NA	NA
KAF3077217.1	NA	IPR010730	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3063191.1	mobidb-lite	IPR029063	NA	NA	PF10294	SSF53335	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3066012.1	mobidb-lite	IPR005198	GO:0003824	NA	PF03663	SSF48208	G3DSA:1.50.10.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3056779.1	mobidb-lite	IPR013026	GO:0005515	NA	PF17109	SSF48452;SSF52540	G3DSA:1.25.40.10;G3DSA:3.40.50.300	SM00028	NA	NA	PS50293;PS50005	NA	NA	NA	NA	NA	NA
KAF3072000.1	mobidb-lite	IPR029498	GO:0004672;GO:0005524;GO:0006468	NA	PF14479	SSF56112	G3DSA:1.20.120.1020;G3DSA:1.10.510.10	NA	NA	NA	PS50011	NA	NA	NA	NA	NA	NA
KAF3067905.1	NA	IPR036188	NA	NA	PF13450;PF13434	SSF51905	G3DSA:3.50.50.60	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA
KAF3075833.1	mobidb-lite	IPR035587	GO:0008033;GO:0017150;GO:0050660;GO:0055114;GO:0003824	NA	PF01207	SSF51395	G3DSA:3.20.20.70	NA	cd02801	NA	NA	PS01136	NA	NA	NA	NA	NA
KAF3060696.1	mobidb-lite	IPR004695	GO:0016021;GO:0055085;GO:0015140;GO:0071423	NA	PF03595	NA	G3DSA:1.50.10.150	NA	cd09317	NA	NA	NA	NA	NA	NA	NA	NA
KAF3060874.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3068784.1	NA	NA	NA	NA	NA	NA	G3DSA:2.60.20.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077370.1	NA	IPR022567	GO:0003824;GO:0005975	NA	PF11941;PF00128	SSF51011;SSF51445	G3DSA:3.90.400.10;G3DSA:3.20.20.80;G3DSA:2.60.40.1180	SM00642	cd11333	NA	NA	NA	NA	NA	NA	NA	NA
KAF3056103.1	mobidb-lite	IPR010994	GO:0004571;GO:0005509;GO:0016020;GO:0003684;GO:0004519;GO:0005634;GO:0006281;GO:0003824	Reactome: R-HSA-5685938|Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6783310	PF01532;PF03834	SSF47781;SSF52980;SSF48225	G3DSA:1.50.10.10;G3DSA:1.10.150.20;G3DSA:3.40.50.10130	NA	NA	PR00747	NA	NA	TIGR00597	NA	NA	NA	NA
KAF3074931.1	NA	IPR000131	GO:0015986;GO:0045261;GO:0046933	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	PF00231	SSF52943	G3DSA:1.10.287.80;G3DSA:3.40.1380.10	NA	cd12151	PR00126	NA	PS00153	TIGR01146	NA	NA	PIRSF039089	NA
KAF3072186.1	mobidb-lite	IPR011992	GO:0005515;GO:0005509	NA	PF00627;PF12763	SSF47473;SSF46934	G3DSA:1.10.238.10;G3DSA:1.10.8.10	SM00027;SM00165	cd16855;cd00052	NA	PS50030;PS50222;PS50031	NA	NA	NA	Coil	NA	NA
KAF3065439.1	mobidb-lite	IPR032741	GO:0005743	NA	PF14611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3066757.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3076355.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3074300.1	mobidb-lite	IPR006172	GO:0000166;GO:0003676;GO:0003887;GO:0003677;GO:0006260;GO:0005515	Reactome: R-HSA-113501|Reactome: R-HSA-174411|Reactome: R-HSA-174430|Reactome: R-HSA-68952|Reactome: R-HSA-68962|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183|Reactome: R-HSA-69205	PF12254;PF00136;PF08996;PF03104;PF13041	SSF56672;SSF53098	G3DSA:2.40.50.730;G3DSA:3.30.70.2820;G3DSA:1.10.287.690;G3DSA:1.10.132.60;G3DSA:3.90.1600.10;G3DSA:1.25.40.10;G3DSA:3.30.420.10;G3DSA:1.10.3200.20	SM00486	cd05532;cd05776	PR00106	PS51375	PS00116	TIGR00592;TIGR00756	NA	Coil	NA	NA
KAF3060184.1	mobidb-lite	IPR002909	NA	NA	PF01833	SSF81296	G3DSA:2.60.40.10	SM00429	cd00102	NA	NA	NA	NA	NA	NA	NA	NA
KAF3056711.1	NA	IPR020904	GO:0016491;GO:0055114;GO:0016620;GO:0008270	Reactome: R-HSA-71384	PF08240;PF13561;PF00107;PF00171	SSF50129;SSF51735;SSF53720	G3DSA:3.40.50.720;G3DSA:3.40.605.10;G3DSA:3.40.309.10;G3DSA:3.90.180.10	SM00829	cd05233;cd08278	PR00081;PR00080	NA	PS00061;PS00687;PS00059	NA	NA	NA	NA	NA
KAF3063059.1	mobidb-lite	IPR011993	GO:0046907;GO:0006355	NA	PF00638;PF03366	SSF50729	G3DSA:2.30.29.30;G3DSA:2.60.40.1970	SM00160	cd13179;cd16905	NA	PS50196;PS51037	NA	NA	NA	NA	NA	NA
KAF3056876.1	NA	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PF00067	SSF48264	G3DSA:1.10.630.10	NA	NA	PR00385;PR00463	NA	PS00086	NA	NA	NA	NA	NA
KAF3074961.1	NA	IPR002293	GO:0016020;GO:0022857;GO:0055085;GO:0006865;GO:0016021	NA	PF13520	NA	G3DSA:1.20.1740.10	NA	NA	NA	NA	PS00218	NA	NA	NA	PIRSF006060	NA
KAF3072763.1	mobidb-lite	IPR002925	GO:0016787;GO:0000287;GO:0008897	KEGG: 00770+2.7.8.7|MetaCyc: PWY-6012|MetaCyc: PWY-6012-1|MetaCyc: PWY-6289|Reactome: R-HSA-199220	PF01738;PF01648	SSF56214;SSF53474	G3DSA:3.90.470.20;G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3071588.1	mobidb-lite	IPR011022	NA	NA	PF02752;PF00339	SSF81296	G3DSA:2.60.40.640	SM01017	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3067001.1	mobidb-lite	NA	NA	NA	NA	NA	G3DSA:2.40.240.110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3065997.1	NA	IPR009991	GO:0005869;GO:0061640	Reactome: R-HSA-2132295|Reactome: R-HSA-2565942|Reactome: R-HSA-3371497|Reactome: R-HSA-380259|Reactome: R-HSA-380270|Reactome: R-HSA-380284|Reactome: R-HSA-380320|Reactome: R-HSA-5620912|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436|Reactome: R-HSA-8854518	PF07426	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3068178.1	mobidb-lite	IPR038397	GO:0000902;GO:0015631	Reactome: R-HSA-389977	PF16752;PF07986	NA	G3DSA:1.20.58.1250;G3DSA:2.160.20.70	SM00673	NA	NA	PS51329	NA	NA	NA	Coil	NA	NA
KAF3075332.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	SSF57701	G3DSA:4.10.240.10	SM00066	cd00067	NA	NA	PS00463	NA	NA	NA	NA	NA
KAF3076481.1	NA	IPR020595	GO:0006904;GO:0016192;GO:0002098	Reactome: R-HSA-6787450	PF00995;PF01134;PF13932	SSF56815;SSF51905	G3DSA:3.40.50.2060;G3DSA:3.50.50.60;G3DSA:3.40.50.1910;G3DSA:1.25.40.60;G3DSA:1.10.150.570;G3DSA:3.90.830.10	SM01228	NA	NA	NA	PS01280;PS01281	TIGR00136	MF_00129	NA	NA	NA
KAF3073728.1	NA	IPR018810	NA	NA	PF10303	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3073595.1	NA	IPR033658	GO:0009055;GO:0015035;GO:0045454	NA	PF00462	SSF52833	G3DSA:3.40.30.10	NA	cd03028	NA	PS51354	NA	TIGR00365	NA	NA	NA	NA
KAF3075859.1	NA	IPR025423	NA	NA	PF13664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3068204.1	mobidb-lite	IPR036259	GO:0016021;GO:0022857;GO:0055085	NA	PF00083	SSF103473	G3DSA:1.20.1250.20	NA	cd17364	NA	PS50850	PS00216	NA	NA	NA	NA	NA
KAF3059034.1	mobidb-lite	IPR008628	GO:0070273	NA	PF05719	NA	G3DSA:1.10.3630.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3060247.1	mobidb-lite	IPR035994	GO:0003824;GO:0009116	NA	PF01048	SSF53167	NA	NA	cd09008	NA	NA	NA	NA	NA	NA	NA	NA
KAF3069240.1	mobidb-lite	IPR018234	GO:0003934;GO:0046654	KEGG: 00790+3.5.4.16|MetaCyc: PWY-5663|MetaCyc: PWY-5664|MetaCyc: PWY-6147|MetaCyc: PWY-6703|MetaCyc: PWY-6983|MetaCyc: PWY-7442|MetaCyc: PWY-7852|Reactome: R-HSA-1474151	PF01227	SSF55620	G3DSA:3.30.1130.10;G3DSA:1.10.286.10	NA	cd00642	NA	NA	PS00859;PS00860	TIGR00063	MF_00223	Coil	NA	NA
KAF3069953.1	NA	IPR006076	GO:0016491;GO:0055114;GO:0003884;GO:0046416;GO:0071949	Reactome: R-HSA-389661|Reactome: R-HSA-9033241	PF01266	SSF51971;SSF54373	G3DSA:3.40.50.720;G3DSA:3.30.9.10	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF000189	NA
KAF3062848.1	NA	IPR009091	NA	NA	PF13540;PF00415	SSF50985	G3DSA:2.130.10.30	NA	NA	PR00633	PS50012	NA	NA	NA	NA	NA	NA
KAF3066141.1	NA	IPR000537	GO:0016021;GO:0016765	NA	PF01040	NA	NA	NA	cd13965	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077342.1	mobidb-lite	IPR013860	NA	NA	PF08550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3058879.1	mobidb-lite	IPR025040	NA	NA	PF13136	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3069232.1	mobidb-lite	IPR000210	GO:0005515	NA	PF00651	SSF54695	NA	NA	cd18186	NA	PS50097	NA	NA	NA	NA	NA	NA
KAF3056941.1	mobidb-lite	IPR000209	GO:0004252;GO:0006508	NA	PF00082	SSF52743	G3DSA:3.40.50.200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3063248.1	NA	IPR015422	GO:0003824;GO:0004648;GO:0006564	KEGG: 00260+2.6.1.52|KEGG: 00270+2.6.1.52|KEGG: 00680+2.6.1.52|KEGG: 00750+2.6.1.52|MetaCyc: PWY-8010|Reactome: R-HSA-977347	PF00266	SSF53383	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	NA	NA	NA	NA	NA	MF_00160	NA	PIRSF000525	NA
KAF3074550.1	NA	IPR015366	GO:0008236;GO:0004252;GO:0006508	Reactome: R-HSA-381038	PF09286	SSF54897;SSF52743	G3DSA:3.40.50.200	SM00944	cd11377;cd04056	NA	PS51695	NA	NA	NA	NA	NA	NA
KAF3071967.1	mobidb-lite	IPR000530	GO:0003735;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF01248	SSF55315	G3DSA:3.30.1330.30	NA	NA	PR00972	NA	PS01189	NA	NA	NA	NA	NA
KAF3077323.1	NA	IPR004853	NA	NA	PF03151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077112.1	mobidb-lite	IPR036910	NA	NA	PF00505	SSF47095	G3DSA:1.10.30.10	SM00398	cd00084	NA	PS50118	NA	NA	NA	Coil	NA	NA
KAF3073494.1	mobidb-lite	IPR001737	GO:0000179;GO:0006364;GO:0000154;GO:0008649	NA	PF00398	SSF53335	G3DSA:1.10.8.480;G3DSA:3.40.50.150	SM00650	cd02440	NA	PS51689	NA	TIGR00755	NA	NA	NA	NA
KAF3055438.1	mobidb-lite	IPR016024	NA	NA	PF04078	SSF48371	G3DSA:1.25.10.10	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3069149.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3075290.1	NA	IPR036861	GO:0008061;GO:0005975;GO:0016810;GO:0003824	NA	PF00187;PF01522	SSF57016;SSF88713	G3DSA:3.30.60.10;G3DSA:3.20.20.370	SM00270	cd11618;cd10951	NA	PS50941;PS51677	NA	NA	NA	NA	NA	NA
KAF3073945.1	NA	IPR020846	GO:0055085	NA	PF07690	SSF103473	G3DSA:1.20.1250.20	NA	cd17327	NA	PS50850	NA	NA	NA	NA	NA	NA
KAF3066768.1	NA	IPR029058	GO:0006629	Reactome: R-HSA-426048	PF01764	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3058919.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3073676.1	NA	IPR005198	GO:0003824;GO:0008496;GO:0016052	NA	PF03663	SSF48208	G3DSA:1.50.10.20	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF016302	NA
KAF3055527.1	NA	IPR036188	GO:0071949	NA	PF01494	SSF51905	G3DSA:3.50.50.60	NA	NA	PR00420	NA	NA	NA	NA	NA	NA	NA
KAF3068719.1	NA	IPR001525	GO:0008168	KEGG: 00270+2.1.1.37	PF00145	SSF53335	G3DSA:3.90.120.10;G3DSA:3.40.50.150	NA	NA	NA	PS51679	PS00094	NA	NA	NA	NA	NA
KAF3077386.1	mobidb-lite	IPR013057	NA	NA	PF01490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3070198.1	NA	IPR004026	GO:0003677;GO:0006281;GO:0006355;GO:0008168;GO:0008270;GO:0003700;GO:0043565	NA	PF02805;PF00165	SSF57884;SSF46689	G3DSA:3.40.10.10;G3DSA:1.10.10.60	NA	NA	NA	PS01124	NA	NA	NA	NA	NA	NA
KAF3077343.1	mobidb-lite	IPR007220	GO:0000808;GO:0005634;GO:0006260	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	PF04084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3073580.1	NA	IPR002575	NA	NA	PF01636	SSF56112	G3DSA:3.90.1200.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3072931.1	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	SSF56112	G3DSA:3.30.200.20;G3DSA:1.10.510.10	SM00220	cd14132	NA	PS50011	PS00109	NA	NA	NA	NA	NA
KAF3072276.1	NA	IPR000086	GO:0016787	NA	PF00293	SSF55811	G3DSA:3.90.79.10	NA	NA	NA	PS51462	NA	NA	NA	NA	NA	NA
KAF3063087.1	NA	IPR020574	GO:0003735;GO:0005840;GO:0006412	NA	PF00380	SSF54211	G3DSA:3.30.230.10	NA	NA	NA	NA	PS00360	NA	NA	NA	NA	NA
KAF3072123.1	mobidb-lite	IPR036915	GO:0005515	NA	PF08799;PF00134;PF00400	SSF47954;SSF158230;SSF50978	G3DSA:2.130.10.10;G3DSA:1.10.720.150;G3DSA:1.10.472.10	SM00320;SM00500;SM00385	cd00043;cd00200	PR00320	PS50082;PS50294	PS00678	NA	NA	Coil	NA	NA
KAF3062887.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3067624.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3073996.1	mobidb-lite	IPR000511	GO:0004408;GO:0005739	KEGG: 00860+4.4.1.17	PF01265	NA	NA	NA	NA	NA	NA	PS00821;PS00822	NA	NA	NA	NA	NA
KAF3074056.1	NA	IPR005829	GO:0016021;GO:0022857;GO:0055085;GO:0016020	Reactome: R-HSA-189200	PF00083	SSF103473	G3DSA:1.20.1250.20	NA	cd17356	PR00171	PS50850	PS00217;PS00216	TIGR00879	NA	NA	NA	NA
KAF3075592.1	NA	IPR002523	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	PF01544	SSF144083	G3DSA:1.20.58.340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3073606.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3076914.1	mobidb-lite	IPR000904	GO:0005086;GO:0032012	NA	PF01369;PF12783	SSF48425;SSF48371	G3DSA:1.10.220.20;G3DSA:1.10.1000.11	SM00222	cd00171	NA	PS50190	NA	NA	NA	NA	NA	NA
KAF3074292.1	mobidb-lite	IPR026300	GO:0000398;GO:0005681	Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-72163	PF13086;PF16399;PF13087	SSF52540	G3DSA:3.40.50.300	NA	cd17935;cd18808	NA	NA	NA	NA	NA	NA	PIRSF038901	NA
KAF3056084.1	NA	IPR006140	GO:0051287;GO:0055114	NA	PF02826	SSF51735;SSF52283	G3DSA:3.40.50.720	NA	NA	NA	NA	PS00065	NA	NA	NA	NA	NA
KAF3066745.1	NA	IPR002347	NA	NA	PF00106	SSF51735	G3DSA:3.40.50.720	NA	NA	PR00081;PR00080	NA	NA	NA	NA	NA	NA	NA
KAF3077540.1	NA	IPR036259	GO:0055085;GO:0016021;GO:0022857	NA	PF07690	SSF103473	G3DSA:1.20.1250.20	NA	cd17323	NA	PS50850	PS00216	NA	NA	NA	NA	NA
KAF3077052.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3056070.1	mobidb-lite	IPR001451	NA	NA	PF00132	SSF51161	G3DSA:2.160.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3070125.1	NA	IPR002052	GO:0003676;GO:0008168;GO:0032259	Reactome: R-HSA-6782315	PF01170	SSF53335	G3DSA:3.40.50.150	NA	NA	NA	PS51627	PS00092	NA	NA	NA	PIRSF017259	NA
KAF3077055.1	NA	IPR001680	GO:0005515;GO:0016788	Reactome: R-HSA-162791	PF07819	SSF53474;SSF52540;SSF50978	G3DSA:2.130.10.10;G3DSA:3.40.50.1820;G3DSA:3.40.50.300	SM00320	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3072927.1	NA	IPR009582	GO:0005787;GO:0006465;GO:0008233;GO:0016021	Reactome: R-HSA-1799339|Reactome: R-HSA-381771|Reactome: R-HSA-400511|Reactome: R-HSA-422085	PF06703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
