Gene	MobiDBLite	interpro	GO	PATHWAY	Pfam	SUPERFAMILY	TIGRFAM	ProSitePatterns	Gene3D	ProSiteProfiles	Coils	CDD	SMART	PRINTS	Hamap	PIRSF	SFLD
EHK44803.1	NA	IPR027417	GO:0034551;GO:0005524	Reactome: R-HSA-1268020	PF08740;PF00004	SSF52540	NA	NA	G3DSA:3.40.50.300	NA	NA	NA	SM01024	NA	NA	NA	NA
EHK40839.1	mobidb-lite	IPR000504	GO:0003676	Reactome: R-HSA-159236|Reactome: R-HSA-72187|Reactome: R-HSA-73856	PF00076	SSF54928	NA	NA	G3DSA:3.30.70.330	PS50102	NA	cd12418	SM00360;SM01218	NA	NA	NA	NA
EHK42193.1	NA	IPR020845	GO:0003824	NA	PF00501;PF13193	SSF56801	NA	PS00455	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	NA	Coil	cd04433;cd05943	NA	NA	NA	NA	NA
EHK48537.1	mobidb-lite	IPR008521	GO:0015095;GO:0015693;GO:0016021	Reactome: R-HSA-5223345	PF05653	SSF103481	NA	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA
EHK49306.1	NA	IPR036259	NA	NA	NA	SSF103473	NA	NA	G3DSA:1.20.1250.20	NA	NA	cd17323	NA	NA	NA	NA	NA
EHK51023.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50362.1	mobidb-lite	IPR000467	GO:0003676	NA	PF01585	NA	NA	NA	NA	PS50174	Coil	NA	NA	NA	NA	NA	NA
EHK39822.1	mobidb-lite	IPR001623	NA	NA	PF14308;PF00226	SSF46565	NA	PS00636	G3DSA:1.10.287.110	PS50076	Coil	cd06257	SM00271	PR00625	NA	NA	NA
EHK39694.1	NA	IPR029044	NA	NA	PF03452	SSF53448	NA	NA	G3DSA:3.90.550.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK44135.1	NA	IPR002016	GO:0004601;GO:0006979;GO:0020037;GO:0055114	NA	PF00141	SSF48113	NA	NA	G3DSA:1.10.520.10;G3DSA:1.10.420.10	PS50873	NA	NA	NA	PR00458	NA	NA	NA
EHK48893.1	mobidb-lite	IPR024368	NA	NA	PF12855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50711.1	NA	IPR004000	NA	NA	PF00022	SSF53067	NA	PS01132;PS00406;PS00432	G3DSA:3.30.420.40;G3DSA:3.90.640.10	NA	NA	cd00012	SM00268	PR00190	NA	NA	NA
EHK47186.1	NA	IPR039400	GO:0005525	Reactome: R-HSA-1632852|Reactome: R-HSA-165159|Reactome: R-HSA-166208|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-8943724|Reactome: R-HSA-9639288	PF04670	SSF52540	NA	NA	G3DSA:3.40.50.300;G3DSA:3.30.450.190	NA	NA	cd11385	NA	NA	NA	NA	NA
EHK50129.1	NA	IPR013149	GO:0055114;GO:0016491	NA	PF00107;PF08240	SSF50129;SSF51735	NA	NA	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	NA	cd08249	SM00829	NA	NA	NA	NA
EHK41191.1	mobidb-lite	IPR004839	GO:0009058;GO:0030170;GO:0003824;GO:0016740;GO:0003870;GO:0033014	KEGG: 00260+2.3.1.37|KEGG: 00860+2.3.1.37|MetaCyc: PWY-5189|MetaCyc: PWY-7536|Reactome: R-HSA-189451	PF00155	SSF53383	TIGR01821	PS00599	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	NA	cd06454	NA	NA	NA	NA	NA
EHK40074.1	NA	IPR013726	NA	NA	PF08520	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41103.1	NA	IPR001792	GO:0003998	KEGG: 00620+3.6.1.7|KEGG: 00627+3.6.1.7	PF00708	SSF54975	NA	PS00150	G3DSA:3.30.70.100	PS51160	NA	NA	NA	PR00112	NA	NA	NA
EHK45795.1	NA	IPR036812	GO:0016491;GO:0055114	NA	PF00248	SSF51430	NA	NA	G3DSA:3.20.20.100	NA	NA	cd06660	NA	PR00069	NA	NA	NA
EHK47565.1	mobidb-lite	NA	NA	NA	PF02466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49053.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK44065.1	mobidb-lite	IPR011009	NA	NA	PF03109	SSF56112	NA	NA	NA	NA	NA	cd13971	NA	NA	NA	NA	NA
EHK40381.1	NA	IPR002347	NA	NA	PF00106	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	PR00081	NA	NA	NA
EHK43689.1	mobidb-lite	IPR013598	GO:0006886;GO:0008536	NA	PF08389;PF03810	SSF48371	NA	NA	NA	PS50166	NA	NA	NA	NA	NA	NA	NA
EHK45436.1	mobidb-lite	IPR019049		Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5619107|Reactome: R-HSA-6784531	PF09531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42831.1	NA	IPR013783	GO:0004553;GO:0005975	KEGG: 00052+3.2.1.23|KEGG: 00511+3.2.1.23|KEGG: 00531+3.2.1.23|KEGG: 00600+3.2.1.23|KEGG: 00604+3.2.1.23|MetaCyc: PWY-6807	PF02837;PF02836;PF00703	SSF49303;SSF51445;SSF49785	NA	NA	G3DSA:2.60.40.10;G3DSA:2.60.120.260;G3DSA:3.20.20.80	NA	NA	NA	NA	NA	NA	NA	NA
EHK47543.1	mobidb-lite	IPR004000	NA	NA	PF00022	SSF53067	NA	NA	G3DSA:3.30.420.40;G3DSA:3.90.640.10	NA	Coil	NA	SM00268	NA	NA	NA	NA
EHK41293.1	NA	IPR024738	GO:0070461	Reactome: R-HSA-3214847	PF12767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42777.1	NA	IPR031157	GO:0003924;GO:0005525;GO:0003746;GO:0006414	Reactome: R-HSA-156842	PF03143;PF00009;PF03144	SSF50447;SSF52540;SSF50465	TIGR00483	PS00301	G3DSA:3.40.50.300;G3DSA:2.40.30.10	PS51722	NA	cd01883;cd03705;cd03693	NA	PR00315	NA	NA	NA
EHK42735.1	mobidb-lite	IPR002921	GO:0006629	Reactome: R-HSA-426048	PF01764	SSF53474	NA	NA	NA	NA	Coil	cd00519	NA	NA	NA	NA	NA
EHK42126.1	NA	IPR036188	NA	NA	PF04820	SSF51905	NA	NA	G3DSA:3.50.50.60	NA	NA	NA	NA	NA	NA	NA	NA
EHK47038.1	NA	IPR016039	GO:0003824;GO:0055114;GO:0016740;GO:0016491	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	PF16197;PF00109;PF00107;PF02801;PF08659;PF08240;PF14765;PF00698	SSF51735;SSF55048;SSF52151;SSF50129;SSF53901;SSF47336	NA	PS00606	G3DSA:3.40.47.10;G3DSA:3.40.50.720;G3DSA:3.90.180.10;G3DSA:3.10.129.110;G3DSA:3.40.366.10	PS50075	NA	cd00833;cd05195;cd05274	SM00826;SM00827;SM00825;SM00822;SM00829	NA	NA	NA	NA
EHK49662.1	NA	IPR011990	GO:0005515	NA	PF13374;PF13424	SSF48452	NA	NA	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK39958.1	mobidb-lite	IPR017455	GO:0046872;GO:0016307;GO:0046488;GO:0005524	NA	PF01363;PF00118;PF01504	SSF52029;SSF57903;SSF56104	NA	NA	G3DSA:3.30.40.10;G3DSA:3.50.7.10;G3DSA:1.20.58.1870;G3DSA:3.30.800.10	PS50178;PS51455	Coil	cd03334;cd17300	SM00064;SM00330	NA	NA	NA	NA
EHK41275.1	NA	IPR006137	GO:0051536;GO:0055114;GO:0008137;GO:0048038;GO:0051539	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	PF01058	SSF56770	TIGR01957	PS01150	G3DSA:3.40.50.12280	NA	NA	NA	NA	NA	MF_01356	NA	NA
EHK41308.1	mobidb-lite	IPR011009	GO:0004672;GO:0006468;GO:0005524;GO:0004674	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-1632852|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-6804756|Reactome: R-HSA-9619483	PF16579;PF00069;PF08587	SSF56112;SSF103243	NA	PS00108;PS00107	G3DSA:1.10.510.10;G3DSA:3.30.310.80	PS50011	NA	cd14334;cd14079	SM00220	NA	NA	NA	NA
EHK41892.1	NA	IPR029058	GO:0033961	Reactome: R-HSA-211945	PF06441	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	PIRSF001112	NA
EHK49915.1	NA	IPR006073	GO:0005525	NA	PF01926	SSF52540	NA	PS00675	NA	NA	Coil	cd00882	NA	NA	NA	NA	NA
EHK47000.1	NA	IPR008928	GO:0003824	NA	PF07470	SSF48208	NA	NA	G3DSA:1.50.10.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK51079.1	mobidb-lite	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PF04082	NA	NA	NA	NA	NA	NA	cd12148	SM00906	NA	NA	NA	NA
EHK49381.1	NA	IPR002347	NA	NA	PF00106	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	NA	cd05325	NA	PR00081	NA	NA	NA
EHK40339.1	mobidb-lite	IPR013177		Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PF08213	NA	NA	NA	NA	NA	Coil	NA	SM01155	NA	NA	NA	NA
EHK45640.1	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	SSF57701	NA	PS00463	G3DSA:4.10.240.10	PS50048	NA	cd00067	SM00066	NA	NA	NA	NA
EHK47518.1	NA	IPR006094	GO:0016491;GO:0050660;GO:0055114;GO:0071949	NA	PF01565	SSF56176	NA	NA	G3DSA:3.30.465.10;G3DSA:3.40.462.20;G3DSA:3.30.43.10	PS51387	NA	NA	NA	NA	NA	NA	NA
EHK49194.1	NA	IPR021719	NA	NA	PF11720	NA	NA	NA	G3DSA:3.30.10.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK46597.1	mobidb-lite	IPR009686	NA	NA	PF06911	NA	NA	NA	G3DSA:1.20.120.20	NA	Coil	NA	NA	NA	NA	NA	NA
EHK50233.1	NA	IPR031352	NA	NA	PF17107	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK43363.1	NA	IPR004695	GO:0016021;GO:0055085	NA	PF03595	NA	NA	NA	G3DSA:1.50.10.150	NA	NA	cd09318	NA	NA	NA	NA	NA
EHK47249.1	mobidb-lite	IPR000242	GO:0004725;GO:0006470;GO:0016311;GO:0016791	NA	PF00102	SSF52799	NA	PS00383	G3DSA:3.90.190.10	PS50055;PS50056	NA	cd18533	SM00404;SM00194	PR00700	NA	NA	NA
EHK50432.1	NA	IPR010730	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50863.1	NA	IPR000425	GO:0015267;GO:0016020;GO:0055085	Reactome: R-HSA-432047	PF00230	SSF81338	NA	NA	G3DSA:1.20.1080.10	NA	NA	NA	NA	PR00783	NA	NA	NA
EHK44365.1	mobidb-lite	IPR006652	GO:0005515	NA	PF13854;PF01344;PF13415	SSF117281	NA	NA	G3DSA:2.120.10.80	NA	Coil	NA	SM00612	NA	NA	NA	NA
EHK45112.1	mobidb-lite	IPR029028	GO:0003723;GO:0006396;GO:0008173;GO:0008168	Reactome: R-HSA-6793080	PF00588;PF08032	SSF75217;SSF55315	NA	NA	G3DSA:3.40.1280.10;G3DSA:3.30.1330.30	NA	Coil	cd18105;cd09605	SM00967	NA	NA	NA	NA
EHK50354.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK44286.1	NA	IPR006094	GO:0016491;GO:0050660;GO:0055114;GO:0071949	NA	PF01565	SSF56176	NA	NA	G3DSA:3.30.465.10;G3DSA:3.40.462.20;G3DSA:3.30.43.10	PS51387	NA	NA	NA	NA	NA	NA	NA
EHK45332.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK47598.1	NA	IPR040632	NA	NA	PF17784	SSF52540	NA	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA
EHK40214.1	NA	IPR006461	NA	NA	PF04749	NA	TIGR01571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK40829.1	mobidb-lite	IPR019166	GO:0042407;GO:0061617	Reactome: R-HSA-8949613	PF09769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41097.1	mobidb-lite	IPR012677	GO:0003676	NA	PF00076	SSF54928	NA	NA	G3DSA:3.30.70.330	PS50102	NA	NA	SM00360	NA	NA	NA	NA
EHK44970.1	mobidb-lite	IPR000898	GO:0020037;GO:0019441;GO:0046872	Reactome: R-HSA-71240	PF01231	SSF140959	NA	PS00876	G3DSA:1.20.58.480	NA	NA	NA	NA	NA	NA	NA	NA
EHK48776.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA
EHK40110.1	NA	IPR011009	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	SSF56112	NA	NA	G3DSA:1.10.510.10	NA	NA	cd00180	NA	NA	NA	NA	NA
EHK45654.1	NA	IPR002347	NA	NA	PF00106	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	PR00081	NA	NA	NA
EHK49660.1	mobidb-lite	IPR004843	GO:0016787	NA	PF00149	SSF56300	NA	NA	G3DSA:3.60.21.10	NA	NA	cd07383	NA	NA	NA	NA	NA
EHK46834.1	NA	IPR029018	GO:0005576;GO:0045493;GO:0046559	NA	PF07488;PF07477	SSF55545;SSF51445	NA	NA	G3DSA:3.20.20.80;G3DSA:3.30.379.10;G3DSA:3.90.1330.10	NA	NA	cd02795	NA	NA	NA	PIRSF029900	NA
EHK41506.1	mobidb-lite	IPR021134		Reactome: R-HSA-2672351	PF01062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42134.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK44071.1	NA	IPR020904	GO:0016491	NA	PF13561	SSF51735	NA	PS00061	G3DSA:3.40.50.720	NA	NA	cd05233	NA	PR00081	NA	NA	NA
EHK49639.1	NA	IPR033391	GO:0005975;GO:0016791;GO:0042578	KEGG: 00010+3.1.3.11|KEGG: 00030+3.1.3.11|KEGG: 00051+3.1.3.11|KEGG: 00680+3.1.3.11|KEGG: 00710+3.1.3.11|MetaCyc: PWY-5484|Reactome: R-HSA-70263	PF00316	SSF56655	NA	PS00124	G3DSA:3.40.190.80;G3DSA:3.30.540.10	NA	NA	cd00354	NA	PR01958	NA	PIRSF000904	NA
EHK43052.1	mobidb-lite	IPR000195	NA	NA	PF00566	SSF47923;SSF90257	NA	NA	G3DSA:1.10.472.80;G3DSA:1.10.10.750;G3DSA:1.10.8.270	PS50086	Coil	NA	SM00164	NA	NA	NA	NA
EHK45059.1	NA	IPR019775	GO:0005515	NA	PF00400	SSF50978	NA	PS00678	G3DSA:2.130.10.10	PS50082;PS50294	NA	NA	SM00320	PR00320	NA	NA	NA
EHK44873.1	NA	IPR012338	NA	NA	PF00144;PF11954	SSF56601	NA	NA	G3DSA:3.40.710.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK43353.1	NA	IPR023392	GO:0005742;GO:0006605;GO:0006886	NA	PF02064	SSF47157	NA	NA	G3DSA:1.20.960.10	NA	Coil	NA	NA	PR00351	NA	PIRSF037707	NA
EHK45904.1	NA	IPR027417	GO:0005524;GO:0016887	NA	PF00005;PF12698	SSF52540	NA	PS00211	G3DSA:3.40.50.300	PS50893	NA	cd03263	SM00382	NA	NA	NA	NA
EHK51109.1	NA	IPR008397	GO:0016829;GO:0042597	KEGG: 00051+4.2.2.3|MetaCyc: PWY-6986	PF05426	SSF48230	NA	NA	G3DSA:1.50.10.100	NA	NA	NA	NA	NA	NA	NA	NA
EHK43466.1	NA	IPR000795	GO:0003924;GO:0005525	NA	PF03764;PF00679;PF14492;PF00009;PF03144	SSF54980;SSF52540;SSF50447;SSF54211	TIGR00231	PS00301	G3DSA:3.30.230.10;G3DSA:3.40.50.300;G3DSA:3.90.1430.10;G3DSA:3.30.70.240;G3DSA:2.40.30.10;G3DSA:3.30.70.870	PS51722	NA	cd01681;cd16261;cd04096;cd01885	SM00889;SM00838	PR00315	NA	NA	NA
EHK45355.1	NA	IPR011701	GO:0055085	NA	PF07690	SSF103473	NA	NA	G3DSA:1.20.1250.20	PS50850	NA	cd06179	NA	NA	NA	NA	NA
EHK49953.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK42054.1	mobidb-lite	IPR019786	GO:0003677	Reactome: R-HSA-3214842	PF00628;PF02375;PF08429;PF01388;PF02373;PF02928	SSF57903;SSF46774;SSF51197	NA	PS01359	G3DSA:3.30.40.10;G3DSA:2.60.120.650;G3DSA:1.10.150.60	PS50016;PS51011;PS50089;PS51184;PS51183	NA	cd15518;cd16864	SM00545;SM01014;SM00249;SM00501;SM00558	NA	NA	NA	NA
EHK42813.1	mobidb-lite	IPR000403	GO:0016301	NA	PF00454	NA	NA	PS00916	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK44709.1	mobidb-lite	IPR004882	GO:0003729;GO:0005685;GO:0006376	NA	PF03194	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK46959.1	mobidb-lite	IPR006551		Reactome: R-HSA-5649702	PF13671;PF08645	SSF52540;SSF56784	TIGR01664;TIGR01662	NA	G3DSA:3.40.50.300;G3DSA:3.40.50.1000	NA	NA	NA	NA	NA	NA	NA	NA
EHK41625.1	NA	IPR023465	GO:0008531;GO:0009231	Reactome: R-HSA-196843	NA	SSF82114	NA	NA	G3DSA:2.40.30.30	NA	NA	NA	SM00904	NA	NA	NA	NA
EHK44690.1	NA	IPR021514	NA	NA	PF11374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49543.1	NA	IPR020846	GO:0055085	NA	PF07690	SSF103473	NA	NA	G3DSA:1.20.1250.20	PS50850	NA	cd17327	NA	NA	NA	NA	NA
EHK49928.1	mobidb-lite	IPR032710	NA	NA	NA	SSF54427	NA	NA	G3DSA:3.10.450.50	NA	Coil	NA	NA	NA	NA	NA	NA
EHK40757.1	mobidb-lite	IPR002867	NA	NA	PF01485	SSF57850	NA	NA	G3DSA:1.20.120.1750	PS51873	Coil	NA	SM00647	NA	NA	NA	NA
EHK41109.1	NA	IPR008576	GO:0006480;GO:0008168	NA	PF05891	SSF53335	NA	NA	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	PIRSF016958	NA
EHK41473.1	NA	IPR029061	GO:0005975;GO:0016832;GO:0003824	NA	PF09363;PF09364;PF03894	SSF52518;SSF52922	NA	PS60002;PS60003	G3DSA:3.40.50.970;G3DSA:3.40.50.920	NA	NA	NA	NA	NA	NA	PIRSF017245	NA
EHK48769.1	NA	IPR003959	GO:0005524	NA	PF00004	SSF52540	NA	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA
EHK47459.1	mobidb-lite	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	SSF56112	NA	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	PS50011	NA	NA	SM00220	NA	NA	PIRSF000615	NA
EHK41424.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR01217	NA	NA	NA
EHK47189.1	NA	IPR003609	NA	NA	PF00024	NA	NA	NA	G3DSA:3.50.4.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK41561.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK45078.1	NA	IPR015424	GO:0003824;GO:0016831;GO:0019752;GO:0030170	NA	PF00282	SSF53383	NA	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK42222.1	NA	IPR011701	GO:0055085	NA	PF07690	SSF103473	NA	NA	G3DSA:1.20.1250.20	PS50850	NA	cd17327	NA	NA	NA	NA	NA
EHK48159.1	mobidb-lite	IPR001763	GO:0004725;GO:0006470;GO:1902751	Reactome: R-HSA-69273|Reactome: R-HSA-8862803	PF00581	SSF52821	NA	NA	G3DSA:3.40.250.10	PS50206	NA	cd01530	SM00450	PR00716	NA	NA	NA
EHK42479.1	mobidb-lite	IPR011701	GO:0055085	NA	PF07690	SSF103473	NA	NA	G3DSA:1.20.1720.10	PS50850	NA	cd17502	NA	PR01036	NA	NA	NA
EHK40308.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	SSF57701	NA	PS00463	G3DSA:4.10.240.10	PS50048	Coil	cd12148;cd00067	SM00066	NA	NA	NA	NA
EHK41961.1	NA	IPR036047	GO:0005515	NA	NA	SSF81383	NA	NA	G3DSA:1.20.1280.50	NA	NA	NA	SM00256	NA	NA	NA	NA
EHK44894.1	mobidb-lite	IPR013734	NA	NA	PF08528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK45319.1	NA	IPR000702	GO:0003735;GO:0005840;GO:0006412;GO:0019843	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00347	SSF56053	NA	PS00700	G3DSA:3.90.930.12	NA	NA	NA	NA	NA	NA	PIRSF002162	NA
EHK43597.1	mobidb-lite	IPR037232	GO:0008137;GO:0055114;GO:0016651	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	PF00329	SSF143243	TIGR01961	PS00542	G3DSA:3.30.460.80	NA	NA	NA	NA	NA	MF_01357	NA	NA
EHK50826.1	NA	IPR010730	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
