Gene	MobiDBLite	interpro	GO	PATHWAY	Pfam	Coils	SUPERFAMILY	Gene3D	ProSiteProfiles	CDD	SMART	TIGRFAM	PRINTS	ProSitePatterns	PIRSF	SFLD	Hamap
OPB41501.1	NA	IPR029061	GO:0016624;GO:0004739;GO:0006086;GO:0043231	Reactome: R-HSA-389661	PF00676	NA	SSF52518	G3DSA:3.40.50.970	NA	cd02000	NA	TIGR03182	NA	NA	NA	NA	NA
OPB46998.1	NA	IPR015943	GO:0005515;GO:0003676;GO:0005634	NA	PF10433;PF03178	Coil	SSF50998	G3DSA:2.130.10.10;G3DSA:3.30.980.30	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36501.1	mobidb-lite	IPR011701	GO:0055085	NA	PF07690	Coil	SSF103473	G3DSA:1.20.1250.20	NA	cd17327	NA	NA	NA	NA	NA	NA	NA
OPB38604.1	NA	IPR001375	GO:0006508;GO:0008236	NA	PF00326	NA	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42601.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40050.1	NA	IPR033118	GO:0016021;GO:0016125;GO:0047750	NA	PF05241	NA	NA	NA	PS51751	NA	NA	NA	NA	NA	NA	NA	NA
OPB35964.1	mobidb-lite	IPR008521	GO:0015095;GO:0015693;GO:0016021	Reactome: R-HSA-5223345	PF05653	NA	SSF103481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36247.1	NA	IPR001227	GO:0016740	NA	NA	NA	SSF52151	G3DSA:3.40.366.10	NA	NA	SM00827	NA	NA	NA	NA	NA	NA
OPB44719.1	NA	IPR029058	NA	NA	PF12146	NA	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37180.1	mobidb-lite	IPR036389	GO:0004525;GO:0006396	Reactome: R-HSA-203927	PF14622	NA	NA	G3DSA:1.10.1520.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37280.1	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45147.1	mobidb-lite	IPR008936	GO:0007165	Reactome: R-HSA-194840	PF00620	NA	SSF48350	G3DSA:1.10.555.10	PS50238	cd04396	SM00324	NA	NA	NA	NA	NA	NA
OPB43211.1	NA	IPR002938	GO:0071949	NA	PF01494;PF07976	NA	SSF54373;SSF52833;SSF51905	G3DSA:3.30.9.50;G3DSA:3.50.50.60;G3DSA:3.40.30.20	NA	cd02979	NA	NA	PR00420	NA	NA	NA	NA
OPB44241.1	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45614.1	NA	IPR020846	GO:0016020;GO:0022857;GO:0055085;GO:0016021	Reactome: R-HSA-189200	PF00083	NA	SSF103473	G3DSA:1.20.1250.20	PS50850	cd17356	NA	TIGR00879	PR00171	PS00216	NA	NA	NA
OPB37413.1	mobidb-lite	NA	NA	NA	PF05205	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37366.1	NA	IPR006913	GO:0016846	KEGG: 00680+4.4.1.22|MetaCyc: PWY-1801	PF04828	Coil	SSF51316	G3DSA:2.170.150.70	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39592.1	NA	IPR036132	GO:0015078;GO:0033180;GO:1902600	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-9639288|Reactome: R-HSA-983712	PF03223	NA	SSF118203	G3DSA:1.20.1460.10;G3DSA:3.30.70.1180;G3DSA:3.30.70.100	NA	cd14785	NA	NA	NA	NA	NA	NA	NA
OPB40074.1	NA	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0016021	Reactome: R-HSA-189200	PF00083	NA	SSF103473	G3DSA:1.20.1250.20	PS50850	cd17356	NA	TIGR00879	PR00171	PS00217;PS00216	NA	NA	NA
OPB45785.1	NA	IPR011008	NA	NA	NA	NA	SSF54909	G3DSA:3.30.70.100	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46732.1	mobidb-lite	IPR029063	NA	NA	PF13489	NA	SSF53335	G3DSA:3.40.50.150	NA	cd02440	NA	NA	NA	NA	NA	NA	NA
OPB41047.1	mobidb-lite	IPR011701	GO:0055085	NA	PF07690	NA	SSF103473	G3DSA:1.20.1250.20	PS50850	cd17502	NA	NA	NA	NA	NA	NA	NA
OPB37456.1	mobidb-lite	IPR020472	GO:0005515	NA	PF00400	NA	SSF50978	G3DSA:2.130.10.10	PS50082;PS50294	NA	SM00320	NA	PR00320	PS00678	NA	NA	NA
OPB41309.1	NA	IPR009939	GO:0016977	KEGG: 00520+3.2.1.132	PF07335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46981.1	NA	IPR011701	GO:0055085	NA	PF07690	NA	SSF103473	G3DSA:1.20.1250.20	NA	cd17323	NA	NA	NA	NA	NA	NA	NA
OPB40280.1	mobidb-lite	IPR019412	NA	NA	PF10300	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB41798.1	mobidb-lite	IPR027417	GO:0003676;GO:0005524	NA	PF00271;PF00270	Coil	SSF52540	G3DSA:3.40.50.300	PS51192;PS51194	cd18787;cd00268	SM00490;SM00487	NA	NA	PS00039	NA	NA	NA
OPB42271.1	mobidb-lite	IPR035969	NA	NA	PF00566	NA	SSF47923	G3DSA:1.10.472.80	PS50086	NA	SM00164	NA	NA	NA	NA	NA	NA
OPB45823.1	NA	IPR039556	GO:0003824	NA	PF13714	Coil	SSF51621	G3DSA:3.20.20.60	NA	cd00377	NA	NA	NA	NA	NA	NA	NA
OPB37014.1	mobidb-lite	NA	NA	NA	NA	Coil	SSF58113	G3DSA:1.20.120.20	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43952.1	NA	IPR013057	NA	NA	PF01490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39190.1	NA	IPR029058	NA	NA	PF12697	NA	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45725.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38571.1	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43265.1	mobidb-lite	IPR013087	GO:0003676	NA	NA	NA	NA	NA	NA	NA	SM00355	NA	NA	PS00028	NA	NA	NA
OPB36415.1	mobidb-lite	IPR011022	NA	NA	PF02752;PF00339	NA	SSF81296	G3DSA:2.60.40.640	NA	NA	SM01017	NA	NA	NA	NA	NA	NA
OPB47174.1	mobidb-lite	IPR000182	GO:0008080	NA	PF13302	NA	SSF55729	G3DSA:3.40.630.30	PS51186	cd04301	NA	NA	NA	NA	NA	NA	NA
OPB46908.1	mobidb-lite	IPR013087	GO:0003676	NA	NA	NA	NA	NA	NA	NA	SM00355	NA	NA	PS00028	NA	NA	NA
OPB46928.1	mobidb-lite	IPR029498	NA	NA	PF14479	Coil	NA	G3DSA:1.20.120.1020	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36842.1	NA	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PF00067	NA	SSF48264	G3DSA:1.10.630.10	NA	NA	NA	NA	PR00385;PR00463	PS00086	NA	NA	NA
OPB42008.1	mobidb-lite	NA	NA	NA	NA	NA	SSF50729	NA	NA	cd13214	NA	NA	NA	NA	NA	NA	NA
OPB45151.1	mobidb-lite	IPR016302	GO:0004049;GO:0004425;GO:0004640;GO:0006568;GO:0003824	KEGG: 00400+4.1.1.48+5.3.1.24+4.1.3.27|KEGG: 00405+4.1.3.27|MetaCyc: PWY-5958|MetaCyc: PWY-6661	PF00117;PF00218;PF00697	NA	SSF52317;SSF51366	G3DSA:3.20.20.70;G3DSA:3.40.50.880	PS51273	cd00405;cd01743;cd00331	NA	TIGR00566	PR00096;PR00097	NA	PIRSF001382	NA	MF_00135
OPB40321.1	NA	IPR029058	NA	NA	PF12146	NA	SSF53474	G3DSA:1.10.10.800;G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46960.1	mobidb-lite	IPR023244	NA	NA	PF13515;PF10337	NA	NA	NA	NA	NA	NA	NA	PR02047	NA	NA	NA	NA
OPB41317.1	NA	IPR023753	GO:0016491;GO:0055114	NA	PF07992	NA	SSF51905	G3DSA:3.50.50.100	NA	NA	NA	NA	PR00411;PR00368	NA	NA	NA	NA
OPB43471.1	NA	IPR029510	GO:0016491;GO:0055114;GO:0016620	NA	PF00171	NA	SSF53720	G3DSA:3.40.309.10;G3DSA:3.40.605.10	NA	cd07103	NA	NA	NA	PS00687;PS00070	NA	NA	NA
OPB47066.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF00172;PF04082	NA	SSF57701	G3DSA:4.10.240.10	PS50048	cd00067;cd12148	SM00066	NA	NA	PS00463	NA	NA	NA
OPB36311.1	mobidb-lite	IPR016197	GO:0005634	NA	PF00385;PF01393	NA	SSF54160	G3DSA:2.40.50.40	PS50013	cd00024;cd18657	SM00298;SM00300	NA	NA	PS00598	NA	NA	NA
OPB43162.1	mobidb-lite	IPR011333	GO:0051260	NA	PF02214	NA	SSF54695	G3DSA:3.30.710.10	NA	cd18316	NA	NA	NA	NA	NA	NA	NA
OPB47057.1	NA	IPR002161	GO:0004359;GO:0042819;GO:0042823	KEGG: 00220+3.5.1.2|KEGG: 00250+3.5.1.2|KEGG: 00471+3.5.1.2|KEGG: 00750+4.3.3.6|MetaCyc: PWY-5921|MetaCyc: PWY-6466	PF01174	NA	SSF52317	G3DSA:3.40.50.880	PS51130	cd01749	NA	TIGR03800	NA	PS01236	PIRSF005639	NA	MF_01615
OPB36340.1	mobidb-lite	IPR020100	NA	NA	PF11034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46508.1	NA	IPR001763	NA	NA	PF00581	NA	SSF52821	G3DSA:3.40.250.10	PS50206	NA	SM00450	NA	NA	NA	NA	NA	NA
OPB38553.1	mobidb-lite	IPR008942	GO:0005543;GO:0003779	Reactome: R-HSA-8856828	PF07651;PF01608	Coil	SSF89009;SSF109885;SSF48464	G3DSA:1.25.40.90;G3DSA:1.20.1410.10	PS50942;PS50945	cd17007	SM00307;SM00273	NA	NA	NA	NA	NA	NA
OPB42662.1	NA	IPR000182	GO:0008080	NA	PF00583	NA	SSF55729	G3DSA:3.40.630.30	PS51186	cd04301	NA	NA	NA	NA	NA	NA	NA
OPB43366.1	NA	IPR029058	GO:0016787	NA	PF07859	Coil	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36401.1	NA	IPR000717		Reactome: R-HSA-8951664	PF10602;PF01399	Coil	SSF46785	G3DSA:1.25.40.570	PS50250	NA	SM00088;SM00753	NA	NA	NA	NA	NA	NA
OPB47169.1	NA	IPR013083	GO:0004842;GO:0016567;GO:0005515	MetaCyc: PWY-7511	PF04564	Coil	SSF57850;SSF48452	G3DSA:3.30.40.10;G3DSA:1.25.40.10	PS51698;PS50293	cd16654	SM00504;SM00028	NA	NA	NA	NA	NA	NA
OPB39758.1	mobidb-lite	IPR013078	GO:0003824;GO:0005524;GO:0006003;GO:0003873;GO:0006000	KEGG: 00051+2.7.1.105+3.1.3.46|Reactome: R-HSA-9634600	PF00300;PF01591	NA	SSF52540;SSF53254	NA	NA	cd07067	SM00855	NA	PR00991	PS00175	PIRSF000709	NA	NA
OPB40924.1	NA	IPR002840	NA	NA	PF01989	NA	SSF52016	G3DSA:3.50.30.10	NA	cd01356	NA	NA	NA	NA	NA	NA	NA
OPB37784.1	NA	IPR029058	GO:0006508;GO:0008236	NA	PF00326	NA	SSF53474;SSF82171	G3DSA:3.40.50.1820;G3DSA:2.120.10.30	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39251.1	NA	IPR005000	GO:0003824	NA	PF03328	NA	SSF51621	G3DSA:3.20.20.60	NA	NA	NA	NA	NA	NA	PIRSF015582	NA	NA
OPB46209.1	mobidb-lite	IPR008991	NA	NA	NA	Coil	SSF50104	G3DSA:2.30.30.30	NA	cd06089	NA	NA	NA	NA	NA	NA	NA
OPB40567.1	NA	IPR029058	NA	NA	PF00561	NA	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	PR00111	NA	NA	NA	NA
OPB41063.1	mobidb-lite	IPR036779	NA	NA	PF01476	NA	SSF54106	G3DSA:3.10.350.10	PS51782	cd00118	SM00257	NA	NA	NA	NA	NA	NA
OPB44896.1	mobidb-lite	IPR018306	NA	NA	PF10544	NA	NA	NA	NA	NA	SM00974	NA	NA	NA	NA	NA	NA
OPB36900.1	mobidb-lite	IPR008628	GO:0070273	NA	PF05719	NA	NA	G3DSA:1.10.3630.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36755.1	NA	IPR001969	GO:0004190;GO:0006508	NA	PF00026	NA	SSF50630	G3DSA:2.40.70.10	PS51767	NA	NA	NA	PR00792	PS00141	NA	NA	NA
OPB40170.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43721.1	NA	IPR002893	GO:0005515	NA	PF01753;PF00856	NA	SSF82199;SSF144232	G3DSA:3.30.70.3410;G3DSA:2.170.270.10;G3DSA:3.30.60.180	PS50865;PS50280	NA	SM00317	NA	NA	NA	NA	NA	NA
OPB38318.1	NA	IPR016181	GO:0008080	NA	PF00583	NA	SSF55729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38292.1	mobidb-lite	IPR028084		Reactome: R-HSA-9639288	PF14636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36013.1	NA	IPR029065	GO:0009063;GO:0016052;GO:0050023	KEGG: 00051+4.2.1.68	PF13378	NA	SSF54826;SSF51604	G3DSA:3.20.20.120;G3DSA:3.30.390.10	NA	cd03324	SM00922	NA	NA	PS00909	NA	SFLDG00179;SFLDF00270;SFLDF00111	NA
OPB42512.1	NA	IPR029063	GO:0008168	NA	PF08241	NA	SSF53335	G3DSA:3.40.50.150	NA	cd02440	NA	NA	NA	NA	NA	NA	NA
OPB43982.1	mobidb-lite	IPR012337	NA	NA	NA	Coil	SSF53098	NA	NA	cd06145	SM00479	NA	NA	NA	NA	NA	NA
OPB46509.1	NA	IPR027417	NA	NA	PF17784	NA	SSF52540	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39237.1	mobidb-lite	IPR036859	NA	NA	PF01302	NA	SSF74924;SSF52058	G3DSA:2.30.30.190;G3DSA:3.80.10.10	PS50245	cd17044	SM00364;SM01052	NA	NA	PS00845	NA	NA	NA
OPB40738.1	mobidb-lite	IPR036291	NA	NA	PF16363	NA	SSF51735	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	cd05260	NA	NA	NA	NA	NA	NA	NA
