Gene	MobiDBLite	CDD	interpro	GO	Pfam	SMART	PATHWAY	Gene3D	ProSiteProfiles	SUPERFAMILY	ProSitePatterns	Coils	PIRSF	PRINTS	TIGRFAM	SFLD	Hamap
OTA08494.1	mobidb-lite	NA	IPR007134		PF03986;PF10381;PF03987	NA	Reactome: R-HSA-1632852	G3DSA:3.30.1460.50	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06488.1	NA	NA	IPR036661	GO:0016705;GO:0055114;GO:0004497	PF00296	NA	NA	G3DSA:3.20.20.30	NA	SSF51679	NA	NA	PIRSF000337	NA	TIGR03860	NA	NA
OTA03640.1	NA	NA	IPR007109	NA	PF04427	SM00879	NA	G3DSA:3.40.50.10480	PS50833	SSF52954	NA	NA	NA	NA	NA	NA	NA
OTA08551.1	mobidb-lite	NA	IPR001611	GO:0005515	PF13516;PF13855	SM00364;SM00369	NA	G3DSA:3.80.10.10	PS51450	SSF52058	NA	NA	NA	NA	NA	NA	NA
OTA08098.1	mobidb-lite	cd17330	IPR011701	GO:0055085	PF07690	NA	NA	NA	PS50850	SSF103473	NA	NA	NA	NA	NA	NA	NA
OTA08655.1	NA	NA	IPR023271	GO:0015267;GO:0016020;GO:0055085	PF00230	NA	Reactome: R-HSA-432047	G3DSA:1.20.1080.10	NA	SSF81338	NA	NA	NA	PR00783	NA	NA	NA
OTA06097.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA04192.1	NA	cd06660	IPR018170	GO:0016491;GO:0055114	PF00248	NA	NA	G3DSA:3.20.20.100	NA	SSF51430	PS00062;PS00063	NA	PIRSF000097	PR00069	NA	NA	NA
OTA04234.1	NA	NA	IPR018494	NA	PF01237	NA	NA	G3DSA:1.20.120.1290;G3DSA:2.40.160.120	NA	SSF144000	PS01013	Coil	NA	NA	NA	NA	NA
OTA06697.1	NA	cd12148	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08894.1	NA	NA	IPR004840	GO:0006865;GO:0016021;GO:0055085;GO:0016020;GO:0022857	PF00324	NA	NA	G3DSA:1.20.1740.10	NA	NA	PS00218	NA	PIRSF006060	NA	NA	NA	NA
OTA06891.1	mobidb-lite	NA	IPR007872	NA	PF05207	NA	NA	G3DSA:3.10.660.10	PS51074	SSF144217	NA	NA	NA	NA	NA	NA	NA
OTA03903.1	mobidb-lite	cd08276	IPR013149	GO:0055114;GO:0016491	PF00107;PF08240	SM00829	NA	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	SSF50129;SSF51735	NA	NA	NA	NA	NA	NA	NA
OTA07234.1	mobidb-lite	NA	IPR003846	NA	PF02696	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA00852.1	mobidb-lite	NA	IPR032629	NA	PF16213;PF16206;PF12783	NA	NA	NA	NA	SSF48371	NA	Coil	NA	NA	NA	NA	NA
OTA04743.1	NA	cd00842	IPR004843	GO:0016787;GO:0004767;GO:0006685	PF00149	NA	Reactome: R-HSA-1660662	G3DSA:3.60.21.10	NA	SSF56300	NA	Coil	PIRSF000948	NA	NA	NA	NA
OTA05035.1	mobidb-lite	NA	IPR029063	NA	PF13489	NA	NA	G3DSA:3.40.50.150	NA	SSF53335	NA	NA	NA	NA	NA	NA	NA
OTA06925.1	NA	cd01519	IPR036873	NA	PF00581	SM00450	NA	G3DSA:3.40.250.10	PS50206	SSF52821	NA	NA	NA	NA	NA	NA	NA
OTA08070.1	NA	NA	IPR002067	GO:0005347;GO:0055085	PF00153	NA	NA	G3DSA:1.50.40.10	PS50920	SSF103506	NA	NA	NA	PR00926	NA	NA	NA
OTA01879.1	NA	NA	IPR002347	NA	PF13561	NA	NA	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	PR00080;PR00081	NA	NA	NA
OTA00569.1	mobidb-lite	cd01612	IPR007242	GO:0000045;GO:0005737	PF04110	NA	Reactome: R-HSA-1632852|Reactome: R-HSA-5205685|Reactome: R-HSA-8934903|Reactome: R-HSA-936440	G3DSA:3.10.20.90	NA	SSF54236	NA	NA	NA	NA	NA	NA	NA
OTA06307.1	mobidb-lite	cd18140;cd00009	IPR003959	GO:0005524;GO:0003677;GO:0006260	PF00004;PF08542	SM00382	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091	G3DSA:3.40.50.300;G3DSA:1.10.8.60;G3DSA:1.20.272.10	NA	SSF48019;SSF52540	NA	NA	NA	NA	NA	NA	NA
OTA04275.1	mobidb-lite	NA	IPR012462	NA	PF07910	NA	NA	G3DSA:3.90.70.130	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01819.1	NA	NA	IPR024629	NA	PF12829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04168.1	NA	cd07489	IPR000209	GO:0004252;GO:0006508;GO:0005618;GO:0016020	PF00082;PF06280	NA	NA	G3DSA:3.40.50.200	NA	SSF52743	PS00136;PS00138	NA	NA	PR00723	NA	NA	NA
OTA03510.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06212.1	mobidb-lite	cd18538	IPR029021	GO:0004725;GO:0016311	PF03162	NA	NA	G3DSA:3.90.190.10	NA	SSF52799	PS00383	NA	NA	NA	NA	NA	NA
OTA00651.1	NA	NA	IPR006941	GO:0003676	PF04857	NA	NA	G3DSA:3.30.420.10	NA	SSF53098	NA	NA	NA	NA	NA	NA	NA
OTA00191.1	NA	cd11377;cd04056	IPR015366	GO:0008236;GO:0004252;GO:0006508	PF09286;PF00082	SM00944	Reactome: R-HSA-381038	G3DSA:3.40.50.200	PS51695	SSF54897;SSF52743	PS00138	NA	NA	NA	NA	NA	NA
OTA03408.1	NA	NA	IPR019369	GO:0016279;GO:0008168	PF10237	NA	Reactome: R-HSA-8876725	NA	NA	NA	NA	Coil	NA	NA	NA	NA	MF_03187
OTA08824.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00355.1	NA	cd16025	IPR017850	GO:0003824;GO:0008484	PF00884	NA	NA	G3DSA:3.30.1120.10;G3DSA:3.40.720.10	NA	SSF53649	PS00149	NA	NA	NA	NA	NA	NA
OTA01066.1	NA	NA	IPR002293	GO:0016020;GO:0022857;GO:0055085;GO:0006865;GO:0016021	PF00324	NA	NA	G3DSA:1.20.1740.10	NA	NA	PS00218	NA	PIRSF006060	NA	NA	NA	NA
OTA08891.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03124.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05576.1	mobidb-lite	NA	IPR015943	GO:0005515	PF00400	SM00320	NA	G3DSA:2.130.10.10	PS50294;PS50082	SSF50969	NA	NA	NA	NA	NA	NA	NA
OTA07598.1	NA	cd03758	IPR001353	GO:0004298;GO:0005839;GO:0051603	PF00227	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	G3DSA:3.60.20.10	PS51476	SSF56235	NA	NA	NA	NA	NA	NA	NA
OTA06276.1	mobidb-lite	cd17323	IPR036259	GO:0055085	PF07690	NA	NA	NA	PS50850	SSF103473	NA	NA	NA	NA	NA	NA	NA
OTA04048.1	mobidb-lite	cd00844	IPR041816	GO:0016787;GO:0006397;GO:0016788	PF00149;PF05011	SM01124	NA	NA	NA	SSF56300	NA	NA	NA	NA	NA	NA	NA
OTA06623.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SSF52058	NA	NA	NA	NA	NA	NA	NA
OTA04784.1	mobidb-lite	NA	IPR013087	GO:0003676	PF12171	NA	NA	NA	PS50157	SSF57667	PS00028	NA	NA	NA	NA	NA	NA
OTA07255.1	mobidb-lite	NA	IPR000408	NA	PF00415	NA	NA	G3DSA:2.130.10.30	PS50012	SSF50985	PS00626;PS00625	NA	NA	PR00633	NA	NA	NA
OTA07279.1	NA	NA	IPR018108	NA	PF00153	NA	NA	G3DSA:1.50.40.10	PS50920	SSF103506	NA	NA	NA	NA	NA	NA	NA
OTA07117.1	mobidb-lite	cd09597	IPR027268	GO:0004222;GO:0006508	PF01447;PF02868	NA	NA	G3DSA:1.10.390.10;G3DSA:3.10.170.10	NA	SSF55486	NA	NA	NA	PR00730	NA	NA	NA
OTA00644.1	mobidb-lite	cd16489	IPR001841	GO:0046872	PF13639;PF01363	SM00064;SM00184	NA	G3DSA:3.30.40.10	PS50089;PS50178	SSF57850;SSF57903	NA	NA	NA	NA	NA	NA	NA
OTA05188.1	NA	NA	IPR002594	GO:0000272;GO:0008810;GO:0004553	PF01670	NA	MetaCyc: PWY-6717|MetaCyc: PWY-6784	G3DSA:2.60.120.180	NA	SSF49899	NA	NA	NA	NA	NA	NA	NA
OTA05292.1	mobidb-lite	cd18596;cd03244;cd03250;cd18604	IPR003439	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	PF00005;PF00664	SM00382	NA	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	PS50929;PS50893	SSF52540;SSF90123	PS00211	NA	NA	NA	NA	NA	NA
OTA06141.1	mobidb-lite	NA	IPR009349	GO:0005634;GO:0006355;GO:0008270	PF06221	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA05112.1	mobidb-lite	NA	IPR000571	GO:0046872	NA	NA	NA	G3DSA:4.10.1000.10	PS50103	NA	NA	NA	NA	NA	NA	NA	NA
OTA06081.1	mobidb-lite	cd04041;cd04052	IPR035892	GO:0008289;GO:0061817	PF00168	SM00239	NA	G3DSA:2.60.40.150	PS50004;PS51847	SSF49562	NA	NA	NA	NA	NA	NA	NA
OTA07229.1	NA	cd11286	IPR017904	GO:0015629;GO:0030042;GO:0003779	PF00241	SM00102	NA	G3DSA:3.40.20.10	PS51263	SSF55753	NA	NA	NA	PR00006	NA	NA	NA
OSZ99960.1	NA	cd12176	IPR006140	GO:0051287;GO:0055114;GO:0016616	PF02826;PF00389	NA	NA	G3DSA:3.40.50.720;G3DSA:3.30.70.260	NA	SSF51735;SSF52283;SSF55021	PS00065;PS00670;PS00671	NA	NA	NA	NA	NA	NA
OTA03990.1	mobidb-lite	cd17956;cd18787	IPR014001	GO:0003676;GO:0005524	PF00271;PF00270	SM00487;SM00490	NA	G3DSA:3.40.50.300	PS51192;PS51194;PS51195	SSF52540	PS00039	Coil	NA	NA	NA	NA	NA
OTA03049.1	NA	cd08771	IPR022812	GO:0003924;GO:0005525	PF01031;PF00350	SM00053	NA	G3DSA:3.40.50.300	PS51718	SSF52540	NA	NA	NA	PR00195	NA	NA	NA
OTA00466.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07050.1	NA	NA	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	NA	NA	NA	SSF48264	NA	NA	NA	NA	NA	NA	NA
OTA00274.1	mobidb-lite	NA	IPR036236	GO:0003676	PF00096	SM00355	NA	G3DSA:3.30.160.60	PS50157	SSF57667	PS00028	NA	NA	NA	NA	NA	NA
OTA02755.1	mobidb-lite	NA	IPR002048	GO:0005509;GO:0016491;GO:0055114	PF07992	SM00054	NA	G3DSA:3.50.50.100	PS50222	SSF51905;SSF47473	PS00018	NA	NA	NA	NA	NA	NA
OTA05488.1	NA	NA	IPR027417	GO:0005525	PF00025	SM00178;SM00177	NA	G3DSA:3.40.50.300	PS51417	SSF52540	NA	NA	NA	PR00449	NA	NA	NA
OTA06882.1	NA	NA	IPR022057	NA	PF12271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00487.1	NA	cd02885	IPR011876	GO:0004452;GO:0008299;GO:0016787	PF00293	NA	KEGG: 00900+5.3.3.2|MetaCyc: PWY-5123|MetaCyc: PWY-6174|MetaCyc: PWY-6383|MetaCyc: PWY-6859|MetaCyc: PWY-7102|MetaCyc: PWY-7391|MetaCyc: PWY-7524|MetaCyc: PWY-7560|MetaCyc: PWY-922|Reactome: R-HSA-191273	G3DSA:3.90.79.10	PS51462	SSF55811	NA	NA	PIRSF018427	NA	TIGR02150	NA	NA
OTA06674.1	NA	NA	IPR028934	GO:0006886	PF03643	NA	NA	G3DSA:2.60.40.640	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03097.1	NA	cd02947	IPR013766	GO:0045454;GO:0006662;GO:0015035	PF00085	NA	Reactome: R-HSA-3299685	G3DSA:3.40.30.10	PS51352	SSF52833	PS00194	NA	PIRSF000077	PR00421	NA	NA	NA
OTA06876.1	NA	NA	IPR004853	NA	PF03151	NA	NA	NA	NA	SSF103481	NA	NA	NA	NA	NA	NA	NA
OTA01328.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA02594.1	NA	NA	IPR009799	NA	PF07110	NA	NA	G3DSA:3.30.70.100	NA	SSF54909	NA	NA	NA	NA	NA	NA	NA
OTA04140.1	NA	NA	IPR036282	GO:0005515	PF00043;PF13417	NA	NA	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	PS50404;PS50405	SSF47616;SSF52833	NA	NA	NA	NA	NA	SFLDS00019;SFLDG00358	NA
OTA04339.1	NA	cd12148	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02041.1	mobidb-lite	cd02947	IPR005746	GO:0006662;GO:0015035;GO:0045454	PF00085	NA	Reactome: R-HSA-3299685	G3DSA:3.40.30.10	PS51352	SSF52833	PS00194	NA	NA	PR00421	TIGR01068	NA	NA
OTA07248.1	NA	NA	IPR006132	GO:0006520;GO:0016743;GO:0016597	PF02729;PF00185	NA	KEGG: 00220+2.1.3.3|MetaCyc: PWY-4981|MetaCyc: PWY-4984|MetaCyc: PWY-7400|Reactome: R-HSA-1268020|Reactome: R-HSA-70635	G3DSA:3.40.50.1370	NA	SSF53671	PS00097	NA	NA	PR00102;PR00100	TIGR00658	NA	NA
OTA05555.1	NA	NA	IPR000581	GO:0003824	PF00920	NA	KEGG: 00290+4.2.1.9|KEGG: 00770+4.2.1.9|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-7111	G3DSA:3.50.30.80	NA	SSF52016;SSF143975	PS00886	Coil	NA	NA	NA	NA	NA
OTA06326.1	mobidb-lite	NA	IPR019775	GO:0005515	NA	NA	NA	G3DSA:2.130.10.10	NA	SSF50978	PS00678	NA	NA	NA	NA	NA	NA
OTA08546.1	NA	NA	IPR011057	NA	NA	NA	NA	G3DSA:2.170.150.70	NA	SSF51316	NA	NA	NA	NA	NA	NA	NA
OTA04311.1	NA	cd05251	IPR008030		PF05368	NA	Reactome: R-HSA-70635	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA
OTA05812.1	mobidb-lite	NA	IPR027417	GO:0005524	PF03969	NA	NA	G3DSA:3.40.50.300	NA	SSF52540	NA	Coil	NA	NA	NA	NA	NA
OTA03626.1	mobidb-lite	cd08570	IPR030395	GO:0006629;GO:0008081	PF03009	NA	NA	G3DSA:3.20.20.190	PS51704	SSF51695	NA	NA	NA	NA	NA	NA	NA
OTA05572.1	NA	NA	IPR015424	GO:0005737;GO:0006569;GO:0009435;GO:0030170;GO:0030429	PF00266	NA	KEGG: 00380+3.7.1.3|MetaCyc: PWY-5651|MetaCyc: PWY-6309|Reactome: R-HSA-71240	NA	NA	SSF53383	NA	NA	PIRSF038800	NA	TIGR01814	NA	MF_01970
OTA02003.1	NA	NA	IPR019165	GO:0004222	PF09768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05679.1	mobidb-lite	NA	IPR016181	GO:0004379;GO:0006499	PF02799;PF01233	NA	Reactome: R-HSA-2514859	G3DSA:3.40.630.30	NA	SSF55729	PS00976;PS00975	NA	PIRSF015892	NA	NA	NA	NA
OTA06526.1	mobidb-lite	NA	IPR014371	GO:0008374	PF03062	NA	NA	NA	NA	NA	NA	NA	PIRSF000439	NA	NA	NA	NA
OTA01810.1	mobidb-lite	NA	IPR023296	NA	NA	NA	NA	G3DSA:2.115.10.20	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04642.1	NA	cd12148	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	SM00906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08695.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03688.1	NA	NA	IPR002402	GO:0004497;GO:0005506;GO:0020037;GO:0055114;GO:0016712;GO:0016705	PF00067	NA	Reactome: R-HSA-211981	G3DSA:1.10.630.10	NA	SSF48264	PS00086	NA	NA	PR00464;PR01239;PR00385	NA	NA	NA
OTA05930.1	NA	NA	IPR002067	GO:0005347;GO:0055085;GO:0005743;GO:0022857	PF00153	NA	NA	G3DSA:1.50.40.10	PS50920	SSF103506	NA	NA	NA	PR00926;PR00927	NA	NA	NA
OTA01870.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01623.1	NA	cd17327	IPR011701	GO:0055085	PF07690	NA	NA	G3DSA:1.20.1250.20	PS50850	SSF103473	NA	NA	NA	NA	NA	NA	NA
OTA02398.1	mobidb-lite	NA	IPR018305	GO:0005739	PF10501	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00762.1	NA	cd12148	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	SM00906	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA00735.1	NA	NA	IPR011048	GO:0005515	PF10282	NA	NA	G3DSA:2.130.10.10	NA	SSF51004	NA	NA	NA	NA	NA	NA	NA
OTA04822.1	NA	cd18046;cd18787	IPR014001	GO:0003676;GO:0005524	PF00270;PF00271	SM00487;SM00490	NA	G3DSA:3.40.50.300	PS51194;PS51192;PS51195	SSF52540	PS00039	NA	NA	NA	NA	NA	NA
OTA04426.1	mobidb-lite	NA	IPR000530	GO:0003735;GO:0005840;GO:0006412	PF01248	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	G3DSA:3.30.1330.30	NA	SSF55315	PS01189	NA	NA	PR00972	NA	NA	NA
OTA00848.1	mobidb-lite	cd08829	IPR001972	GO:0016020	PF16200;PF01145	SM00244	Reactome: R-HSA-8949664	G3DSA:3.30.479.30	NA	SSF117892	NA	NA	NA	PR00721	NA	NA	NA
