Gene	interpro	GO	SUPERFAMILY	SMART	MobiDBLite	Gene3D	ProSiteProfiles	Pfam	PATHWAY	ProSitePatterns	PRINTS	CDD	PIRSF	Coils	TIGRFAM	Hamap	SFLD
KKP07512.1	IPR002110	GO:0005515;GO:0003824;GO:0009116	SSF48403;SSF52540;SSF53167	SM00248	NA	G3DSA:1.25.40.20;G3DSA:3.40.50.300	PS50088;PS50837;PS50297	PF01048;PF12796;PF05729	NA	NA	NA	cd09008	NA	NA	NA	NA	NA
KKP05656.1	IPR008929		SSF48230	NA	NA	G3DSA:1.50.10.100	NA	NA	Reactome: R-HSA-2022923	NA	NA	NA	NA	NA	NA	NA	NA
KKO98722.1	IPR007822	GO:0003824	SSF158745	SM01260	NA	G3DSA:1.50.10.10	NA	PF05147	NA	NA	PR01950	cd04794	NA	NA	NA	NA	NA
KKP05531.1	IPR029058	NA	SSF53474	NA	mobidb-lite	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06657.1	IPR026841	NA	NA	NA	mobidb-lite	NA	NA	PF14378	NA	NA	NA	cd03386	NA	NA	NA	NA	NA
KKO98271.1	IPR022137		NA	NA	NA	NA	NA	PF12417	Reactome: R-HSA-212436	NA	NA	NA	NA	NA	NA	NA	NA
KKO99815.1	IPR014895	NA	SSF49899	NA	NA	G3DSA:2.60.120.200	NA	PF08787	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03538.1	IPR010730	NA	NA	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP00422.1	IPR027415	GO:0005634;GO:0006281;GO:0008081	SSF56024	NA	mobidb-lite	G3DSA:3.30.870.20;G3DSA:3.30.870.10	PS50330	PF06087	Reactome: R-HSA-5693571	NA	NA	cd09122	NA	NA	NA	NA	NA
KKP00681.1	IPR000795	GO:0003924;GO:0005525	SSF50447;SSF52540;SSF50465	NA	mobidb-lite	G3DSA:2.40.30.10;G3DSA:3.40.50.300	PS51722	PF00009;PF08938;PF03143;PF03144	Reactome: R-HSA-429958	PS00301	PR00315	cd01883;cd16267	NA	Coil	TIGR00231	NA	NA
KKP01791.1	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020	SSF103473	NA	NA	G3DSA:1.20.1250.20	PS50850	PF00083	Reactome: R-HSA-189200	PS00217	PR00171	cd17358	NA	NA	NA	NA	NA
KKO97424.1	IPR042272	GO:0043461	SSF160909	NA	NA	G3DSA:3.30.2180.30;G3DSA:1.10.3580.10	NA	PF07542	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98829.1	IPR016160	GO:0016491;GO:0055114;GO:0016620	SSF53720	NA	NA	G3DSA:3.40.605.10;G3DSA:3.40.309.10	NA	PF00171	NA	PS00070;PS00687	NA	cd07103	NA	NA	NA	NA	NA
KKP01146.1	IPR006671	GO:0000079;GO:0019901;GO:0051726	SSF47954	NA	mobidb-lite	G3DSA:1.10.472.10	NA	PF00134	NA	NA	NA	NA	PIRSF016511	NA	NA	NA	NA
KKP04404.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SSF57701	SM00066;SM00906	mobidb-lite	G3DSA:4.10.240.10	PS50048	PF00172;PF04082	NA	PS00463	NA	cd00067;cd12148	NA	NA	NA	NA	NA
KKO97009.1	IPR013719		SSF50729	SM01287	mobidb-lite	G3DSA:2.30.29.30	NA	PF08512	Reactome: R-HSA-112382|Reactome: R-HSA-167152|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6804756|Reactome: R-HSA-75955	NA	NA	NA	NA	Coil	NA	NA	NA
KKO99248.1	IPR039297	NA	NA	NA	NA	NA	NA	PF02238	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98220.1	IPR013719	GO:0003677;GO:0005634	SSF50729	SM01287	mobidb-lite	G3DSA:2.30.29.30;G3DSA:2.30.29.150;G3DSA:2.30.29.220	NA	PF08512;PF17292;PF03531	Reactome: R-HSA-112382|Reactome: R-HSA-167152|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6804756|Reactome: R-HSA-75955	NA	PR00887	cd13230;cd13231;cd13229	NA	NA	NA	NA	NA
KKP01277.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	mobidb-lite	NA	NA	PF04082	NA	NA	NA	cd12148	NA	NA	NA	NA	NA
KKP02073.1	IPR003333	GO:0008610	SSF53335	NA	NA	G3DSA:3.40.50.150	NA	PF02353	NA	NA	NA	cd02440	PIRSF003085	NA	NA	NA	NA
KKO99031.1	IPR004839	GO:0009058;GO:0030170;GO:0003824	SSF53383	NA	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	PF00155	NA	NA	NA	cd00609	NA	NA	NA	NA	NA
KKO98261.1	IPR003033	NA	SSF55718	NA	NA	G3DSA:3.30.1050.10	NA	PF02036	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP00300.1	IPR000182	GO:0008080	SSF55729	NA	NA	G3DSA:3.40.630.30	PS51186	PF13302	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO96661.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKO97602.1	IPR011706	GO:0005507;GO:0016491;GO:0055114	SSF49503	NA	NA	G3DSA:2.60.40.420	NA	PF07731;PF00394;PF07732	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP00060.1	IPR019410	NA	NA	NA	NA	G3DSA:3.40.50.150	NA	PF10294	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06780.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	NA	mobidb-lite	NA	PS50048	NA	NA	NA	NA	cd00067	NA	NA	NA	NA	NA
KKP02047.1	IPR019833	GO:0004784;GO:0006801;GO:0046872;GO:0055114	SSF46609;SSF54719	NA	NA	G3DSA:1.10.287.990;G3DSA:2.40.500.20	NA	PF02777;PF00081	MetaCyc: PWY-6854|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-8862803|Reactome: R-HSA-8950505|Reactome: R-HSA-9615017	PS00088	PR01703	NA	PIRSF000349	NA	NA	NA	NA
KKO98426.1	IPR016059	GO:0003909;GO:0051103;GO:0003910;GO:0005524;GO:0006281;GO:0006310;GO:0071897;GO:0003677	SSF117018;SSF56091;SSF50249	NA	mobidb-lite	G3DSA:2.40.50.140;G3DSA:1.10.3260.10;G3DSA:3.30.470.30;G3DSA:3.30.1490.70	PS50160	PF04679;PF01068;PF04675	NA	PS00697;PS00333	NA	cd07969;cd07900	NA	NA	TIGR00574	NA	NA
KKP02793.1	IPR021765	GO:0043386	NA	NA	NA	NA	NA	PF11807	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99632.1	IPR010920	NA	SSF50182	SM00651	mobidb-lite	G3DSA:2.30.30.100	NA	PF01423	NA	NA	NA	cd01717	NA	NA	NA	NA	NA
KKO98029.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO96967.1	IPR009069		SSF47072	NA	mobidb-lite	G3DSA:1.10.287.1130	NA	NA	Reactome: R-HSA-1268020	NA	NA	NA	NA	NA	NA	NA	NA
KKP05878.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06886.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98468.1	IPR002877	GO:0008168;GO:0032259	SSF53335	NA	mobidb-lite	G3DSA:3.40.50.12760	NA	PF01728	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO96537.1	IPR019734	GO:0005515;GO:0005680;GO:0030071	SSF48452	SM00028	mobidb-lite	G3DSA:1.25.40.10	PS50005;PS50293	PF04049;PF13181;PF13414	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA
KKO99136.1	IPR006575	GO:0005515;GO:0003824;GO:0009116	SSF53167	NA	mobidb-lite	G3DSA:3.10.110.10	PS50908	PF05773	NA	NA	NA	cd09008	NA	NA	NA	NA	NA
KKP04438.1	IPR036686	GO:0005576	SSF101751	NA	mobidb-lite	G3DSA:3.20.120.10	NA	PF06766	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06544.1	IPR014876	GO:0003774;GO:0005524;GO:0016459	SSF109715;SSF53448;SSF55856;SSF52540	SM00242	NA	G3DSA:1.10.10.820;G3DSA:3.90.550.10;G3DSA:3.10.120.10	NA	PF08766;PF03142;PF00173	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP02863.1	IPR005811	GO:0003824;GO:0048037	SSF51735;SSF52210	NA	NA	G3DSA:3.40.50.720;G3DSA:3.40.50.261	NA	PF00549;PF02629	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384	PS01216	PR01798	NA	PIRSF001553	NA	NA	NA	NA
KKP04282.1	IPR001494	GO:0006886;GO:0008536	SSF48371	SM01349;SM00913	NA	NA	PS50166;PS50077	PF03810;PF13513	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO97374.1	IPR029058	GO:0006629;GO:0008374	SSF53474	NA	mobidb-lite	G3DSA:3.40.50.1820	NA	PF02450	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98190.1	IPR034164	GO:0004190;GO:0006508	SSF50630	NA	mobidb-lite	G3DSA:2.40.70.10	PS51767	PF00026	NA	NA	PR00792	cd05471;cd12087	NA	NA	NA	NA	NA
KKP00042.1	IPR010730	NA	NA	NA	mobidb-lite	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP07809.1	IPR023213	GO:0016747	NA	NA	NA	G3DSA:3.30.559.10	NA	PF02458	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA	NA	NA
KKO96487.1	IPR025638	NA	SSF56281	NA	NA	NA	NA	PF14234	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05709.1	IPR031728	GO:0055085	SSF51445;SSF103473	NA	mobidb-lite	G3DSA:1.20.1250.20;G3DSA:3.20.20.80	NA	PF16862;PF07690	KEGG: 00040+3.2.1.31|KEGG: 00531+3.2.1.31|KEGG: 00860+3.2.1.31|KEGG: 00944+3.2.1.31|KEGG: 00983+3.2.1.31|MetaCyc: PWY-7247|MetaCyc: PWY-7445	NA	NA	cd17325	NA	NA	NA	NA	NA
KKP06756.1	IPR019398	NA	NA	NA	mobidb-lite	NA	NA	PF10273	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP04950.1	IPR011701	GO:0055085	SSF103473	NA	NA	NA	PS50850	PF07690	NA	NA	NA	cd17323	NA	NA	NA	NA	NA
KKP03522.1	IPR002347	GO:0016491	SSF51735	NA	mobidb-lite	G3DSA:3.40.50.720	NA	PF13561	NA	PS00061	PR00080;PR00081	NA	NA	NA	NA	NA	NA
KKO97047.1	IPR011990	GO:0005515;GO:0006886;GO:0016192	SSF50978;SSF48371	SM00299	NA	G3DSA:1.25.40.10;G3DSA:3.30.40.10;G3DSA:2.130.10.10	PS50236;PS50089	PF12451;PF00637;PF17122	NA	NA	NA	cd16688	PIRSF007860	NA	NA	NA	NA
KKO97853.1	IPR029061	GO:0003824	SSF52518;SSF52922	SM00861	NA	G3DSA:3.40.50.970;G3DSA:3.40.50.920	NA	PF02779;PF02780;PF00456	KEGG: 00730+2.2.1.7|KEGG: 00900+2.2.1.7|MetaCyc: PWY-6891|MetaCyc: PWY-6892|MetaCyc: PWY-7560	PS00802	NA	cd02012;cd07033	NA	NA	NA	NA	NA
KKP04686.1	IPR011856	GO:0003676;GO:0004518;GO:0016788	NA	SM00990	mobidb-lite	G3DSA:3.40.1350.10	NA	PF08774	Reactome: R-HSA-6783310	NA	NA	NA	NA	NA	NA	NA	NA
KKP02310.1	IPR001227	GO:0016740;GO:0031177;GO:0016491;GO:0003824	SSF51735;SSF52151;SSF50129;SSF53335;SSF53901;SSF47336;SSF55048	SM00826;SM00822;SM00825;SM00827;SM00823;SM00829	NA	G3DSA:3.40.50.720;G3DSA:3.40.366.10;G3DSA:1.10.1200.10;G3DSA:3.40.50.150;G3DSA:3.90.180.10;G3DSA:3.10.129.110	PS50075	PF16197;PF00109;PF08659;PF14765;PF00698;PF13602;PF08242;PF02801	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	PS00012	NA	cd05195;cd00833	NA	NA	NA	NA	NA
KKP05919.1	IPR036291	GO:0051287;GO:0055114	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	PF02826	NA	NA	NA	cd12163	NA	NA	NA	NA	NA
KKP02353.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	SM00066	mobidb-lite	G3DSA:4.10.240.10	PS50048	NA	NA	PS00463	NA	cd12148;cd00067;cd14688	NA	Coil	NA	NA	NA
KKO97828.1	IPR030844	GO:0000289;GO:0003723;GO:0006397;GO:0031251;GO:0046872;GO:0004672;GO:0005524;GO:0006468	SSF56112	SM00220	mobidb-lite	G3DSA:1.10.510.10	PS50103	PF18101	Reactome: R-HSA-429947	NA	NA	NA	NA	NA	NA	MF_03181	NA
KKP01412.1	IPR003439	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085;GO:0016020	SSF52540	SM00382	mobidb-lite	G3DSA:3.40.50.300	PS50893	PF06422;PF00005;PF14510;PF01061	Reactome: R-HSA-1369062	PS00211	NA	cd03232;cd03233	NA	Coil	NA	NA	NA
KKP02362.1	IPR038071		SSF51726	NA	NA	G3DSA:3.20.20.210	NA	NA	Reactome: R-HSA-189451	NA	NA	NA	NA	NA	NA	NA	NA
KKP06814.1	IPR013175	GO:0006338;GO:0031011	NA	NA	mobidb-lite	NA	NA	PF08193	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP04193.1	IPR036188	GO:0071949	SSF51905;SSF54373	NA	NA	G3DSA:3.50.50.60	NA	PF01494	NA	NA	PR00420	NA	NA	NA	NA	NA	NA
KKP07082.1	IPR037045		SSF54897	NA	NA	G3DSA:3.30.70.80	NA	NA	Reactome: R-HSA-381426|Reactome: R-HSA-8866427|Reactome: R-HSA-8957275|Reactome: R-HSA-8964038	NA	NA	NA	NA	NA	NA	NA	NA
KKP06551.1	IPR019769	GO:0003723;GO:0003746;GO:0043022;GO:0045901;GO:0045905;GO:0006452	SSF50249;SSF50104	SM01376	NA	G3DSA:2.40.50.140;G3DSA:2.30.30.30	NA	PF01287	NA	PS00302	NA	cd04468	PIRSF003025	NA	TIGR00037	NA	NA
KKO97140.1	IPR009027	GO:0003676;GO:0004523	SSF55658;SSF53098	NA	mobidb-lite	G3DSA:3.40.970.10;G3DSA:3.30.420.10	PS50879	PF01693;PF00075	NA	NA	NA	cd09280	NA	NA	NA	NA	NA
KKP03905.1	IPR042099	GO:0003824	SSF47336;SSF52777;SSF56801	NA	NA	G3DSA:3.40.50.12780;G3DSA:3.30.559.30;G3DSA:1.10.1200.10;G3DSA:3.30.559.10;G3DSA:3.30.300.30	PS50075	PF00668;PF00550;PF13193;PF00501	Reactome: R-HSA-389661	PS00455;PS00012	NA	cd05918	NA	NA	TIGR01733	NA	NA
KKO97248.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP04484.1	IPR004330	NA	NA	NA	NA	NA	NA	PF03101	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP00835.1	IPR024576	GO:0001510;GO:0008168;GO:0008649;GO:0031167;GO:0032259;GO:0005634;GO:0006364	SSF53335	NA	mobidb-lite	G3DSA:3.40.50.150	NA	PF11861;PF01728;PF07780	Reactome: R-HSA-6791226	NA	NA	NA	NA	Coil	NA	MF_01547;MF_03163	NA
KKP01255.1	IPR018815	NA	NA	NA	NA	NA	NA	PF10311	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP07853.1	IPR001279	NA	SSF56281	NA	NA	G3DSA:3.60.15.10	NA	PF00753	NA	NA	NA	cd07730	NA	NA	NA	NA	NA
KKP06671.1	IPR031100	NA	SSF102405	NA	NA	G3DSA:3.40.50.450	NA	PF03641	NA	NA	NA	NA	NA	NA	TIGR00730	NA	NA
KKO97174.1	IPR040233	NA	NA	NA	mobidb-lite	NA	NA	PF09747	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03555.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP04647.1	IPR014189	GO:0055114;GO:0016491	SSF51735;SSF50129	SM00829	NA	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	PF08240;PF00107	Reactome: R-HSA-6803205	NA	NA	cd05276	NA	NA	TIGR02824	NA	NA
KKP05132.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	cd12087	NA	NA	NA	NA	NA
KKP05072.1	IPR005605	GO:0019888	NA	NA	mobidb-lite	NA	NA	PF03907	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05969.1	IPR021858	NA	NA	NA	mobidb-lite	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05603.1	IPR033121	GO:0004190;GO:0006508	SSF50630	NA	NA	G3DSA:2.40.70.10	PS51767	PF00026	NA	PS00141	PR00792	cd05471	NA	NA	NA	NA	NA
KKO99110.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06081.1	IPR036284	GO:0007186	SSF48670	SM01224	mobidb-lite	NA	NA	PF00631	Reactome: R-HSA-418594|Reactome: R-HSA-6814122	NA	NA	NA	NA	NA	NA	NA	NA
KKP02860.1	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	SSF51905	NA	NA	G3DSA:3.50.50.60	NA	PF13738	NA	NA	PR00411	NA	PIRSF000332	NA	NA	NA	NA
KKP04333.1	IPR023606	GO:0008410	SSF89796	NA	NA	G3DSA:3.30.1540.10;G3DSA:3.40.50.10540	NA	PF02515	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05766.1	IPR003480	GO:0016747	NA	NA	NA	G3DSA:3.30.559.10	NA	PF02458	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA	NA	NA
KKP03612.1	IPR008701	NA	NA	NA	NA	NA	NA	PF05630	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98724.1	NA	NA	NA	NA	mobidb-lite	NA	PS51257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP00996.1	IPR033925	GO:0003677;GO:0005524;GO:0006259;GO:0008094;GO:0006281;GO:0000166;GO:0000150;GO:0000724;GO:0003690;GO:0003697;GO:1990426	SSF52540;SSF47794	SM00382	NA	G3DSA:3.40.50.300;G3DSA:1.10.150.20	PS50163;PS50162	PF14520;PF08423	Reactome: R-HSA-5685942|Reactome: R-HSA-5693554|Reactome: R-HSA-5693568|Reactome: R-HSA-5693579	NA	NA	cd01123	PIRSF005856	NA	TIGR02239	NA	NA
KKP05873.1	IPR038552	GO:0005744;GO:0030150	NA	NA	NA	G3DSA:3.10.450.320	NA	PF08294	Reactome: R-HSA-1268020	NA	NA	NA	NA	NA	NA	NA	NA
KKP00928.1	IPR001680	GO:0005515	SSF50978	SM00320	mobidb-lite	G3DSA:2.130.10.10	PS50082;PS50294	PF00400	NA	PS00678	PR00320	NA	NA	NA	NA	NA	NA
KKP02943.1	IPR011527	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	SSF90123;SSF52540	SM00382	mobidb-lite	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	PS50929;PS50893	PF00005;PF00664	NA	PS00211	NA	cd03249;cd18578;cd18577	NA	Coil	NA	NA	NA
KKP07195.1	IPR029144	NA	SSF53686	NA	NA	G3DSA:3.90.1380.10;G3DSA:3.40.50.1100	NA	PF14821;PF00291	NA	NA	NA	cd01560	NA	NA	TIGR00260	NA	NA
KKP01054.1	NA	NA	NA	NA	mobidb-lite	NA	NA	PF05205	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP01532.1	IPR036291	NA	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98963.1	IPR036291	NA	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	PF00106	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05073.1	IPR000182	GO:0008080	SSF55729	NA	NA	G3DSA:3.40.630.30	PS51186	PF13302	NA	NA	NA	cd04301	NA	NA	NA	NA	NA
KKP05068.1	IPR041622	NA	NA	NA	mobidb-lite	NA	NA	PF18142	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP04561.1	IPR021384	GO:0016592	SSF140718	NA	NA	G3DSA:1.20.58.470	NA	PF11221	Reactome: R-HSA-1989781|Reactome: R-HSA-381340	NA	NA	NA	NA	Coil	NA	NA	NA
KKP01612.1	IPR000727		SSF58038	NA	mobidb-lite	G3DSA:1.20.5.110	PS50192	NA	Reactome: R-HSA-6807878	NA	NA	cd15853	NA	NA	NA	NA	NA
KKP05131.1	IPR029035	GO:0000287;GO:0030976;GO:0003824;GO:0003984;GO:0009082;GO:0050660	SSF52467;SSF52518	NA	mobidb-lite	G3DSA:3.40.50.970;G3DSA:3.40.50.1220	NA	PF00205;PF02776;PF02775	KEGG: 00290+2.2.1.6|KEGG: 00650+2.2.1.6|KEGG: 00660+2.2.1.6|KEGG: 00770+2.2.1.6|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-5938|MetaCyc: PWY-5939|MetaCyc: PWY-6389|MetaCyc: PWY-7111	PS00187	NA	cd02015;cd07035	NA	NA	TIGR00118	NA	NA
KKP06758.1	IPR020100	NA	NA	NA	mobidb-lite	NA	NA	PF11034	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03902.1	IPR036640	GO:0005524;GO:0016021;GO:0016887;GO:0042626;GO:0055085	SSF52540;SSF90123	SM00382	NA	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	PS50929;PS50893	PF00005;PF00664	NA	PS00211	NA	cd18577;cd18578	NA	NA	NA	NA	NA
KKP06594.1	IPR029063	GO:0008168	SSF53335	NA	mobidb-lite	G3DSA:3.40.50.150	NA	PF08241	NA	NA	NA	cd02440	NA	Coil	NA	NA	NA
KKP05516.1	IPR024079	GO:0008237	SSF55486	NA	mobidb-lite	G3DSA:3.40.390.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP07633.1	IPR000086	GO:0016787	SSF55811	NA	NA	G3DSA:3.90.79.10;G3DSA:3.30.750.160	PS51462	PF00293;PF15916	NA	NA	NA	cd03676	NA	NA	NA	NA	NA
KKO98717.1	IPR013088	GO:0006355;GO:0008270;GO:0043565	SSF57716	SM00401	mobidb-lite	G3DSA:3.30.50.10	PS50114	PF00320	Reactome: R-HSA-383280	NA	NA	cd00202	NA	Coil	NA	NA	NA
KKP04207.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03646.1	IPR035965	GO:0006355;GO:0008270;GO:0043565;GO:0005515	SSF55785;SSF57716	SM00086;SM00091;SM00401	mobidb-lite	G3DSA:3.30.450.20;G3DSA:3.30.50.10	PS50114;PS50112	PF08447;PF08446;PF00320;PF13426	Reactome: R-HSA-383280	PS00344	NA	cd00130;cd00202	NA	NA	TIGR00229	NA	NA
KKP04408.1	IPR036282	NA	SSF47616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
