Gene	interpro	Gene3D	SUPERFAMILY	Pfam	PRINTS	MobiDBLite	Coils	CDD	GO	PATHWAY	ProSitePatterns	SMART	ProSiteProfiles	PIRSF	TIGRFAM	Hamap	SFLD
PTB69862.1	IPR003959	G3DSA:1.20.272.10;G3DSA:1.10.8.60;G3DSA:3.40.50.300	SSF52540;SSF48019	PF00004;PF08542	NA	mobidb-lite	NA	cd18140;cd00009	GO:0005524;GO:0003677;GO:0006260	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-176187|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685938|Reactome: R-HSA-5685942|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6804756|Reactome: R-HSA-69091|Reactome: R-HSA-69473	NA	SM00382	NA	NA	NA	NA	NA
PTB65668.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68958.1	IPR036638	G3DSA:4.10.280.10	SSF47459	PF09427;PF00010	NA	mobidb-lite	Coil	cd00083	GO:0046983;GO:0032933;GO:0045944	NA	NA	SM00353	PS50888	NA	NA	NA	NA
PTB70443.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63833.1	IPR004014	G3DSA:2.70.150.10;G3DSA:1.20.1110.10	SSF81665	PF00690	NA	mobidb-lite	NA	NA		Reactome: R-HSA-936837	NA	SM00831	NA	NA	NA	NA	NA
PTB64553.1	IPR012341	G3DSA:1.50.10.10	SSF48225	PF01532	PR00747	NA	NA	NA	GO:0003824;GO:0004571;GO:0005509;GO:0016020	NA	NA	NA	NA	NA	NA	NA	NA
PTB65377.1	IPR012340	G3DSA:2.40.50.140;G3DSA:2.20.28.10;G3DSA:3.40.50.300	SSF50249;SSF52540	PF17855;PF14551;PF17207;PF00493	PR01663;PR01657	mobidb-lite	NA	cd17758	GO:0003677;GO:0003678;GO:0005524;GO:0006270;GO:0042555;GO:0006260	Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69052	PS00847	SM00382;SM00350	PS50051	NA	NA	NA	NA
PTB63451.1	IPR029044	G3DSA:3.90.550.20	SSF53448	PF04488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66059.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65401.1	IPR007249	NA	SSF48371	PF04118	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67205.1	IPR001670	G3DSA:3.40.50.1970;G3DSA:1.20.1090.10	SSF56796	PF00465	NA	NA	NA	cd08190	GO:0016491;GO:0046872;GO:0055114	Reactome: R-HSA-880009	NA	NA	NA	NA	NA	NA	NA
PTB67695.1	IPR027417	G3DSA:3.40.850.10	SSF52540	PF00225	PR00380	mobidb-lite	Coil	NA	GO:0003777;GO:0005524;GO:0007018;GO:0008017	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	PS00411	SM00129	PS50067	NA	NA	NA	NA
PTB67007.1	IPR017932	G3DSA:3.40.50.620;G3DSA:3.60.20.10	SSF52402;SSF56235	PF13537;PF00733	NA	NA	NA	cd03766;cd01991	GO:0004066;GO:0006529	KEGG: 00250+6.3.5.4|Reactome: R-HSA-380994|Reactome: R-HSA-8963693	NA	NA	PS51278	PIRSF001589	NA	NA	NA
PTB68675.1	IPR012677	G3DSA:3.30.70.330	SSF54928	PF01585	NA	mobidb-lite	NA	NA	GO:0003676	NA	NA	SM00443	PS50174	NA	NA	NA	NA
PTB65321.1	IPR000571	G3DSA:3.30.70.330	SSF54928	PF00642	PR01848	mobidb-lite	NA	NA	GO:0046872;GO:0003676;GO:0000398;GO:0003723;GO:0089701	NA	NA	SM00356	PS50103;PS50102	NA	NA	NA	NA
PTB67467.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68197.1	IPR000719	G3DSA:1.10.510.10	SSF56112	PF00069	NA	mobidb-lite	NA	NA	GO:0004672;GO:0005524;GO:0006468	NA	PS00107;PS00108	SM00220	PS50011	NA	NA	NA	NA
PTB66035.1	IPR000719	G3DSA:1.10.510.10	SSF56112	PF00069	NA	mobidb-lite	NA	NA	GO:0004672;GO:0005524;GO:0006468	NA	PS00108	SM00220	PS50011	NA	NA	NA	NA
PTB70224.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62028.1	IPR022074	NA	NA	PF12294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65766.1	IPR026030	G3DSA:1.10.4160.10	NA	PF02133	NA	mobidb-lite	NA	NA	GO:0016021;GO:0022857;GO:0055085;GO:0016020	NA	NA	NA	NA	PIRSF002744	NA	NA	NA
PTB70349.1	NA	NA	SSF50475	PF13883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67207.1	IPR001017	G3DSA:3.40.50.970	SSF52518	PF00676	NA	NA	NA	cd02000	GO:0016624	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA	NA
PTB67556.1	IPR001932	NA	SSF81606	PF00481	NA	mobidb-lite	NA	cd00143	GO:0003824;GO:0043169	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	PS01032	SM00332	PS51746	NA	NA	NA	NA
PTB64820.1	IPR021833	NA	NA	PF11905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61633.1	IPR027417	G3DSA:1.10.8.60;G3DSA:3.40.50.300	SSF52540	PF00004	NA	mobidb-lite	NA	cd00009	GO:0005524	NA	PS00674	SM00382	NA	NA	NA	NA	NA
PTB67295.1	IPR014001	G3DSA:3.40.50.300	SSF52540	PF00270;PF00271	NA	mobidb-lite	NA	cd18787;cd17955	GO:0003676;GO:0005524	NA	PS00039	SM00490;SM00487	PS51192;PS51195;PS51194	NA	NA	NA	NA
PTB69677.1	IPR036864	G3DSA:4.10.240.10	SSF57701	PF00172	NA	mobidb-lite	NA	cd12148;cd00067	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PS00463	SM00066	PS50048	NA	NA	NA	NA
PTB69473.1	IPR016181	G3DSA:3.40.630.30	SSF55729	PF13302	NA	NA	NA	NA	GO:0008080	NA	NA	NA	NA	NA	NA	NA	NA
PTB70691.1	IPR001206	G3DSA:3.40.50.10330;G3DSA:2.60.200.40	SSF111331	PF00781	NA	NA	NA	NA	GO:0016301;GO:0003951	NA	NA	NA	NA	NA	NA	NA	NA
PTB67981.1	IPR001680	G3DSA:2.130.10.10	SSF50978	PF00400	PR00320	NA	NA	cd00200	GO:0005515	NA	PS00678	SM00320	PS50294;PS50082	NA	NA	NA	NA
PTB65993.1	IPR023398	G3DSA:3.30.760.10	SSF55418	PF01652	NA	mobidb-lite	NA	NA	GO:0003723;GO:0003743;GO:0005737;GO:0006413	NA	PS00813	NA	NA	NA	NA	NA	NA
PTB66242.1	IPR011009	G3DSA:1.10.510.10;G3DSA:3.30.200.20	SSF56112	PF01163	NA	mobidb-lite	Coil	cd05147	GO:0004674;GO:0005524	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-6791226	PS01245	SM00090	NA	PIRSF038147	NA	NA	NA
PTB67243.1	IPR004827	G3DSA:1.20.5.170	SSF57959	PF00170	NA	mobidb-lite	Coil	cd14686	GO:0003700;GO:0006355	NA	NA	SM00338	PS50217	NA	NA	NA	NA
PTB68897.1	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62423.1	IPR003746	G3DSA:3.30.1200.10	SSF69786	PF02594	NA	NA	NA	NA	NA	NA	NA	SM01152	NA	NA	NA	MF_00634	NA
PTB66061.1	IPR036291	G3DSA:3.40.50.720;G3DSA:3.90.25.10	SSF51735	PF05368	NA	NA	NA	NA		Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA
PTB64787.1	IPR016964	NA	NA	PF10914	NA	NA	NA	NA	NA	NA	NA	NA	PS51751	PIRSF031032	NA	NA	NA
PTB62854.1	IPR000073	G3DSA:3.40.50.1820	SSF53474	PF12697	NA	NA	NA	NA	GO:0004061;GO:0019441	KEGG: 00380+3.5.1.9|KEGG: 00630+3.5.1.9|MetaCyc: PWY-5651|MetaCyc: PWY-6309|MetaCyc: PWY-7717|MetaCyc: PWY-7733|MetaCyc: PWY-7734|MetaCyc: PWY-7765|Reactome: R-HSA-71240	NA	NA	NA	NA	NA	MF_03014	NA
PTB66824.1	IPR017853	G3DSA:1.50.10.10;G3DSA:3.20.20.80	SSF51445;SSF48208	PF14699;PF06202;PF14702;PF14701	NA	NA	NA	cd11327	GO:0003824;GO:0004134;GO:0004135;GO:0005978	KEGG: 00500+2.4.1.25|MetaCyc: PWY-5941|MetaCyc: PWY-6724|MetaCyc: PWY-6737|MetaCyc: PWY-7238|Reactome: R-HSA-6798695|Reactome: R-HSA-70221	NA	NA	NA	NA	TIGR01531	NA	NA
PTB68816.1	IPR004843	NA	SSF56300	PF00149	NA	mobidb-lite	NA	NA	GO:0016787	NA	NA	NA	NA	NA	NA	NA	NA
PTB66573.1	IPR029004	G3DSA:3.30.390.110	NA	PF01778	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69777.1	IPR001810	G3DSA:3.80.10.10	SSF52047;SSF81383;SSF48452	PF00646	NA	NA	NA	NA	GO:0005515	NA	NA	SM00256	PS50181	NA	NA	NA	NA
PTB68913.1	IPR000073	NA	SSF53474	PF12697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64923.1	IPR007867	G3DSA:3.50.50.60;G3DSA:3.30.560.10	SSF51905;SSF54373	PF05199;PF00732	NA	NA	NA	NA	GO:0016614;GO:0055114;GO:0050660	Reactome: R-HSA-6798163	PS00624	NA	PS51257	PIRSF000137	NA	NA	NA
PTB66825.1	IPR036291	G3DSA:3.40.50.720	SSF51735	PF05368	NA	NA	NA	NA		Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA
PTB67012.1	IPR006073	NA	SSF52540	PF01926	NA	mobidb-lite	Coil	NA	GO:0005525	NA	PS00675	NA	NA	NA	NA	NA	NA
PTB62898.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62225.1	IPR011012	G3DSA:3.30.450.60;G3DSA:2.60.40.1170	SSF64356;SSF49447	PF01217;PF00928	NA	mobidb-lite	Coil	cd14830;cd09254	NA	NA	NA	NA	PS51072	NA	NA	NA	NA
PTB64308.1	IPR015898	NA	SSF48670	PF00631	NA	mobidb-lite	NA	NA	GO:0007186	Reactome: R-HSA-418594|Reactome: R-HSA-6814122	NA	SM01224	NA	NA	NA	NA	NA
PTB66858.1	IPR036249	G3DSA:3.40.30.10;G3DSA:3.10.20.90;G3DSA:1.10.8.10	SSF46934;SSF54236;SSF52833	PF14555;PF00789;PF13899	NA	mobidb-lite	Coil	cd14348;cd01767;cd02958	GO:0005515	NA	NA	SM00594;SM00166	PS50033	NA	NA	NA	NA
PTB67547.1	IPR002778	G3DSA:3.30.56.30	SSF69695	PF01922	NA	mobidb-lite	NA	NA	GO:0006614;GO:0008312;GO:0048500	Reactome: R-HSA-1799339	NA	NA	NA	NA	NA	NA	NA
PTB67375.1	IPR011989	G3DSA:1.25.10.10	SSF48371	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61439.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62651.1	IPR017853	G3DSA:3.20.20.80	SSF51445	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68163.1	IPR000182	G3DSA:3.40.630.30	SSF55729	NA	NA	mobidb-lite	NA	NA	GO:0008080	NA	NA	NA	PS51186	NA	NA	NA	NA
PTB62396.1	IPR012310	G3DSA:3.30.1490.70;G3DSA:2.40.50.140;G3DSA:3.30.470.30;G3DSA:1.10.3260.10	SSF117018;SSF56091;SSF50249	PF01068;PF04675;PF04679	NA	mobidb-lite	NA	cd07969;cd07900	GO:0003910;GO:0005524;GO:0006281;GO:0006310;GO:0003677;GO:0071897;GO:0003909;GO:0051103	NA	PS00697	NA	PS50160	NA	TIGR00574	NA	NA
PTB68948.1	IPR036318	G3DSA:3.30.465.40	SSF56176	PF01565	NA	NA	NA	NA	GO:0050660;GO:0016491;GO:0055114;GO:0071949	NA	NA	NA	PS51387	NA	NA	NA	NA
PTB68917.1	IPR019189	NA	NA	PF09809	NA	NA	NA	NA		Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA
PTB69840.1	IPR001698	G3DSA:1.20.58.570;G3DSA:2.40.160.80	SSF90096	PF01115	PR00192	mobidb-lite	NA	NA	GO:0008290;GO:0051016;GO:0003779;GO:0005737;GO:0030036	Reactome: R-HSA-2132295|Reactome: R-HSA-3371497|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436|Reactome: R-HSA-983231	PS00231	NA	NA	NA	NA	NA	NA
PTB67313.1	IPR005025	G3DSA:3.40.50.360	SSF52218	PF03358	NA	NA	NA	NA	GO:0016491	NA	NA	NA	NA	NA	NA	NA	NA
PTB69495.1	IPR010989	G3DSA:1.20.5.110;G3DSA:1.20.58.90	SSF47661;SSF58038	PF09177	NA	NA	Coil	cd15851	GO:0016020;GO:0016192;GO:0048193	Reactome: R-HSA-6811440	NA	SM00397	PS50192	NA	NA	NA	NA
PTB64299.1	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64515.1	IPR019160	G3DSA:2.30.29.90	NA	PF09763;PF15277	NA	mobidb-lite	Coil	cd13315	GO:0000145;GO:0006887	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	NA	SM01313	NA	NA	NA	NA	NA
PTB65593.1	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69393.1	IPR011009	G3DSA:3.90.1200.10	SSF56112	PF03881	NA	NA	NA	NA		Reactome: R-HSA-163841	NA	NA	NA	NA	NA	NA	NA
PTB66651.1	IPR001613	G3DSA:3.50.50.60;G3DSA:3.90.660.10	SSF51905	PF01593	PR00757	NA	NA	NA	GO:0016491;GO:0055114	NA	NA	NA	NA	NA	NA	NA	NA
PTB63304.1	IPR036291	G3DSA:3.40.50.720;G3DSA:3.30.360.10	SSF55347;SSF51735	PF01408	NA	NA	NA	NA	GO:0016491	NA	NA	NA	NA	NA	NA	NA	NA
PTB70607.1	IPR019417	G3DSA:2.130.10.10	SSF50978	PF10313	NA	mobidb-lite	Coil	NA	GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA
PTB68038.1	IPR031463	NA	NA	PF17050	NA	NA	NA	NA	GO:0042407;GO:0044284;GO:0061617	NA	NA	NA	NA	NA	NA	NA	NA
PTB63118.1	IPR008030	G3DSA:3.40.50.720;G3DSA:3.90.25.10	SSF51735	PF05368	NA	NA	Coil	cd05251		Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA
PTB62132.1	NA	NA	NA	NA	NA	mobidb-lite	Coil	cd14688	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66567.1	IPR025977	G3DSA:1.25.10.10	SSF48371	PF12719	NA	mobidb-lite	NA	NA		Reactome: R-HSA-2514853	NA	NA	NA	NA	NA	NA	NA
PTB70864.1	IPR029178	NA	NA	PF15463	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63467.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69702.1	IPR001915	NA	NA	PF01435	NA	NA	NA	cd07331	GO:0004222;GO:0006508	NA	NA	NA	NA	NA	NA	NA	NA
PTB69080.1	IPR018531	G3DSA:1.20.120.450	SSF109854	PF09351	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68911.1	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61446.1	IPR014043	G3DSA:3.40.366.10	SSF52151;SSF55048	PF00698	NA	NA	NA	NA	GO:0016740	NA	NA	SM00827	NA	NA	NA	NA	NA
PTB69756.1	IPR000504	G3DSA:3.30.70.330	SSF54928	PF00076	NA	mobidb-lite	NA	NA	GO:0003676	NA	NA	SM00360	PS50102	NA	NA	NA	NA
PTB69905.1	IPR036249	G3DSA:3.40.30.10	SSF52833	PF00462	PR00160	mobidb-lite	Coil	cd03419	GO:0045454;GO:0009055;GO:0015035	NA	NA	NA	PS51354	NA	TIGR02180	NA	NA
PTB64989.1	IPR002347	G3DSA:3.40.50.720	SSF51735	PF00106	PR00080;PR00081	NA	NA	NA	GO:0016491	NA	PS00061	NA	NA	NA	NA	NA	NA
PTB62221.1	IPR029058	G3DSA:3.40.50.1820	SSF53474	PF02230	NA	NA	NA	NA	GO:0016787	NA	NA	NA	NA	NA	NA	NA	NA
PTB65243.1	IPR000772	G3DSA:2.80.10.50	SSF50370	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	SM00458	PS50231	NA	NA	NA	NA
PTB70785.1	IPR001138	G3DSA:4.10.240.10	NA	PF00172	NA	mobidb-lite	NA	cd00067	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	NA	NA	NA	NA	NA
PTB69401.1	IPR000537	NA	NA	PF01040	NA	NA	NA	NA	GO:0016021;GO:0016765	NA	NA	NA	NA	NA	NA	NA	NA
PTB67036.1	IPR025337	NA	NA	PF14027	NA	NA	NA	NA	GO:0016491	NA	NA	NA	NA	NA	NA	NA	NA
PTB69631.1	IPR001138	G3DSA:4.10.240.10	SSF57701	PF00172	NA	mobidb-lite	NA	cd00067	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PS00463	SM00066	PS50048	NA	NA	NA	NA
PTB66926.1	IPR003000	G3DSA:3.30.1600.10;G3DSA:3.40.50.1220	SSF52467	PF02146	NA	mobidb-lite	NA	NA	GO:0070403	NA	NA	NA	PS50305	NA	NA	NA	NA
PTB66481.1	IPR001163	G3DSA:2.30.30.100	SSF50182	PF01423	NA	NA	NA	cd01718	GO:0000398;GO:0005681	Reactome: R-HSA-111367|Reactome: R-HSA-191859|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-73856|Reactome: R-HSA-77588	NA	SM00651	NA	NA	NA	NA	NA
PTB62380.1	IPR000836	G3DSA:3.40.50.2020	SSF53271	PF00156	NA	NA	Coil	cd06223	GO:0009116	NA	NA	NA	NA	NA	NA	NA	NA
PTB67727.1	IPR015157	NA	NA	PF09072	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67784.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61516.1	IPR031359	G3DSA:3.40.50.300	SSF52540	PF17100;PF05729	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	PS50837	NA	NA	NA	NA
PTB68551.1	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67752.1	IPR002347	G3DSA:3.40.50.720	SSF51735	PF13561	PR00081	NA	NA	cd05352	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66053.1	IPR036388	G3DSA:1.10.10.10	SSF46785	PF05158	NA	NA	NA	NA	GO:0005666;GO:0006383	Reactome: R-HSA-1834949|Reactome: R-HSA-73780|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	NA	NA	NA	PIRSF028763	NA	NA	NA
PTB66235.1	IPR003689	NA	NA	PF02535	NA	NA	NA	NA	GO:0016020;GO:0030001;GO:0046873;GO:0055085;GO:0005385;GO:0016021;GO:0071577	NA	NA	NA	NA	NA	TIGR00820	NA	NA
PTB61436.1	IPR036887	G3DSA:3.10.260.10	SSF54616	NA	NA	mobidb-lite	NA	NA	GO:0003677	NA	NA	SM01252	PS51299	NA	NA	NA	NA
PTB63932.1	IPR013087	G3DSA:1.10.10.60	SSF46689	PF03221;PF05920	NA	mobidb-lite	NA	cd00086	GO:0003676;GO:0003677;GO:0006355	NA	PS00028	SM00389;SM00355	PS50157;PS50071;PS51253	NA	NA	NA	NA
PTB63627.1	IPR006166	G3DSA:1.10.150.670	NA	PF02732	NA	mobidb-lite	Coil	NA	GO:0003677;GO:0004518	Reactome: R-HSA-6783310	NA	SM00891	NA	NA	NA	NA	NA
