Gene	interpro	GO	SMART	ProSiteProfiles	SUPERFAMILY	CDD	Gene3D	Pfam	MobiDBLite	PATHWAY	ProSitePatterns	Coils	PRINTS	TIGRFAM	PIRSF	SFLD	Hamap
PTB46393.1	IPR029196	NA	NA	NA	NA	NA	NA	PF15251	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB46478.1	NA	NA	NA	NA	SSF144083	NA	G3DSA:1.20.58.340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37389.1	IPR005025	GO:0016491	NA	NA	SSF52218	NA	G3DSA:3.40.50.360	PF03358	NA	NA	NA	NA	NA	TIGR02690	NA	NA	NA
PTB44621.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	SSF48264	NA	G3DSA:1.10.630.10	PF00067	NA	NA	PS00086	NA	PR00463	NA	NA	NA	NA
PTB45916.1	IPR036928		NA	NA	SSF75304	NA	G3DSA:3.90.1300.10	PF01425	NA	KEGG: 00970+6.3.5.7	PS00571	NA	NA	NA	PIRSF001221	NA	NA
PTB44033.1	IPR001765	GO:0004089;GO:0008270	SM00947	NA	SSF53056	NA	G3DSA:3.40.1050.10	PF00484	NA	KEGG: 00910+4.2.1.1|MetaCyc: PWY-241|MetaCyc: PWY-5743|MetaCyc: PWY-5744|MetaCyc: PWY-5789|MetaCyc: PWY-6142|MetaCyc: PWY-7115|MetaCyc: PWY-7117	NA	NA	NA	NA	NA	NA	NA
PTB45063.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	SM00220	PS50011	SSF56112	NA	G3DSA:1.10.510.10	PF00069	mobidb-lite	NA	PS00107;PS00108	NA	NA	NA	NA	NA	NA
PTB38668.1	IPR001206	GO:0016301;GO:0003951	SM00046	PS50146	SSF111331	NA	G3DSA:3.40.50.10330;G3DSA:2.60.200.40	PF00781	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB46141.1	IPR013149	GO:0055114;GO:0016491	SM00829	NA	SSF51735;SSF50129	cd08276	G3DSA:3.90.180.10;G3DSA:3.40.50.720	PF00107;PF08240	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47015.1	IPR003781	GO:0048037;GO:0046912;GO:0003824	SM00881	NA	SSF51735;SSF48256	cd06100	G3DSA:1.10.230.10;G3DSA:3.40.50.720;G3DSA:3.40.50.261;G3DSA:1.10.580.10	PF02629;PF00285;PF00549	NA	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384	PS01216;PS01217	NA	NA	NA	NA	NA	NA
PTB37365.1	IPR002347	NA	NA	NA	SSF51735	NA	G3DSA:3.40.50.720	PF00106	NA	NA	NA	NA	PR00081	NA	NA	NA	NA
PTB46880.1	IPR007758	NA	NA	NA	NA	NA	G3DSA:1.20.5.170	PF05064	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PTB42916.1	IPR019405	GO:0005515	NA	NA	SSF75011	NA	G3DSA:2.130.10.10	PF10282	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45809.1	IPR036322	GO:0005515	SM00726	PS50330;PS50181	SSF50978;SSF81383	NA	G3DSA:2.130.10.10	PF12937	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB41349.1	IPR018800		NA	NA	NA	NA	NA	PF10253	mobidb-lite	Reactome: R-HSA-72163	NA	Coil	NA	NA	NA	NA	NA
PTB38518.1	IPR001810	GO:0005515	SM00256;SM00707	PS50181	SSF81383	NA	G3DSA:1.20.1280.50	PF12937	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB39229.1	IPR007146	NA	NA	NA	NA	NA	NA	PF04000	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB44197.1	IPR002293	GO:0016020;GO:0022857;GO:0055085	NA	NA	NA	NA	G3DSA:1.20.1740.10	PF13520	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB36210.1	IPR002772	GO:0004553;GO:0005975	SM01217;SM00758	PS51820	SSF51445;SSF52279	NA	G3DSA:3.40.50.1700;G3DSA:3.20.20.300;G3DSA:2.60.120.260;G3DSA:2.60.40.10	PF01915;PF00933;PF07691;PF14310	NA	NA	NA	NA	PR00133	NA	NA	NA	NA
PTB42415.1	IPR010791	NA	NA	NA	SSF159245	NA	G3DSA:2.40.370.10	PF07143;PF17186	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB44080.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35664.1	IPR002123	GO:0016746	SM00563	NA	SSF69593	cd07990	NA	PF16076;PF01553	mobidb-lite	KEGG: 00561+2.3.1.51|KEGG: 00564+2.3.1.51|MetaCyc: PWY-5667|MetaCyc: PWY-5981|MetaCyc: PWY-6453|MetaCyc: PWY-7411|MetaCyc: PWY-7417|MetaCyc: PWY-7587|MetaCyc: PWY-7589|MetaCyc: PWY-7782|MetaCyc: PWY-8051|MetaCyc: PWY-8053|MetaCyc: PWY-8055|Reactome: R-HSA-1483166	NA	NA	NA	NA	NA	NA	NA
PTB40489.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB45033.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB46263.1	IPR020821	GO:0003676;GO:0016787;GO:0046872	SM00477;SM00892	NA	SSF54060	cd00091	G3DSA:3.40.570.10	PF01223	NA	NA	PS01070	NA	NA	NA	NA	NA	NA
PTB40010.1	IPR001757	GO:0016021;GO:0000166;GO:0008553;GO:0120029	SM00831	NA	SSF56784;SSF81653;SSF81665	cd02076	G3DSA:3.40.1110.10;G3DSA:3.40.50.1000;G3DSA:2.70.150.10;G3DSA:1.20.1110.10	PF00690;PF00702;PF00122	mobidb-lite	Reactome: R-HSA-936837	PS00154	NA	PR00119;PR00120	TIGR01494;TIGR01647	NA	SFLDF00027;SFLDS00003	NA
PTB41840.1	IPR009939	GO:0016977	NA	NA	NA	NA	NA	PF07335	NA	KEGG: 00520+3.2.1.132	NA	NA	NA	NA	NA	NA	NA
PTB35126.1	IPR002347	NA	NA	NA	SSF51735	NA	G3DSA:3.40.50.720	PF00106	NA	NA	NA	NA	PR00081;PR00080	NA	NA	NA	NA
PTB42516.1	IPR020683	GO:0005515	SM00248	PS50297;PS50088	SSF48403	NA	G3DSA:1.25.40.20	PF12796	mobidb-lite	NA	NA	NA	PR01415	NA	NA	NA	NA
PTB36476.1	IPR032710	NA	NA	NA	SSF54427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB41371.1	IPR001202	GO:0005515;GO:0005634;GO:0018024;GO:0006354;GO:0010452;GO:0046975;GO:0005694;GO:0006355;GO:0034968	SM00317;SM00570;SM00456;SM00508	PS50020;PS50280;PS51215;PS51568;PS50868	SSF47676;SSF51045;SSF82199	cd00201	G3DSA:2.170.270.10;G3DSA:2.20.70.10;G3DSA:1.10.1740.100	PF00397;PF00856;PF08711;PF17907;PF08236	mobidb-lite	Reactome: R-HSA-3214841	PS01159	Coil	NA	NA	NA	NA	NA
PTB37311.1	IPR013057	NA	NA	NA	NA	NA	NA	PF01490	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35119.1	IPR011100	GO:0005576;GO:0045493;GO:0046559	NA	NA	SSF55545;SSF51445	cd02795	G3DSA:3.20.20.80;G3DSA:3.90.1330.10;G3DSA:3.30.379.10	PF07488;PF03648;PF07477	NA	NA	NA	NA	NA	NA	PIRSF029900	NA	NA
PTB44627.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	SSF48264	NA	G3DSA:1.10.630.10	PF00067	NA	NA	PS00086	NA	PR00463;PR00385	NA	NA	NA	NA
PTB42180.1	IPR015421	GO:0003824;GO:0019346;GO:0030170	NA	NA	SSF53383	NA	G3DSA:3.40.640.10	PF01053	NA	Reactome: R-HSA-1614558|Reactome: R-HSA-1614603|Reactome: R-HSA-2408508	PS00868	Coil	NA	NA	NA	NA	NA
PTB38723.1	IPR036249	GO:0016209;GO:0016491;GO:0055114;GO:0045454	NA	PS51352	SSF52833	cd02970	G3DSA:3.40.30.10	PF00578	NA	KEGG: 00480+1.11.1.15|Reactome: R-HSA-3299685	NA	NA	NA	NA	NA	NA	NA
PTB44450.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB38266.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SM00066	PS50048	SSF57701	cd00067	G3DSA:4.10.240.10	PF00172	mobidb-lite	NA	PS00463	NA	NA	NA	NA	NA	NA
PTB44203.1	IPR019257	NA	NA	NA	SSF53335	NA	G3DSA:3.40.50.150	PF10017	NA	NA	NA	NA	NA	TIGR03439	NA	NA	NA
PTB39475.1	IPR038508	GO:0005096	SM00105	PS50115	SSF57863	cd08839	G3DSA:3.30.40.160	PF01412	mobidb-lite	NA	NA	NA	PR00405	NA	NA	NA	NA
PTB42456.1	IPR004827	GO:0003700;GO:0006355;GO:0003677;GO:0005634	NA	NA	SSF57959	NA	G3DSA:1.20.5.170	PF10297	mobidb-lite	NA	PS00036	Coil	NA	NA	NA	NA	NA
PTB40603.1	IPR036188	GO:0016491;GO:0055114;GO:0004791;GO:0005737;GO:0019430	NA	NA	SSF51905	NA	G3DSA:3.50.50.60	PF07992	NA	KEGG: 00450+1.8.1.9	PS00573	NA	PR00469;PR00368	TIGR01292	NA	NA	NA
PTB40960.1	IPR008427	NA	SM00747	NA	NA	NA	NA	PF05730	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB46765.1	IPR014898	NA	NA	NA	NA	NA	NA	PF08790	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB43404.1	IPR017986	GO:0005515	SM00320	PS50294;PS50082	SSF50978	NA	G3DSA:1.25.40.1030;G3DSA:1.20.940.10;G3DSA:2.130.10.10	PF12931;PF07304	mobidb-lite	Reactome: R-HSA-204005	PS00678	NA	NA	NA	NA	NA	NA
PTB35697.1	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0016021	NA	PS50850	SSF103473	cd17356	G3DSA:1.20.1250.20	PF00083	NA	Reactome: R-HSA-189200	PS00216;PS00217	NA	PR00171	TIGR00879	NA	NA	NA
PTB46215.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB41337.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB36175.1	IPR013785	GO:0003824;GO:0010181;GO:0016491;GO:0055114	NA	NA	SSF51395	cd02932	G3DSA:3.20.20.70	PF00724	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB41012.1	IPR021858	NA	NA	NA	NA	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45721.1	IPR022755	GO:0003676;GO:0008270	SM00451	NA	SSF57667	NA	NA	PF12171	mobidb-lite	NA	PS00028	Coil	NA	NA	NA	NA	NA
PTB35259.1	IPR000791	GO:0016021	NA	NA	NA	NA	NA	PF01184	mobidb-lite	NA	PS01114	NA	NA	NA	NA	NA	NA
PTB35760.1	IPR036259	GO:0016021;GO:0022857;GO:0055085;GO:0016020	NA	PS50850	SSF103473	cd17356	G3DSA:1.20.1250.20	PF00083	NA	Reactome: R-HSA-189200	PS00217	NA	NA	TIGR00879	NA	NA	NA
PTB45334.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB36559.1	IPR008568	GO:0016020	SM01415	NA	NA	NA	NA	PF01956	NA	NA	NA	NA	NA	NA	PIRSF010045	NA	NA
PTB44259.1	IPR001452	GO:0005515;GO:0019915	SM00055;SM00326	PS51741;PS50002	SSF50044;SSF103657	cd07651;cd00174	G3DSA:2.30.30.40;G3DSA:1.20.1270.60	PF00018;PF06775;PF00611	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35047.1	IPR015421	GO:0003824;GO:0016831;GO:0019752;GO:0030170	NA	NA	SSF53383	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.170	PF00282	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB40295.1	IPR009939	GO:0016977	NA	NA	NA	NA	NA	PF07335	NA	KEGG: 00520+3.2.1.132	NA	NA	NA	NA	NA	NA	NA
PTB39731.1	IPR007130	GO:0016747	NA	NA	SSF69593	cd07987	NA	PF03982	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB46207.1	IPR003689	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	PS51257	NA	NA	NA	PF02535	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB42051.1	IPR015174	GO:0016070	NA	NA	SSF48371	NA	G3DSA:1.25.40.180	PF09090;PF09088	mobidb-lite	Reactome: R-HSA-111367|Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167200|Reactome: R-HSA-167242|Reactome: R-HSA-191859|Reactome: R-HSA-674695|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72187|Reactome: R-HSA-72203|Reactome: R-HSA-73856|Reactome: R-HSA-77588|Reactome: R-HSA-77595|Reactome: R-HSA-8851708|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA
PTB39032.1	IPR009571	GO:0005886	NA	NA	NA	NA	G3DSA:1.20.140.150	PF06687	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB41369.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35128.1	IPR004695	GO:0016021;GO:0055085;GO:0015140;GO:0071423	NA	NA	NA	cd09317	G3DSA:1.50.10.150	PF03595	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB42558.1	IPR018201	GO:0031177;GO:0016740;GO:0003824;GO:0016491;GO:0055114	SM00823;SM00822;SM00825;SM00826;SM00829;SM00827	PS50075	SSF47336;SSF50129;SSF52151;SSF53901;SSF55048;SSF53335;SSF51735	cd05195;cd00833;cd02440	G3DSA:1.10.1200.10;G3DSA:3.90.180.10;G3DSA:3.10.129.110;G3DSA:3.30.70.3290;G3DSA:3.40.50.150;G3DSA:3.40.50.720;G3DSA:3.40.366.10;G3DSA:3.40.47.10	PF08242;PF13602;PF00109;PF16197;PF14765;PF00698;PF08659;PF02801;PF08240;PF00550	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	PS00606	NA	NA	NA	NA	NA	NA
PTB42090.1	IPR006906		NA	NA	NA	NA	NA	PF04821;PF05029	mobidb-lite	Reactome: R-HSA-5693607	NA	Coil	NA	NA	NA	NA	NA
PTB38703.1	IPR014718	GO:0030246;GO:0003824;GO:0005975;GO:0005576;GO:0016829	NA	NA	SSF74650;SSF48230	NA	G3DSA:2.70.98.10;G3DSA:1.50.10.100	PF02278;PF08124	NA	Reactome: R-HSA-2022923	NA	NA	NA	NA	NA	NA	NA
PTB37456.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SM00066;SM00906	PS50048	SSF57701	cd12148;cd00067	G3DSA:4.10.240.10	PF00172;PF04082	NA	NA	PS00463	NA	NA	NA	NA	NA	NA
PTB42151.1	IPR028889	GO:0016579;GO:0036459	NA	PS50235	SSF54001	cd02662	NA	PF00443	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB41279.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB45656.1	IPR002885	GO:0005515	NA	NA	SSF48452	NA	G3DSA:1.25.40.10	PF01535	mobidb-lite	NA	NA	NA	NA	TIGR00756	NA	NA	NA
PTB35396.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB46003.1	IPR036188	NA	NA	NA	SSF51905	NA	G3DSA:3.50.50.60	PF13738	NA	NA	NA	NA	PR00469	NA	NA	NA	NA
PTB36461.1	IPR008422	GO:0003677;GO:0006355	SM00389	PS50071	SSF46689	cd00086	G3DSA:1.10.10.60	PF05920	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB42230.1	IPR028095	NA	NA	NA	NA	NA	NA	PF14475	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB44130.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB46991.1	IPR016181	NA	NA	NA	SSF55729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB38410.1	IPR008030		NA	NA	SSF51735	NA	G3DSA:3.90.25.10;G3DSA:3.40.50.720	PF05368	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA
PTB44862.1	IPR012942	NA	NA	NA	NA	NA	NA	PF07985	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB41311.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SM00066	PS50048	SSF57701	cd00067	G3DSA:4.10.240.10	PF00172	NA	NA	PS00463	NA	NA	NA	NA	NA	NA
PTB36292.1	IPR002420	GO:0016301;GO:0016303;GO:0046854;GO:0048015	SM00145;SM00142;SM00146	PS51545;PS50290;PS51547	SSF48371;SSF56112;SSF49562	cd00896;cd08397;cd00870	G3DSA:2.60.40.150;G3DSA:1.10.1070.11;G3DSA:3.30.1010.10;G3DSA:1.25.40.70	PF00792;PF00454;PF00613	mobidb-lite	Reactome: R-HSA-1660499	PS00916;PS00915	NA	NA	NA	PIRSF000587	NA	NA
PTB38578.1	IPR016024	GO:0006886;GO:0008536	SM00913;SM01349	PS50077;PS50166	SSF48371	NA	NA	PF03810;PF13513	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45307.1	IPR006597	GO:0005515	SM00671	NA	SSF81901	NA	G3DSA:1.25.40.10	PF08238	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB36361.1	IPR022672	GO:0005524;GO:0005975;GO:0016773;GO:0004396;GO:0006096;GO:0001678;GO:0005536	NA	PS51748	SSF53067	cd00012	G3DSA:3.30.420.40;G3DSA:3.40.367.20	PF00349;PF03727	NA	KEGG: 00010+2.7.1.1|KEGG: 00051+2.7.1.1|KEGG: 00052+2.7.1.1|KEGG: 00500+2.7.1.1|KEGG: 00520+2.7.1.1|KEGG: 00521+2.7.1.1|KEGG: 00524+2.7.1.1|Reactome: R-HSA-70171	PS00378	NA	PR00475	NA	NA	NA	NA
PTB44264.1	IPR001452	GO:0005515;GO:0006886	SM00288;SM00326	PS50002;PS50179;PS50330	SSF50044;SSF48464	cd11805;cd16978	G3DSA:1.25.40.90;G3DSA:2.30.30.40	PF00018;PF00790;PF03127	mobidb-lite	NA	NA	NA	PR00452;PR00499	NA	NA	NA	NA
PTB40332.1	IPR000073	NA	NA	NA	SSF53474	NA	G3DSA:3.40.50.1820	PF00561	NA	NA	NA	NA	PR00111	NA	NA	NA	NA
PTB46902.1	IPR029069		NA	NA	SSF54637	NA	G3DSA:3.10.129.10	PF03061	NA	Reactome: R-HSA-77289	NA	NA	NA	NA	NA	NA	NA
PTB34959.1	IPR036291		NA	NA	SSF51735	cd05251	G3DSA:3.40.50.720;G3DSA:3.90.25.10	PF05368	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA
PTB44155.1	IPR005338	GO:0005524;GO:0006040;GO:0009254;GO:0016773	NA	NA	SSF53067	NA	G3DSA:3.30.420.40	PF03702	NA	MetaCyc: PWY-7883	NA	NA	NA	NA	NA	NA	NA
PTB41095.1	IPR022024	NA	NA	NA	NA	NA	NA	PF12223	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB44220.1	IPR038551	GO:0003735;GO:0005840;GO:0006412	NA	NA	NA	NA	G3DSA:3.30.1740.20	PF01283	mobidb-lite	NA	PS00733	NA	NA	NA	NA	NA	NA
PTB40798.1	IPR029058	GO:0003847;GO:0016042	NA	NA	SSF53474	NA	NA	PF03403	mobidb-lite	KEGG: 00565+3.1.1.47	NA	NA	NA	NA	NA	NA	NA
PTB43732.1	IPR036291	GO:0055114	NA	NA	SSF51735;SSF50129	cd08249	G3DSA:3.40.50.720;G3DSA:3.90.180.10	PF08240	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45601.1	IPR041677	GO:0003968;GO:0003677;GO:0005524;GO:0016787	SM00382	NA	SSF52540	cd18808;cd18044	G3DSA:3.40.50.300	PF13086;PF13087;PF05183;PF04851	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35852.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB40275.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB40816.1	IPR008978	NA	NA	PS51203	SSF49764	cd06467	G3DSA:2.60.40.790	PF04969	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB43796.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB39781.1	IPR011990	GO:0005515;GO:0006396	SM00386	NA	SSF48452	NA	G3DSA:1.25.40.10	PF13181	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB46406.1	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB46332.1	IPR035247	GO:0006479;GO:0008168;GO:0035246	NA	PS51678	SSF53335	NA	G3DSA:3.40.50.150;G3DSA:2.70.160.11	PF17285;PF17286;PF05185	NA	Reactome: R-HSA-191859|Reactome: R-HSA-3214858|Reactome: R-HSA-6804760	NA	NA	NA	NA	PIRSF015894	NA	NA
PTB46010.1	IPR027417	GO:0005524	NA	NA	SSF52540	cd00009	G3DSA:3.40.50.300	PF00004	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB41617.1	IPR008427	NA	SM00747	NA	NA	NA	NA	PF05730	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB43053.1	IPR007149	GO:0006368;GO:0016570;GO:0016593	NA	NA	NA	NA	NA	PF04004	mobidb-lite	Reactome: R-HSA-112382|Reactome: R-HSA-201722|Reactome: R-HSA-674695|Reactome: R-HSA-75955|Reactome: R-HSA-8866654	NA	Coil	NA	NA	NA	NA	NA
PTB36924.1	IPR011990	GO:0005515	SM00028	PS50005;PS50293	SSF48452	NA	G3DSA:1.25.40.10	PF00515;PF13432	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PTB35447.1	IPR036412	NA	SM00577	PS50969	SSF56784	NA	G3DSA:3.40.50.1000	PF03031	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PTB37803.1	IPR006121	GO:0030001;GO:0046872;GO:0000166;GO:0005507;GO:0016021;GO:0006812;GO:0019829	NA	PS50846	SSF81660;SSF55008;SSF56784;SSF81653;SSF81665	cd00371;cd02094	G3DSA:3.30.70.100;G3DSA:3.40.50.1000;G3DSA:3.40.1110.10;G3DSA:2.70.150.20	PF00702;PF00122;PF00403	mobidb-lite	Reactome: R-HSA-936837	PS00154;PS01229	NA	PR00119;PR00942	TIGR00003;TIGR01494;TIGR01525	NA	SFLDG00002;SFLDF00027	NA
PTB42575.1	IPR004136	GO:0018580;GO:0055114;GO:0003824	NA	NA	SSF51412	cd04730	G3DSA:3.20.20.70	PF03060	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB35737.1	IPR013154	GO:0055114;GO:0016491	SM00829	NA	SSF51735;SSF50129	cd08249	G3DSA:3.90.180.10;G3DSA:3.40.50.720	PF08240	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42343.1	IPR001650	GO:0046872;GO:0005524	SM00490;SM00487;SM00184	PS50089;PS51194;PS51192	SSF57850;SSF52540	cd16567;cd18793;cd18008	G3DSA:3.30.40.10;G3DSA:3.40.50.10810	PF00097;PF00176;PF00271	mobidb-lite	NA	PS00518	NA	NA	NA	NA	NA	NA
PTB36814.1	IPR004821	GO:0003824;GO:0009058	NA	NA	SSF52374	cd02174	G3DSA:3.40.50.620	PF01467	mobidb-lite	NA	NA	NA	NA	TIGR00125	NA	NA	NA
PTB38088.1	NA	NA	NA	NA	SSF57850	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
