Gene	MobiDBLite	interpro	SMART	GO	PRINTS	Gene3D	CDD	ProSitePatterns	ProSiteProfiles	SUPERFAMILY	Pfam	Coils	PIRSF	PATHWAY	Hamap	TIGRFAM	SFLD
EGR47308.1	mobidb-lite	IPR023584	NA	GO:0016491;GO:0016620;GO:0055114;GO:0009013;GO:0009450	NA	G3DSA:3.40.309.10;G3DSA:3.30.1360.40;G3DSA:1.10.132.20;G3DSA:3.40.605.10	cd07103	PS00687;PS00070	NA	SSF53720;SSF55194	PF01765;PF00171	Coil	NA	Reactome: R-HSA-5419276	NA	TIGR01780	NA
EGR48899.1	mobidb-lite	IPR006050	NA		NA	G3DSA:1.10.579.10;G3DSA:1.25.40.80;G3DSA:3.40.50.620	NA	NA	PS51645	SSF48173;SSF52425	PF00875;PF03441	NA	NA	Reactome: R-HSA-400253	NA	NA	NA
EGR50976.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR45358.1	mobidb-lite	IPR038271	SM00906	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0016020;GO:0022857;GO:0055085	NA	G3DSA:1.10.4160.10	cd11482;cd12148	NA	NA	NA	PF04082;PF02133	NA	NA	NA	NA	NA	NA
EGR45134.1	mobidb-lite	IPR024388	NA	NA	NA	NA	NA	NA	NA	NA	PF12824	NA	NA	NA	NA	NA	NA
EGR44357.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47482.1	NA	IPR005128	NA	GO:0045151;GO:0047605	NA	G3DSA:3.30.1330.80	cd17299	NA	NA	SSF117856	PF03306	NA	PIRSF001332	KEGG: 00650+4.1.1.5|KEGG: 00660+4.1.1.5|MetaCyc: PWY-5939	NA	TIGR01252	NA
EGR50516.1	NA	IPR036874	SM00947	GO:0004089;GO:0008270	NA	G3DSA:3.40.1050.10	NA	NA	NA	SSF53056	PF00484	NA	NA	KEGG: 00910+4.2.1.1|MetaCyc: PWY-241|MetaCyc: PWY-5743|MetaCyc: PWY-5744|MetaCyc: PWY-5789|MetaCyc: PWY-6142|MetaCyc: PWY-7115|MetaCyc: PWY-7117	NA	NA	NA
EGR52456.1	mobidb-lite	IPR008145	SM00072		NA	G3DSA:3.40.50.300	NA	NA	PS50052	SSF52540	PF00625;PF11957	NA	NA	Reactome: R-HSA-159236|Reactome: R-HSA-72187|Reactome: R-HSA-73856	NA	NA	NA
EGR45391.1	NA	IPR002293	NA	GO:0016020;GO:0022857;GO:0055085;GO:0006865;GO:0016021	NA	G3DSA:1.20.1740.10	NA	PS00218	NA	NA	PF00324	NA	PIRSF006060	NA	NA	NA	NA
EGR49376.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52240.1	NA	IPR000639	NA	GO:0003824	PR00412	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	PF00561	NA	NA	NA	NA	NA	NA
EGR50332.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR51042.1	NA	IPR036188	NA	NA	NA	G3DSA:3.90.660.10;G3DSA:3.50.50.60	NA	NA	NA	SSF51905	PF13450	NA	NA	NA	NA	NA	NA
EGR51123.1	NA	IPR007065	NA		NA	NA	NA	PS01110	NA	NA	PF04982	NA	NA	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-168325|Reactome: R-HSA-1834949|Reactome: R-HSA-203927|Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-5578749|Reactome: R-HSA-5601884|Reactome: R-HSA-5617472|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72203|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-73780|Reactome: R-HSA-73863|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071|Reactome: R-HSA-77075|Reactome: R-HSA-8851708|Reactome: R-HSA-9018519	NA	NA	NA
EGR49743.1	mobidb-lite	IPR001138	SM00066	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	G3DSA:4.10.240.10	cd00067	NA	PS50048	SSF57701	PF00172	NA	NA	NA	NA	NA	NA
EGR52884.1	mobidb-lite	IPR003169	SM00444	GO:0005515	NA	G3DSA:3.30.1490.40	cd00072	NA	PS50829	SSF55277	PF02213	Coil	NA	NA	NA	NA	NA
EGR47532.1	mobidb-lite	IPR012947	SM00863	GO:0004812;GO:0005524;GO:0043039;GO:0003676;GO:0004813;GO:0006419;GO:0000166;GO:0005737	PR00980	G3DSA:3.30.930.10;G3DSA:3.30.54.20;G3DSA:2.40.30.130;G3DSA:3.10.310.40;G3DSA:3.30.980.10	cd00673	NA	PS50860	SSF55681;SSF101353;SSF55186;SSF50447	PF07973;PF01411;PF02272	Coil	NA	KEGG: 00970+6.1.1.7	MF_00036_B	TIGR00344	NA
EGR51128.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50276.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	PS51808	NA	NA	NA	NA	NA	NA	NA	NA
EGR52465.1	NA	IPR001579	NA	GO:0004553;GO:0005975	NA	G3DSA:3.20.20.80	cd02877	PS01095	NA	SSF51445	PF00704	NA	NA	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	NA	NA
EGR47134.1	NA	IPR002293	NA	GO:0016020;GO:0022857;GO:0055085	NA	G3DSA:1.20.1740.10	NA	NA	NA	NA	PF00324	NA	PIRSF006060	NA	NA	NA	NA
EGR49447.1	NA	IPR002594	NA	GO:0000272;GO:0008810;GO:0004553	NA	G3DSA:2.60.120.180	NA	NA	NA	SSF49899	PF01670	NA	NA	MetaCyc: PWY-6717|MetaCyc: PWY-6784	NA	NA	NA
EGR44506.1	NA	IPR013097	SM00886	NA	NA	G3DSA:3.30.70.100	NA	NA	PS51502	SSF54909	PF07876	NA	NA	NA	NA	NA	NA
EGR48499.1	mobidb-lite	IPR003439	SM00382	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	cd18579;cd18580	PS00211	PS50893;PS50929	SSF52540;SSF90123	PF00005;PF00664	NA	NA	NA	NA	NA	NA
EGR51148.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50886.1	mobidb-lite	IPR015898	SM01224	GO:0007186	NA	NA	NA	NA	NA	SSF48670	PF00631	NA	NA	Reactome: R-HSA-418594|Reactome: R-HSA-6814122	NA	NA	NA
EGR52504.1	NA	IPR004045	NA	GO:0005515	NA	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	NA	NA	PS50405;PS50404	SSF52833;SSF47616	PF13417;PF00043	NA	NA	NA	NA	NA	SFLDS00019;SFLDG00358
EGR44441.1	NA	IPR036291	NA	NA	NA	G3DSA:3.40.50.720	cd08948	NA	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA
EGR47700.1	NA	IPR007921	NA	NA	NA	G3DSA:3.90.1720.10	NA	NA	PS50911	SSF54001	PF05257	NA	NA	NA	NA	NA	NA
EGR52830.1	NA	IPR017904	SM00102	GO:0015629;GO:0030042;GO:0003779	PR00006	G3DSA:3.40.20.10	cd11286	NA	PS51263	SSF55753	PF00241	NA	NA	NA	NA	NA	NA
EGR49461.1	mobidb-lite	IPR036283	NA	GO:0000469;GO:0004521;GO:0042274	NA	G3DSA:3.30.40.120;G3DSA:3.40.50.1010	cd09876	NA	NA	SSF144206	PF17146;PF08772	NA	PIRSF037125	Reactome: R-HSA-6791226	NA	NA	NA
EGR46381.1	NA	IPR006140	NA	GO:0051287;GO:0055114;GO:0016616	NA	G3DSA:3.40.50.720;G3DSA:3.30.70.260	cd12176	PS00065;PS00671;PS00670	NA	SSF51735;SSF52283;SSF55021	PF02826;PF00389	NA	NA	NA	NA	NA	NA
EGR47219.1	NA	IPR019189	NA		NA	NA	NA	NA	NA	NA	PF09809	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA
EGR46850.1	mobidb-lite	IPR015310	SM01000	GO:0001671;GO:0051087	NA	G3DSA:3.30.530.20;G3DSA:3.15.10.20	cd08892	NA	NA	SSF103111;SSF55961	PF09229;PF08327	NA	NA	NA	NA	NA	NA
EGR49691.1	NA	IPR001138	SM00066	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0016846	NA	G3DSA:2.170.150.70;G3DSA:4.10.240.10	cd00067	NA	PS50048	SSF51316;SSF57701	PF00172;PF04828;PF11951	NA	NA	KEGG: 00680+4.4.1.22|MetaCyc: PWY-1801	NA	NA	NA
EGR47734.1	NA	IPR011987	NA	GO:0000221;GO:1902600;GO:0046961	NA	G3DSA:1.25.40.150;G3DSA:1.25.10.10	NA	NA	NA	SSF48371	PF11698;PF03224	NA	PIRSF032184	Reactome: R-HSA-1222556|Reactome: R-HSA-167590|Reactome: R-HSA-182218|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-9639288|Reactome: R-HSA-983712	NA	NA	NA
EGR47950.1	NA	IPR018485	NA	GO:0005975;GO:0016773	NA	G3DSA:3.30.420.40;G3DSA:3.30.420.460	cd07782	NA	NA	SSF53067	PF02782;PF00370	NA	NA	NA	NA	TIGR01315	NA
EGR46321.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47599.1	NA	IPR036890	NA	NA	NA	G3DSA:3.30.565.10	cd16926	PS00058	NA	SSF55874	PF13589	NA	NA	NA	NA	NA	NA
EGR46040.1	NA	IPR027417	SM00178;SM00177	GO:0005525	PR00449	G3DSA:3.40.50.300	NA	NA	PS51417	SSF52540	PF00025	NA	NA	NA	NA	NA	NA
EGR47158.1	NA	IPR034193	NA	GO:0004252;GO:0006508	PR00723	G3DSA:3.30.70.80;G3DSA:3.40.50.200	cd04077	PS00136;PS00138;PS00137	NA	SSF54897;SSF52743	PF00082	NA	NA	Reactome: R-HSA-381426|Reactome: R-HSA-8866427|Reactome: R-HSA-8957275|Reactome: R-HSA-8964038	NA	NA	NA
EGR50031.1	NA	IPR005197	NA	GO:0016787	NA	G3DSA:3.20.20.80	cd11577	NA	NA	NA	PF03659	NA	NA	NA	NA	NA	NA
EGR48239.1	NA	IPR001810	NA	GO:0005515	NA	G3DSA:1.20.1280.50	NA	NA	PS50181	SSF81383	PF00646	NA	NA	NA	NA	NA	NA
EGR48785.1	NA	IPR004853	NA	NA	NA	NA	NA	NA	NA	SSF103481	PF03151	NA	NA	NA	NA	NA	NA
EGR50194.1	mobidb-lite	IPR013099	NA	GO:0005267;GO:0016020;GO:0071805	PR01333	G3DSA:1.10.287.70	NA	NA	NA	SSF81324	PF07885	NA	NA	Reactome: R-HSA-5576886	NA	NA	NA
EGR48815.1	mobidb-lite	IPR000717	SM00088;SM00753	GO:0003723;GO:0003743;GO:0005852;GO:0006413;GO:0031369	NA	G3DSA:1.10.10.10	NA	NA	PS50250	SSF46785	PF01399;PF05470	Coil	NA	NA	MF_03002	NA	NA
EGR52428.1	NA	IPR011701	NA	GO:0055085	NA	G3DSA:1.20.1250.20	cd17323	NA	PS50850	SSF103473	PF07690	NA	NA	NA	NA	NA	NA
EGR47625.1	NA	IPR008921	SM00382	GO:0003677;GO:0006260;GO:0005524	NA	G3DSA:1.20.272.10;G3DSA:3.40.50.300;G3DSA:1.10.8.60	cd18140;cd00009	NA	NA	SSF48019;SSF52540	PF08542;PF00004	NA	NA	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091	NA	NA	NA
EGR51528.1	NA	IPR002067	NA	GO:0005347;GO:0055085	PR00926	G3DSA:1.50.40.10	NA	NA	PS50920	SSF103506	PF00153	NA	NA	NA	NA	NA	NA
EGR52202.1	NA	IPR016163	NA	GO:0016491;GO:0016620;GO:0055114;GO:0004491	NA	G3DSA:3.40.309.10;G3DSA:3.40.605.10	cd07085	PS00070	NA	SSF53720	PF00171	NA	NA	KEGG: 00280+1.2.1.27|KEGG: 00640+1.2.1.27|MetaCyc: PWY-5642|Reactome: R-HSA-70895	NA	TIGR01722	NA
EGR46761.1	NA	IPR029048	NA		PR00301	G3DSA:3.30.420.40;G3DSA:1.20.1270.10;G3DSA:2.60.34.10;G3DSA:3.90.640.10	cd10241	PS00329;PS00297;PS01036	NA	SSF53067;SSF100920;SSF100934	PF00012	NA	NA	Reactome: R-HSA-3371453	NA	NA	NA
EGR44459.1	NA	IPR020904	NA	GO:0016491	PR00081	G3DSA:3.40.50.720	cd05233	PS00061	NA	SSF51735	PF13561	NA	NA	NA	NA	NA	NA
EGR47542.1	NA	IPR001509	NA	GO:0003824;GO:0050662	NA	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	PF01370;PF13460	NA	NA	NA	NA	NA	NA
EGR50157.1	NA	IPR036874	NA	GO:0004089;GO:0008270	NA	G3DSA:3.40.1050.10	NA	NA	NA	SSF53056	NA	NA	NA	NA	NA	NA	NA
EGR52910.1	mobidb-lite	IPR013083	SM00744	GO:0008270	NA	G3DSA:3.30.40.10	NA	NA	PS51292	SSF57850	NA	NA	NA	MetaCyc: PWY-7511	NA	NA	NA
EGR44371.1	NA	IPR002305	NA	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004830;GO:0006436	PR01039	G3DSA:1.10.240.10;G3DSA:3.40.50.620	cd00806	PS00178	NA	SSF52374	PF00579	NA	NA	KEGG: 00970+6.1.1.2|Reactome: R-HSA-379726	MF_00140_B	TIGR00233	NA
EGR51637.1	NA	IPR001736	SM00155	GO:0003824;GO:0004630;GO:0006654;GO:0048017	NA	G3DSA:3.30.870.10	cd09141;cd09138	NA	PS50035	SSF56024	PF00614	NA	PIRSF009376	Reactome: R-HSA-1483148	NA	NA	NA
EGR47375.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR52298.1	NA	IPR001126	NA	GO:0006281;GO:0003684	NA	G3DSA:2.30.40.20;G3DSA:3.30.70.270	NA	NA	PS50173	SSF56672	PF00817;PF11799	NA	NA	Reactome: R-HSA-5656169	NA	NA	NA
EGR45093.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR49006.1	mobidb-lite	IPR004127	NA	GO:0006457;GO:0016272	NA	G3DSA:1.10.287.370	cd00584	NA	NA	SSF46579	PF02996	Coil	PIRSF016396	Reactome: R-HSA-389957	NA	NA	NA
EGR44871.1	NA	IPR021109	NA	GO:0004190;GO:0006508	PR00792	G3DSA:2.40.70.10	NA	NA	PS51767	SSF50630	PF00026	NA	NA	NA	NA	NA	NA
