Gene	interpro	GO	Pfam	SUPERFAMILY	Gene3D	ProSitePatterns	MobiDBLite	ProSiteProfiles	Coils	PRINTS	PATHWAY	CDD	Hamap	SMART	TIGRFAM	PIRSF	SFLD
RFU80494.1	IPR025337	GO:0016491	PF14027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80761.1	IPR001547	GO:0004553;GO:0005975;GO:0016021;GO:0022857;GO:0055085	PF00150;PF18564;PF00083	SSF103473;SSF51445	G3DSA:1.20.1250.20	PS00659	NA	NA	NA	NA	NA	cd17315	NA	NA	NA	NA	NA
RFU78128.1	IPR000760	GO:0046855;GO:0006790;GO:0008441;GO:0046854	PF00459	SSF56655	G3DSA:3.40.190.80;G3DSA:3.30.540.10	PS00629;PS00630	NA	NA	NA	NA	KEGG: 00920+3.1.3.7	cd01517	NA	NA	TIGR01330	NA	NA
RFU82069.1	IPR000182	GO:0008080	NA	SSF55729	G3DSA:3.40.630.30	NA	NA	PS51186	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU74897.1	IPR011043	NA	NA	SSF50965	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79628.1	IPR013149	GO:0055114;GO:0008270;GO:0016491	PF00107;PF08240	SSF51735;SSF50129	G3DSA:3.40.50.720;G3DSA:3.90.180.10	PS00059	NA	NA	NA	NA	Reactome: R-HSA-71384	cd05283	NA	SM00829	NA	NA	NA
RFU80422.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU77287.1	IPR004507	GO:0003824	PF02441	SSF52507	G3DSA:3.40.50.1950	NA	NA	NA	NA	NA	Reactome: R-HSA-196783	NA	MF_01984	NA	TIGR00421	NA	NA
RFU74664.1	IPR029030	NA	PF00656	SSF52129	G3DSA:3.40.50.12660	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78787.1	IPR025792	GO:0009019;GO:0030488	PF02475	SSF53335	G3DSA:3.30.300.110	NA	NA	PS51684	NA	NA	MetaCyc: PWY-6829|MetaCyc: PWY-7285|MetaCyc: PWY-7286|Reactome: R-HSA-6782861	NA	MF_03152	NA	NA	NA	NA
RFU76966.1	IPR001509	GO:0003824;GO:0050662	PF01370	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72438.1	IPR032450	GO:0003677	PF16496	SSF52113	G3DSA:3.40.50.10190	NA	mobidb-lite	PS50172	Coil	PR00929	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	cd17716	NA	NA	NA	NA	NA
RFU75320.1	IPR004000	NA	PF00022	SSF53067	NA	PS00432	NA	NA	NA	NA	NA	cd00012	NA	SM00268	NA	NA	NA
RFU75977.1	IPR029063	NA	PF13489	SSF53335	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA
RFU80169.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA
RFU81792.1	IPR014782	GO:0008237;GO:0008270;GO:0006508	PF17900;PF01433;PF11838	SSF55486;SSF63737	G3DSA:1.10.390.60;G3DSA:2.60.40.1910;G3DSA:1.25.50.20;G3DSA:2.60.40.1730	NA	NA	NA	NA	PR00756	NA	cd09601	NA	NA	NA	NA	NA
RFU81691.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74986.1	IPR001680	GO:0005515	PF12937;PF00400	SSF81383;SSF50978	G3DSA:2.130.10.10	PS00678	mobidb-lite	PS50082;PS50181;PS50294	NA	PR00320	NA	cd00200	NA	SM00320;SM00256	NA	NA	NA
RFU77853.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73161.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80191.1	IPR021858	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU71887.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73290.1	IPR032629	NA	PF16213;PF12783;PF16206	SSF48371	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU74223.1	IPR007828	GO:0005506;GO:0005737;GO:0019310;GO:0050113;GO:0055114	PF05153	SSF109604	NA	NA	NA	NA	NA	NA	KEGG: 00053+1.13.99.1|KEGG: 00562+1.13.99.1|MetaCyc: PWY-4841|Reactome: R-HSA-1855183	NA	NA	NA	NA	NA	NA
RFU82019.1	IPR005814	GO:0008483;GO:0030170;GO:0006525;GO:0003824	PF00202	SSF53383	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	PS00600	NA	NA	NA	NA	NA	cd00610	MF_01107	NA	TIGR00707	PIRSF000521	NA
RFU75286.1	IPR038401	GO:0003684;GO:0006281;GO:0016779;GO:0042276	PF00817;PF16727;PF16589;PF14377;PF11799	SSF52113;SSF100879;SSF56672	G3DSA:1.20.58.1280;G3DSA:3.30.1490.100;G3DSA:1.10.150.20;G3DSA:2.30.40.20;G3DSA:3.40.50.10190;G3DSA:3.30.70.270	NA	mobidb-lite	PS50172;PS50173	NA	NA	Reactome: R-HSA-110312|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169	cd17719;cd01701	NA	SM00292	NA	PIRSF036573	NA
RFU74247.1	IPR013057	NA	PF01490	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75627.1	IPR028942	NA	PF15612;PF02791;PF10537;PF15613	NA	NA	NA	mobidb-lite	PS51136;PS50827	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU72173.1	IPR017986	GO:0005515	PF12234	SSF50978	G3DSA:2.130.10.10	NA	NA	PS50294;PS50082	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU74774.1	IPR005336	GO:0005743;GO:0006850	PF03650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81447.1	IPR013083	GO:0046872	PF01363	SSF57850;SSF57903	G3DSA:3.30.40.10	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SM00064	NA	NA	NA
RFU76951.1	IPR019410	NA	PF10294	NA	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73774.1	IPR016151	GO:0005524;GO:0006298;GO:0030983	PF00488;PF05192;PF01624;PF05188;PF05190	SSF55271;SSF52540;SSF48334	G3DSA:1.10.1420.10;G3DSA:3.40.1170.10;G3DSA:3.40.50.300;G3DSA:3.30.420.110	PS00486	mobidb-lite	NA	Coil	NA	Reactome: R-HSA-5632928	NA	NA	SM00534;SM00533	NA	PIRSF037677	NA
RFU80175.1	IPR013022	NA	PF01261	SSF51658	G3DSA:3.20.20.150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74942.1	IPR029058	NA	NA	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76711.1	IPR012340	GO:0000178;GO:0003723	PF10447;PF14382	SSF50249;SSF110324	G3DSA:2.40.50.100;G3DSA:2.40.50.140	NA	NA	NA	NA	NA	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	cd05791	NA	SM00316	NA	NA	NA
RFU77674.1	IPR005320	GO:0006508;GO:0008236	PF03575	SSF52317	G3DSA:3.40.50.880	NA	NA	NA	NA	NA	NA	cd03145	NA	NA	NA	NA	NA
RFU76230.1	IPR029057	GO:0009116;GO:0000287;GO:0004749;GO:0009165	PF13793;PF14572	SSF53271	G3DSA:3.40.50.2020	NA	mobidb-lite	NA	NA	NA	KEGG: 00030+2.7.6.1|KEGG: 00230+2.7.6.1	cd06223	NA	SM01400	TIGR01251	NA	NA
RFU75137.1	IPR036291	NA	PF00106	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	PR00081	NA	cd05233	NA	SM00822	NA	NA	NA
RFU72297.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	PF04082;PF00172	SSF57701	G3DSA:4.10.240.10	NA	mobidb-lite	PS50048	Coil	NA	NA	cd00067;cd12148	NA	SM00906	NA	NA	NA
RFU79936.1	IPR035969	NA	PF00566	SSF47923	G3DSA:1.10.472.80	NA	mobidb-lite	PS50086	Coil	NA	NA	cd14614	NA	SM00164	NA	NA	NA
RFU72657.1	IPR004837	GO:0016021;GO:0055085	PF01699	NA	G3DSA:1.20.1420.30;G3DSA:1.20.58.1130	NA	mobidb-lite	NA	NA	NA	Reactome: R-HSA-425561	NA	NA	NA	NA	NA	NA
RFU82191.1	IPR023346	NA	NA	SSF53955	G3DSA:1.10.530.10	NA	NA	NA	NA	NA	NA	cd16891	NA	NA	NA	NA	NA
RFU73122.1	IPR017905	GO:0016972;GO:0055114	PF04777	SSF69000	G3DSA:1.20.120.310	NA	mobidb-lite	PS51324	NA	NA	MetaCyc: PWY-7533	NA	NA	NA	NA	NA	NA
RFU73362.1	IPR019002	NA	PF09420	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78647.1	IPR013078	NA	PF00300	SSF53254	G3DSA:3.40.50.1240	NA	NA	NA	NA	NA	NA	cd07067	NA	SM00855	NA	NA	NA
RFU75055.1	IPR008928	GO:0003824;GO:0030246	PF07971;PF17678	SSF48208	G3DSA:1.20.1050.60;G3DSA:3.30.2080.10;G3DSA:2.70.98.10;G3DSA:1.20.1610.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74222.1	IPR005378	GO:0015031;GO:0030906;GO:0042147	PF03635	NA	G3DSA:1.25.40.660	NA	mobidb-lite	NA	Coil	NA	Reactome: R-HSA-3238698	NA	NA	NA	NA	PIRSF009375	NA
RFU81209.1	IPR010117	GO:0009058	PF00117;PF00425;PF04715	SSF56322;SSF52317	G3DSA:3.60.120.10;G3DSA:3.40.50.880	NA	mobidb-lite	PS51273	NA	PR00095	KEGG: 00790+2.6.1.85|MetaCyc: PWY-6543|MetaCyc: PWY-8032	cd01743	NA	NA	TIGR01823	NA	NA
RFU76529.1	IPR022233		PF12584	NA	NA	NA	mobidb-lite	NA	NA	NA	Reactome: R-HSA-204005|Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA
RFU79960.1	IPR000953	GO:0005524	PF13907;PF00271;PF00176;PF00385	SSF54160;SSF52540	G3DSA:1.10.10.60;G3DSA:2.40.50.40;G3DSA:3.40.50.10810;G3DSA:3.40.50.300	NA	mobidb-lite	PS50013;PS51192;PS51194	Coil	NA	NA	cd17993;cd18665;cd18793;cd18659	NA	SM00298;SM00487;SM01176;SM00490	NA	NA	NA
RFU80866.1	IPR004203	GO:0004129	PF02936	SSF81406	G3DSA:1.10.442.10	NA	mobidb-lite	NA	NA	NA	NA	cd00922	NA	NA	NA	NA	NA
RFU74909.1	IPR020846	GO:0055085	PF07690	SSF103473	G3DSA:1.20.1250.20	NA	NA	PS50850	NA	NA	NA	cd17323	NA	NA	NA	NA	NA
RFU74747.1	IPR020568		PF01138	SSF54211;SSF55666	G3DSA:3.30.230.70	NA	NA	NA	NA	NA	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	cd11372	NA	NA	NA	NA	NA
RFU76033.1	IPR007255	GO:0017119	PF04124	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438|Reactome: R-HSA-6811440	NA	NA	NA	NA	NA	NA
RFU73097.1	IPR004364	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004816;GO:0006421;GO:0003676	PF00152;PF01336	SSF50249;SSF55681	G3DSA:2.40.50.140;G3DSA:3.30.930.10	NA	mobidb-lite	PS50862	NA	PR01042	KEGG: 00970+6.1.1.22	cd04318;cd00776	NA	NA	TIGR00457	NA	NA
RFU74764.1	IPR024711	GO:0004096;GO:0006979;GO:0020037;GO:0055114	PF00199	SSF56634	G3DSA:2.40.180.10	PS00437	NA	PS51402	NA	PR00067	KEGG: 00380+1.11.1.6|KEGG: 00630+1.11.1.6|Reactome: R-HSA-3299685|Reactome: R-HSA-6798695|Reactome: R-HSA-9033241|Reactome: R-HSA-9615017	NA	NA	SM01060	NA	PIRSF038928	NA
RFU75984.1	IPR007248	GO:0016021	PF04117	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80544.1	IPR013057	NA	PF01490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79118.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72312.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	NA	NA	NA	NA	NA	NA	NA	NA	cd12148	NA	SM00906	NA	NA	NA
RFU79246.1	IPR016024	GO:0005515	PF02259;PF00454;PF02260	SSF48371;SSF56112	NA	NA	mobidb-lite	PS50290;PS51190;PS51189	Coil	NA	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	cd05163	NA	SM01343;SM00146	NA	NA	NA
RFU72619.1	IPR005556	NA	PF03856	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81527.1	IPR010730	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74376.1	IPR029018	GO:0004563;GO:0005975;GO:0004553	PF00728;PF14845	SSF51445;SSF55545	G3DSA:3.30.379.10;G3DSA:3.20.20.80	NA	NA	NA	NA	PR00738	KEGG: 00511+3.2.1.52|KEGG: 00513+3.2.1.52|KEGG: 00520+3.2.1.52|KEGG: 00531+3.2.1.52|KEGG: 00603+3.2.1.52|KEGG: 00604+3.2.1.52|MetaCyc: PWY-6902|MetaCyc: PWY-7822|MetaCyc: PWY-7883|Reactome: R-HSA-1660662|Reactome: R-HSA-2022857|Reactome: R-HSA-2024101|Reactome: R-HSA-2160916	cd06562	NA	NA	NA	PIRSF001093	NA
RFU73231.1	IPR021765	GO:0043386	PF11807	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78594.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79164.1	IPR000399	GO:0000287;GO:0030976;GO:0003824;GO:0003984;GO:0009082;GO:0050660	PF02775;PF00205;PF02776	SSF52467;SSF52518	G3DSA:3.40.50.970;G3DSA:3.40.50.1220	PS00187	mobidb-lite	NA	NA	NA	KEGG: 00290+2.2.1.6|KEGG: 00650+2.2.1.6|KEGG: 00660+2.2.1.6|KEGG: 00770+2.2.1.6|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-5938|MetaCyc: PWY-5939|MetaCyc: PWY-6389|MetaCyc: PWY-7111	cd07035;cd02015	NA	NA	TIGR00118	NA	NA
RFU71788.1	IPR011858	GO:0000105;GO:0003949;GO:0003824	PF00977	SSF51366	G3DSA:3.20.20.70	NA	NA	NA	NA	NA	KEGG: 00340+5.3.1.16	cd04723	NA	NA	TIGR02129	NA	NA
RFU81367.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	PF04082	SSF57701	G3DSA:4.10.240.10	NA	mobidb-lite	NA	NA	NA	NA	cd12148;cd00067	NA	SM00906	NA	NA	NA
RFU76452.1	IPR002347	GO:0016491	PF00106	SSF51735	G3DSA:3.40.50.720	PS00061	NA	NA	NA	PR00081;PR00080	NA	cd05374	NA	NA	NA	NA	NA
RFU74261.1	IPR003788		PF02636	SSF53335	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA
RFU76910.1	IPR016024		PF12333	SSF48371	NA	NA	mobidb-lite	NA	NA	NA	Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA
RFU73761.1	NA	NA	PF13883	SSF50475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76510.1	IPR007400	NA	PF04303	SSF54506	G3DSA:3.10.310.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81039.1	IPR036291	NA	NA	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU82094.1	IPR001374	GO:0003676	PF01424;PF00076	SSF54928;SSF82708	G3DSA:3.30.70.330;G3DSA:3.30.1370.50	NA	mobidb-lite	PS51061;PS50102	Coil	NA	NA	cd12253	NA	SM00360	NA	NA	NA
RFU78007.1	IPR002347	GO:0016491	PF13561	SSF51735	G3DSA:3.40.50.720	PS00061	NA	NA	NA	PR00081	NA	cd05233	NA	NA	NA	NA	NA
RFU77176.1	NA	NA	NA	NA	G3DSA:1.10.357.150	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU73776.1	IPR023214	GO:0004615;GO:0009298	PF03332	SSF56784	G3DSA:3.40.50.1000;G3DSA:3.30.1240.20	NA	NA	NA	NA	NA	KEGG: 00051+5.4.2.8|KEGG: 00520+5.4.2.8|MetaCyc: PWY-5659|MetaCyc: PWY-7456|MetaCyc: PWY-7586|MetaCyc: PWY-882|Reactome: R-HSA-446205	cd02585	NA	NA	TIGR01484	NA	SFLDS00003;SFLDF00445
RFU78708.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72635.1	IPR000254	GO:0005576;GO:0005975;GO:0030248;GO:0004553	PF00734;PF00150	SSF57180;SSF51445	G3DSA:3.20.20.80	PS00562;PS00659	NA	PS51164	NA	NA	NA	NA	NA	SM00236	NA	NA	NA
RFU76302.1	IPR036188	GO:0071949	PF01494	SSF51905;SSF54373	G3DSA:3.30.9.30;G3DSA:3.50.50.60	NA	NA	NA	Coil	PR00420	NA	NA	NA	NA	NA	NA	NA
RFU75212.1	IPR036019	NA	PF01741	SSF81330	G3DSA:1.10.1200.120	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76305.1	NA	NA	PF13343	SSF53850	G3DSA:3.40.190.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU77172.1	IPR007863	GO:0003824;GO:0046872;GO:0006508	PF05193;PF00675;PF08367	SSF63411	G3DSA:3.30.830.10	NA	NA	NA	Coil	NA	Reactome: R-HSA-1268020	NA	NA	SM01264	NA	NA	NA
RFU73499.1	IPR036291	GO:0055114;GO:0016491	PF08240;PF13602	SSF51735;SSF50129	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	cd05289	NA	SM00829	NA	NA	NA
RFU80691.1	IPR023631		PF01425	SSF75304	G3DSA:3.90.1300.10	NA	NA	NA	NA	NA	KEGG: 00970+6.3.5.7	NA	NA	NA	NA	NA	NA
RFU72993.1	IPR024964	GO:0005515	PF10607	NA	NA	NA	NA	PS50896;PS50897;PS51867	NA	NA	NA	NA	NA	SM00667;SM00668;SM00757	NA	NA	NA
RFU77797.1	IPR001424	GO:0006801;GO:0046872;GO:0004784;GO:0055114	PF00080	SSF49329	G3DSA:2.60.40.200	PS00087	NA	NA	NA	PR00068	MetaCyc: PWY-6854|Reactome: R-HSA-3299685	cd00305	NA	NA	NA	NA	NA
RFU76221.1	IPR041489	GO:0005515	PF17820;PF18265	SSF50156	G3DSA:2.30.42.10	NA	mobidb-lite	NA	Coil	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	cd00136	NA	NA	NA	NA	NA
RFU75728.1	IPR041938	GO:0005515;GO:0034770;GO:0042799	PF00856	SSF82199	G3DSA:1.10.10.1700;G3DSA:2.170.270.10	NA	mobidb-lite	PS50280;PS51567	NA	NA	Reactome: R-HSA-3214841	NA	NA	SM00317	NA	NA	NA
