Gene	interpro	GO	SUPERFAMILY	PATHWAY	SMART	Pfam	Gene3D	MobiDBLite	Coils	CDD	ProSiteProfiles	PIRSF	ProSitePatterns	PRINTS	Hamap	TIGRFAM	SFLD
PTB78768.1	IPR036167	GO:0006388;GO:0000213;GO:0000214;GO:0003676;GO:0004518	SSF53032	MetaCyc: PWY-6689|MetaCyc: PWY-7803|Reactome: R-HSA-6784531	NA	PF01974	G3DSA:3.40.1350.10	mobidb-lite	Coil	NA	NA	PIRSF011789	NA	NA	NA	NA	NA
PTB72378.1	IPR029058	NA	SSF53474	NA	NA	PF08538	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73043.1	IPR036430	GO:0003723;GO:0033897	SSF55895	Reactome: R-HSA-6798695	NA	PF00445	G3DSA:3.90.730.10	mobidb-lite	NA	cd01061	NA	NA	PS00530;PS00531	NA	NA	NA	NA
PTB76334.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB74117.1	IPR007180	GO:0005634	NA	Reactome: R-HSA-72163|Reactome: R-HSA-72165	SM00581	PF04037;PF04046	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB78679.1	IPR042098	GO:0016491;GO:0055114	SSF51197	Reactome: R-HSA-71262	NA	PF02668	G3DSA:3.60.130.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79142.1	IPR007529	NA	SSF144232	NA	NA	PF04438	G3DSA:3.30.60.190	mobidb-lite	NA	NA	PS51083	NA	NA	NA	NA	NA	NA
PTB80372.1	NA	NA	NA	NA	NA	NA	G3DSA:1.25.40.570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81470.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	NA	SM00066	PF11951;PF00172	G3DSA:4.10.240.10	mobidb-lite	NA	cd00067	PS50048	NA	PS00463	NA	NA	NA	NA
PTB79362.1	IPR036296	GO:0006511	SSF81382;SSF54695	Reactome: R-HSA-1169091|Reactome: R-HSA-1170546|Reactome: R-HSA-174113|Reactome: R-HSA-180534|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-2122947|Reactome: R-HSA-2565942|Reactome: R-HSA-2644606|Reactome: R-HSA-2644607|Reactome: R-HSA-2871837|Reactome: R-HSA-2894862|Reactome: R-HSA-400253|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5676590|Reactome: R-HSA-5684264|Reactome: R-HSA-68949|Reactome: R-HSA-69231|Reactome: R-HSA-8854050|Reactome: R-HSA-8939902|Reactome: R-HSA-8951664|Reactome: R-HSA-9020702|Reactome: R-HSA-917937|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	SM00512	PF01466;PF03931	G3DSA:3.30.710.10	NA	NA	cd18322	NA	PIRSF028729	NA	NA	NA	NA	NA
PTB80191.1	IPR013857		SSF49785	Reactome: R-HSA-6799198	NA	PF08547	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80565.1	IPR005829	GO:0016021;GO:0022857;GO:0055085	SSF103473	NA	NA	PF07690	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	mobidb-lite	NA	cd17502	PS50850	NA	PS00216	NA	NA	NA	NA
PTB71250.1	IPR013097	NA	SSF54909	NA	SM00886	PF07876	G3DSA:3.30.70.100	NA	NA	NA	PS51502	NA	NA	NA	NA	NA	NA
PTB81440.1	IPR002893	GO:0005515	SSF144232;SSF82199	NA	NA	PF01753;PF00856	G3DSA:3.30.70.3410;G3DSA:3.30.60.180;G3DSA:2.170.270.10	NA	Coil	NA	PS50865;PS50280	NA	NA	NA	NA	NA	NA
PTB78512.1	IPR021589	NA	NA	NA	NA	PF11500	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB81303.1	IPR001680	GO:0005515	SSF50978	NA	SM00320	NA	G3DSA:2.130.10.10	mobidb-lite	Coil	NA	PS50082;PS50294	NA	NA	NA	NA	NA	NA
PTB78274.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73262.1	IPR008253	GO:0016020	NA	NA	NA	PF01284	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71927.1	IPR007741		SSF52833	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	SM00916	PF05047	G3DSA:3.40.30.10	NA	NA	NA	NA	PIRSF005822	NA	NA	NA	NA	NA
PTB79072.1	IPR020846	GO:0055085	SSF103473	NA	NA	PF07690	G3DSA:1.20.1250.20	mobidb-lite	NA	cd17333	PS50850	NA	NA	NA	NA	NA	NA
PTB80392.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76278.1	IPR036259	NA	SSF103473	NA	NA	NA	G3DSA:1.20.1250.20	NA	NA	cd17327	NA	NA	NA	NA	NA	NA	NA
PTB71460.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SSF57701	NA	SM00066	PF00172;PF04082	G3DSA:4.10.240.10	mobidb-lite	NA	cd12148;cd00067	PS50048	NA	PS00463	NA	NA	NA	NA
PTB74496.1	IPR005334	NA	NA	NA	NA	PF03645	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77799.1	IPR001083	GO:0003677;GO:0003700;GO:0005507;GO:0006355;GO:0042025;GO:0005634	SSF57879	NA	SM00412;SM01090	PF00649	G3DSA:3.90.430.10	mobidb-lite	NA	NA	PS50073	NA	PS01119	PR00617	NA	NA	NA
PTB74144.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73064.1	IPR029039	GO:0010181;GO:0016491;GO:0055114;GO:0003958	SSF52218;SSF63380;SSF52343	Reactome: R-HSA-2564830	NA	PF00258;PF00175;PF00667	G3DSA:1.20.990.10;G3DSA:3.40.50.80;G3DSA:2.40.30.10;G3DSA:3.40.50.360	NA	NA	NA	PS50902;PS51384	NA	NA	PR00371;PR00369	MF_03178	NA	NA
PTB72240.1	IPR003615	NA	NA	NA	NA	PF13391	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB74003.1	IPR036322	GO:0005515	SSF50978	NA	SM00320	PF12894;PF00400	G3DSA:2.130.10.10	mobidb-lite	NA	cd00200	PS50082;PS50294	NA	NA	NA	NA	NA	NA
PTB74371.1	IPR003959	GO:0005524;GO:0003677;GO:0006260	SSF48019;SSF52540	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091	SM00382	PF00004;PF08542	G3DSA:3.40.50.300;G3DSA:1.10.8.60;G3DSA:1.20.272.10	mobidb-lite	NA	cd18140;cd00009	NA	NA	NA	NA	NA	NA	NA
PTB75423.1	IPR002867	NA	SSF57850	NA	NA	PF01485	G3DSA:1.20.120.1750;G3DSA:3.30.40.10	NA	NA	NA	PS51873	NA	NA	NA	NA	NA	NA
PTB71102.1	IPR007461	NA	NA	NA	NA	PF04366	NA	mobidb-lite	NA	cd11524	NA	NA	NA	NA	NA	NA	NA
PTB80050.1	IPR008271	GO:0004672;GO:0006468;GO:0005524	SSF56112	NA	SM00220	PF00069	G3DSA:1.10.510.10	mobidb-lite	NA	NA	PS50011	NA	PS00108	NA	NA	NA	NA
PTB81886.1	IPR022190	NA	NA	NA	NA	PF12511	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB73822.1	IPR036259	GO:0055085	SSF103473	NA	NA	PF07690	G3DSA:1.20.1250.20	mobidb-lite	NA	cd17333	PS50850	NA	NA	NA	NA	NA	NA
PTB78333.1	IPR002110	GO:0005515	SSF48403	NA	SM00248	PF12796;PF13637	G3DSA:1.25.40.20	NA	NA	NA	PS50088;PS50297	NA	NA	PR01415	NA	NA	NA
PTB76938.1	IPR000772	NA	SSF50370	NA	NA	PF14200	G3DSA:2.80.10.50	NA	NA	cd00161	PS50231	NA	NA	NA	NA	NA	NA
PTB78911.1	IPR022398	GO:0004252;GO:0006508	SSF54897;SSF52743	Reactome: R-HSA-381426|Reactome: R-HSA-8866427|Reactome: R-HSA-8957275|Reactome: R-HSA-8964038	NA	PF05922;PF00082	G3DSA:3.40.50.200;G3DSA:3.30.70.80	NA	NA	cd04077	NA	NA	PS00137;PS00136;PS00138	PR00723	NA	NA	NA
PTB76749.1	IPR012471	NA	NA	NA	NA	PF07956	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76039.1	IPR026859	GO:0017022	NA	NA	NA	PF12632	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB80047.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77996.1	IPR014729	GO:0003824;GO:0009058	SSF52374	NA	NA	PF01467	G3DSA:3.40.50.620	mobidb-lite	NA	cd02174	NA	NA	NA	NA	NA	TIGR00125	NA
PTB72817.1	IPR032710	NA	SSF54427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71838.1	IPR036938	NA	SSF48317	NA	SM00014	PF01569	G3DSA:1.20.144.10	NA	NA	cd03390	NA	NA	NA	NA	NA	NA	NA
PTB77662.1	IPR017805	GO:0008168	SSF53335	NA	NA	PF10017	G3DSA:3.40.50.150	NA	NA	NA	NA	PIRSF018005	NA	NA	NA	TIGR03439	NA
PTB72756.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73193.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78407.1	IPR024771	GO:0003676	SSF82708	NA	NA	PF12752;PF01424	G3DSA:3.30.1370.50	mobidb-lite	NA	cd02642	PS51061;PS51673	NA	NA	NA	NA	NA	NA
PTB73556.1	IPR003788		SSF53335	Reactome: R-HSA-6799198	NA	PF02636	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76608.1	IPR029065	GO:0050032	SSF51604;SSF54826	KEGG: 00051+4.2.1.90|MetaCyc: PWY-6713|MetaCyc: PWY-6714	SM00922	PF13378;PF02746	G3DSA:3.20.20.120;G3DSA:3.30.390.10	mobidb-lite	NA	cd03327	NA	NA	NA	NA	NA	NA	SFLDF00006;SFLDS00001
PTB81161.1	IPR016181	GO:0004402;GO:0005634;GO:0006348;GO:0016573;GO:0006325	SSF55729	Reactome: R-HSA-3214847	NA	PF10394	G3DSA:3.90.360.10;G3DSA:3.40.630.30	mobidb-lite	NA	NA	NA	PIRSF038084	NA	NA	NA	NA	NA
PTB73600.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79321.1	IPR006939	GO:0000228;GO:0006338	NA	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	PF04855	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79381.1	IPR011989	NA	SSF48371	NA	NA	NA	G3DSA:1.25.10.10	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75926.1	IPR036188	NA	SSF51971	NA	NA	NA	G3DSA:3.50.50.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77129.1	IPR029058	NA	SSF53474	NA	NA	PF00561	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	PR00111	NA	NA	NA
PTB72069.1	IPR038286	GO:0016301;GO:0032958	SSF56104	NA	NA	PF03770	G3DSA:1.10.510.50	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78535.1	IPR016024	GO:0003779;GO:0016043;GO:0017048;GO:0030036	SSF48371;SSF101447	NA	SM01140;SM01139;SM00498	PF02181;PF06367;PF06371	G3DSA:1.10.238.150;G3DSA:1.20.58.2220;G3DSA:1.25.10.10	mobidb-lite	Coil	NA	PS51444;PS51232;PS51231	NA	NA	NA	NA	NA	NA
PTB80956.1	IPR006068	GO:0016021;GO:0000166;GO:0005388;GO:0006816	SSF81653;SSF81665;SSF81660;SSF56784	Reactome: R-HSA-936837	SM00831	PF00689;PF00690;PF00702;PF00122	G3DSA:2.60.120.1500;G3DSA:2.70.150.10;G3DSA:1.20.1110.10;G3DSA:3.40.1110.10;G3DSA:3.40.50.1000	NA	NA	cd02083	NA	NA	PS00154	PR00119;PR00121	NA	TIGR01494;TIGR01116	SFLDG00002;SFLDF00027
PTB75130.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0003676	SSF57667	NA	NA	PF04082;PF00096	G3DSA:3.30.160.60	mobidb-lite	NA	cd12148	PS50157	NA	PS00028	NA	NA	NA	NA
PTB80420.1	IPR037141	GO:0003700;GO:0003677;GO:0006355	SSF49417	NA	NA	PF05224	G3DSA:2.60.40.1390	mobidb-lite	NA	NA	PS51517	NA	NA	NA	NA	NA	NA
PTB74605.1	IPR008253	GO:0016020	NA	NA	NA	PF01284	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77909.1	IPR022226	NA	NA	NA	NA	PF12572	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74451.1	IPR000612	GO:0016021	NA	NA	NA	PF01679	NA	NA	NA	NA	NA	NA	PS01309	NA	NA	NA	NA
PTB71062.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB80121.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	SSF56112	NA	NA	NA	G3DSA:1.10.510.10	mobidb-lite	NA	cd00180	PS50011	NA	NA	NA	NA	NA	NA
PTB74224.1	IPR004843	GO:0016787	SSF56300	NA	NA	PF00149	G3DSA:3.60.21.10	NA	NA	cd07383	NA	NA	NA	NA	NA	NA	NA
PTB77659.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76130.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79230.1	IPR017904	GO:0015629;GO:0030042;GO:0003779	SSF55753	NA	SM00102	PF00241	G3DSA:3.40.20.10	NA	NA	cd11286	PS51263	NA	NA	PR00006	NA	NA	NA
PTB75806.1	IPR036249	NA	SSF52833	NA	SM00916	PF05047	G3DSA:3.40.30.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73358.1	IPR013149	GO:0055114;GO:0008270;GO:0016491	SSF51735;SSF50129	Reactome: R-HSA-71384	SM00829	PF00107;PF08240	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	NA	cd05285	NA	NA	PS00059	NA	NA	NA	NA
PTB76410.1	IPR000832	GO:0004930;GO:0007186;GO:0016021;GO:0004888;GO:0007166	SSF81321	NA	NA	PF00002	G3DSA:1.20.1070.10	NA	NA	cd13952	PS50261	NA	NA	NA	NA	NA	NA
PTB81750.1	IPR005142	GO:0070481;GO:0070966;GO:0071025	SSF55315;SSF159065;SSF53137	NA	SM01194	PF03465;PF03464;PF03463	G3DSA:3.30.420.60;G3DSA:3.30.1330.30;G3DSA:2.30.30.870	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	TIGR00111	NA
PTB75947.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77040.1	IPR027417	GO:0005524	SSF52540	NA	SM00382	PF00004	G3DSA:3.40.50.300	NA	NA	cd00009	NA	NA	NA	NA	NA	NA	NA
PTB77528.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74297.1	IPR027417	GO:0005525	SSF52540	NA	SM00178;SM00177	PF00025	G3DSA:3.40.50.300	NA	NA	NA	PS51417	NA	NA	PR00449	NA	NA	NA
PTB73459.1	IPR013083	GO:0005515	SSF57850	NA	SM00184;SM00757;SM00668	PF10607;PF13445	G3DSA:3.30.40.10	mobidb-lite	NA	cd16652	PS51867;PS50896;PS50897	NA	NA	NA	NA	NA	NA
PTB75396.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78025.1	IPR007466	GO:0004668;GO:0009446	SSF55909	KEGG: 00330+3.5.3.12|MetaCyc: PWY-43	NA	PF04371	G3DSA:3.75.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80382.1	IPR036554	GO:0005524;GO:0004631	SSF54211;SSF55060	KEGG: 00900+2.7.4.2|MetaCyc: PWY-7391|MetaCyc: PWY-922	NA	PF00288;PF08544	G3DSA:3.30.70.890;G3DSA:3.30.230.10	NA	NA	cd16951	NA	PIRSF017288	NA	NA	NA	NA	NA
PTB76796.1	IPR029035	GO:0008270;GO:0017136;GO:0070403	SSF52467	NA	NA	PF02146	G3DSA:3.40.50.1220;G3DSA:3.30.1600.10	mobidb-lite	Coil	cd01408	PS50305	PIRSF037938	NA	NA	NA	NA	NA
PTB71265.1	IPR004153		NA	Reactome: R-HSA-114608|Reactome: R-HSA-194313|Reactome: R-HSA-195399	NA	PF03128	NA	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA
PTB80304.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA
PTB79554.1	IPR001208	GO:0003677;GO:0005524;GO:0006270;GO:0006260;GO:0003678;GO:0042555	SSF50249;SSF52540	Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69052	SM00350	PF00493;PF14551;PF17855;PF17207	G3DSA:2.20.28.10;G3DSA:3.30.1640.10;G3DSA:3.40.50.300;G3DSA:2.40.50.140	mobidb-lite	NA	cd17755	PS50051	NA	PS00847	PR01657;PR01660	NA	NA	NA
PTB80712.1	IPR035647	GO:0005525;GO:0003924	SSF54980;SSF50447;SSF54211;SSF52540	NA	SM00889;SM00838	PF03764;PF00679;PF03144;PF14492;PF00009	G3DSA:2.40.30.10;G3DSA:3.30.70.240;G3DSA:3.30.70.870;G3DSA:3.30.230.10;G3DSA:3.40.50.300;G3DSA:3.90.1430.10	NA	NA	cd01681;cd16261;cd04096;cd01885	PS51722	NA	PS00301	PR00315	NA	TIGR00231	NA
PTB78006.1	IPR036388	GO:0005515;GO:0003700;GO:0006355;GO:0043565	SSF49879;SSF46785	NA	SM00339	PF00250	G3DSA:1.10.10.10;G3DSA:2.60.200.20	mobidb-lite	Coil	cd00060	PS50039;PS50006	NA	NA	PR00053	NA	NA	NA
PTB78251.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81598.1	IPR001810	GO:0005515	SSF81383;SSF51197	NA	SM00558	PF13621;PF12937	G3DSA:2.60.120.650;G3DSA:1.20.1280.50	NA	NA	NA	PS50181;PS51184	NA	NA	NA	NA	NA	NA
PTB76721.1	IPR018181		SSF53067;SSF100920;SSF100934	Reactome: R-HSA-3371453	NA	PF00012	G3DSA:3.30.420.40;G3DSA:1.20.1270.10;G3DSA:2.60.34.10;G3DSA:3.90.640.10	NA	Coil	cd10241	NA	NA	PS01036;PS00297;PS00329	PR00301	NA	NA	NA
PTB77871.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81551.1	IPR000938		SSF74924	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5626467|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	SM01052	PF16641;PF01302	G3DSA:2.30.30.190	mobidb-lite	Coil	NA	PS50245	NA	NA	NA	NA	NA	NA
PTB81081.1	IPR025423	NA	NA	NA	NA	PF13664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74579.1	IPR000782	NA	SSF82153	NA	NA	NA	G3DSA:2.30.180.10	NA	NA	NA	PS50213	NA	NA	NA	NA	NA	NA
PTB73580.1	IPR029033	NA	SSF53254	NA	SM00855	PF00300	G3DSA:3.40.50.1240	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78908.1	IPR000572	GO:0042128;GO:0016491;GO:0055114;GO:0030151	SSF56524;SSF81296	Reactome: R-HSA-1614517	NA	PF00174;PF03404	G3DSA:2.60.40.650;G3DSA:3.90.420.10	mobidb-lite	NA	cd02110	NA	NA	NA	PR00407	NA	NA	NA
PTB73787.1	NA	NA	SSF69318	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81361.1	IPR013087	GO:0003676	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	PS50157	NA	NA	NA	NA	NA	NA
PTB75017.1	IPR011547	GO:0008272;GO:0015116;GO:0016021;GO:0008271;GO:0016020;GO:0055085	NA	Reactome: R-HSA-427601	NA	PF00916	NA	mobidb-lite	NA	NA	NA	NA	PS01130	NA	NA	TIGR00815	NA
PTB77783.1	NA	NA	SSF54768	NA	NA	NA	G3DSA:3.30.160.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79740.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81954.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	NA	NA	NA	G3DSA:4.10.240.10	NA	NA	cd00067	NA	NA	NA	NA	NA	NA	NA
PTB74819.1	IPR036249	GO:0055114	SSF52833	NA	NA	PF13911	G3DSA:3.40.30.10	mobidb-lite	NA	cd02970	NA	NA	NA	NA	NA	NA	NA
PTB75160.1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	SSF48264	NA	NA	PF00067	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	NA	PR00385;PR00463	NA	NA	NA
PTB77364.1	NA	NA	NA	NA	NA	NA	G3DSA:3.40.220.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79704.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB78042.1	IPR013783		SSF81296	Reactome: R-HSA-1445148|Reactome: R-HSA-1632852|Reactome: R-HSA-2151209|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-6804756|Reactome: R-HSA-9613354|Reactome: R-HSA-9619483	NA	PF16561	G3DSA:2.60.40.10	NA	NA	cd02859	NA	NA	NA	NA	NA	NA	NA
PTB77862.1	IPR005607	NA	SSF140383	NA	SM00751	PF03909	G3DSA:1.10.3970.10	mobidb-lite	Coil	NA	PS50858	NA	NA	NA	NA	NA	NA
PTB74132.1	IPR006162	GO:0031177;GO:0003824	SSF47336;SSF52777;SSF56801	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	SM00823	PF00668;PF00550;PF00501	G3DSA:1.10.1200.10;G3DSA:3.30.559.10;G3DSA:3.30.300.30;G3DSA:3.30.559.30;G3DSA:3.40.50.12780	NA	NA	cd05918	PS50075	NA	PS00012;PS00455	NA	NA	TIGR01733	NA
PTB75151.1	IPR001753	GO:0003824	SSF52096	NA	NA	PF00378	G3DSA:3.90.226.10	NA	NA	cd06558	NA	NA	NA	NA	NA	NA	NA
PTB73276.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74609.1	IPR006195	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0016874;GO:0005737	SSF55681	Reactome: R-HSA-379726	NA	PF00152	G3DSA:3.30.1360.30;G3DSA:3.30.930.10	NA	NA	NA	PS50862	NA	NA	PR01042	NA	TIGR00459	NA
