Gene	Gene3D	interpro	GO	ProSiteProfiles	SUPERFAMILY	Pfam	SMART	MobiDBLite	PATHWAY	ProSitePatterns	CDD	Coils	PRINTS	TIGRFAM	Hamap	PIRSF	SFLD
PNP47231.1	G3DSA:2.20.28.70	IPR001975	GO:0003735;GO:0005840;GO:0006412	NA	SSF57829	PF01020	SM01377	NA	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-1169091|Reactome: R-HSA-1169408|Reactome: R-HSA-1234176|Reactome: R-HSA-1236382|Reactome: R-HSA-1236974|Reactome: R-HSA-1253288|Reactome: R-HSA-1295596|Reactome: R-HSA-1358803|Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-162588|Reactome: R-HSA-168638|Reactome: R-HSA-168927|Reactome: R-HSA-168928|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-174490|Reactome: R-HSA-175474|Reactome: R-HSA-179409|Reactome: R-HSA-1799339|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-182971|Reactome: R-HSA-187577|Reactome: R-HSA-192823|Reactome: R-HSA-195253|Reactome: R-HSA-201681|Reactome: R-HSA-202424|Reactome: R-HSA-205043|Reactome: R-HSA-209543|Reactome: R-HSA-209560|Reactome: R-HSA-211733|Reactome: R-HSA-2122947|Reactome: R-HSA-2122948|Reactome: R-HSA-2173788|Reactome: R-HSA-2173791|Reactome: R-HSA-2173795|Reactome: R-HSA-2173796|Reactome: R-HSA-2408557|Reactome: R-HSA-2467813|Reactome: R-HSA-2559580|Reactome: R-HSA-2559582|Reactome: R-HSA-2559585|Reactome: R-HSA-2565942|Reactome: R-HSA-2644606|Reactome: R-HSA-2672351|Reactome: R-HSA-2691232|Reactome: R-HSA-2871837|Reactome: R-HSA-2894862|Reactome: R-HSA-2979096|Reactome: R-HSA-3134975|Reactome: R-HSA-3322077|Reactome: R-HSA-349425|Reactome: R-HSA-3769402|Reactome: R-HSA-3785653|Reactome: R-HSA-382556|Reactome: R-HSA-400253|Reactome: R-HSA-445989|Reactome: R-HSA-450302|Reactome: R-HSA-450321|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-4641263|Reactome: R-HSA-5205685|Reactome: R-HSA-532668|Reactome: R-HSA-5357905|Reactome: R-HSA-5357956|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5654726|Reactome: R-HSA-5654727|Reactome: R-HSA-5654732|Reactome: R-HSA-5654733|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5675221|Reactome: R-HSA-5675482|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5684264|Reactome: R-HSA-5685942|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689877|Reactome: R-HSA-5689880|Reactome: R-HSA-5689896|Reactome: R-HSA-5689901|Reactome: R-HSA-5693565|Reactome: R-HSA-5693607|Reactome: R-HSA-5696394|Reactome: R-HSA-5696395|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6783310|Reactome: R-HSA-6791226|Reactome: R-HSA-6804756|Reactome: R-HSA-6804757|Reactome: R-HSA-6804760|Reactome: R-HSA-6807004|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69231|Reactome: R-HSA-69481|Reactome: R-HSA-69541|Reactome: R-HSA-69601|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-75815|Reactome: R-HSA-8849469|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828|Reactome: R-HSA-8863795|Reactome: R-HSA-8866652|Reactome: R-HSA-8866654|Reactome: R-HSA-8875360|Reactome: R-HSA-8876493|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948747|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-901032|Reactome: R-HSA-9010553|Reactome: R-HSA-9013507|Reactome: R-HSA-9013973|Reactome: R-HSA-9014325|Reactome: R-HSA-9020702|Reactome: R-HSA-9033241|Reactome: R-HSA-912631|Reactome: R-HSA-917729|Reactome: R-HSA-917937|Reactome: R-HSA-936440|Reactome: R-HSA-936964|Reactome: R-HSA-937039|Reactome: R-HSA-937041|Reactome: R-HSA-937042|Reactome: R-HSA-937072|Reactome: R-HSA-9604323|Reactome: R-HSA-9613829|Reactome: R-HSA-9615710|Reactome: R-HSA-9645460|Reactome: R-HSA-975110|Reactome: R-HSA-975144|Reactome: R-HSA-975163|Reactome: R-HSA-975956|Reactome: R-HSA-975957|Reactome: R-HSA-977225|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA
PNP37151.1	NA	IPR028217	NA	NA	NA	PF14615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40947.1	NA	IPR010730	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP37646.1	G3DSA:3.20.20.100	IPR036812	GO:0016491;GO:0055114	NA	SSF51430	PF00248	NA	NA	NA	NA	NA	NA	PR00069	NA	NA	NA	NA
PNP37634.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46506.1	G3DSA:3.40.50.1820;G3DSA:1.10.3020.20;G3DSA:2.60.120.260	IPR029058	GO:0008239;GO:0016787	NA	SSF53474;SSF49785	PF08530;PF02129	SM00939	NA	NA	NA	NA	NA	NA	TIGR00976	NA	NA	NA
PNP37261.1	G3DSA:2.30.30.30;G3DSA:2.40.50.740;G3DSA:3.10.290.40	IPR000876	GO:0003735;GO:0005840;GO:0006412;GO:0003723	PS50889	NA	PF00467;PF08071;PF16121;PF00900	SM00363	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS00528	cd00165;cd06087	NA	NA	NA	MF_00485	PIRSF002116	NA
PNP41528.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP37046.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP46196.1	G3DSA:3.40.30.10	IPR036249	NA	NA	SSF52833	PF06110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP47406.1	NA	IPR016024	GO:0003677;GO:0005730;GO:0006355;GO:0008134	NA	SSF48371	PF04931	NA	mobidb-lite	Reactome: R-HSA-5250924	NA	NA	NA	NA	NA	NA	NA	NA
PNP38517.1	G3DSA:3.40.1110.10;G3DSA:1.20.1110.10;G3DSA:2.60.120.1500;G3DSA:2.70.150.10	IPR023299	GO:0000166;GO:0016021;GO:0008553;GO:0120029	NA	SSF56784;SSF81653;SSF81665	PF00122;PF00690;PF00702	SM00831	mobidb-lite	Reactome: R-HSA-936837	PS00154	NA	NA	PR00120;PR00119	TIGR01494;TIGR01647	NA	NA	SFLDS00003;SFLDF00027
PNP47454.1	G3DSA:3.60.130.10	IPR003819	GO:0016491;GO:0055114	NA	SSF51197	PF02668	NA	NA	Reactome: R-HSA-71262	NA	NA	NA	NA	NA	NA	NA	NA
PNP47308.1	NA	IPR021054	NA	NA	NA	PF12296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46153.1	NA	IPR019325	GO:0007034;GO:0030001	NA	NA	PF10176	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38885.1	G3DSA:3.30.428.10	IPR001310	GO:0003824	PS51084	SSF54197	PF01230	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP41451.1	G3DSA:3.40.140.20;G3DSA:1.10.287.440;G3DSA:3.40.50.1380	IPR024051	GO:0003937;GO:0004643;GO:0006164;GO:0003824	PS51855	SSF53927;SSF52335	PF02142;PF01808	SM00798;SM00851	NA	KEGG: 00230+3.5.4.10+2.1.2.3|KEGG: 00670+2.1.2.3|MetaCyc: PWY-6123|MetaCyc: PWY-6124|MetaCyc: PWY-7234|Reactome: R-HSA-73817	NA	cd01421	NA	NA	TIGR00355	MF_00139	PIRSF000414	NA
PNP37463.1	G3DSA:3.40.50.1820	IPR000254	GO:0005576;GO:0005975;GO:0030248;GO:0016787	PS51164	SSF53474;SSF57180	PF00734;PF01083	SM00236;SM01110	mobidb-lite	NA	PS00562	NA	NA	NA	NA	NA	NA	NA
PNP41482.1	NA	IPR008521	GO:0015095;GO:0015693;GO:0016021	NA	SSF103481	PF05653	NA	mobidb-lite	Reactome: R-HSA-5223345	NA	NA	NA	NA	NA	NA	NA	NA
PNP37129.1	G3DSA:1.50.40.10	IPR023395	NA	PS50920	SSF103506	PF00153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP44767.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41803.1	G3DSA:3.40.718.10	IPR024084	GO:0016616;GO:0055114;GO:0004449;GO:0006099;GO:0000287;GO:0051287	NA	SSF53659	PF00180	SM01329	NA	Reactome: R-HSA-71403	PS00470	NA	NA	NA	TIGR00175	NA	NA	NA
PNP45022.1	G3DSA:3.90.1280.20;G3DSA:1.10.3080.10;G3DSA:3.10.580.20	IPR014743	GO:0005247;GO:0006821;GO:0016020;GO:0055085	PS51371	SSF81340;SSF54631	PF00654	NA	mobidb-lite	Reactome: R-HSA-2672351	NA	cd04591	NA	NA	NA	NA	NA	NA
PNP41394.1	G3DSA:1.10.275.10;G3DSA:1.20.200.10;G3DSA:1.10.40.30	IPR005677	GO:0004333;GO:0006106;GO:0045239;GO:0006099;GO:0016829;GO:0003824	NA	SSF48557	PF00206;PF10415	NA	NA	KEGG: 00020+4.2.1.2|KEGG: 00620+4.2.1.2|KEGG: 00720+4.2.1.2|MetaCyc: PWY-5392|MetaCyc: PWY-561|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7254|MetaCyc: PWY-7384|Reactome: R-HSA-71403	PS00163	cd01362	NA	PR00149	TIGR00979	MF_00743	NA	NA
PNP40177.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP40310.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP39276.1	G3DSA:2.170.150.70	IPR006913	GO:0016846	NA	SSF51316	PF04828	NA	NA	KEGG: 00680+4.4.1.22|MetaCyc: PWY-1801	NA	NA	NA	NA	NA	NA	NA	NA
PNP37973.1	NA	IPR025040	NA	NA	NA	PF13136	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP38767.1	G3DSA:2.120.10.10	IPR036278		NA	SSF50939	PF13088	NA	NA	KEGG: 00511+3.2.1.18|KEGG: 00600+3.2.1.18|Reactome: R-HSA-1660662|Reactome: R-HSA-4085001	NA	cd15482	NA	NA	NA	NA	NA	NA
PNP41442.1	G3DSA:2.60.40.640	IPR014756	NA	NA	SSF81296	PF00339	SM01017	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46094.1	G3DSA:3.40.50.300;G3DSA:3.40.1170.10;G3DSA:3.30.420.110;G3DSA:1.10.1420.10	IPR007695	GO:0005524;GO:0006298;GO:0030983	NA	SSF52540;SSF55271;SSF53150;SSF48334	PF01624;PF05188;PF05192;PF00488;PF05190	SM00534;SM00533	mobidb-lite	Reactome: R-HSA-5632928	PS00486	NA	Coil	NA	NA	NA	PIRSF037677	NA
PNP44537.1	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	IPR015421	GO:0003824;GO:0006520;GO:0016829	NA	SSF53383	PF01212	NA	NA	Reactome: R-HSA-6783984	NA	NA	NA	NA	NA	NA	NA	NA
PNP40101.1	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	IPR004046	GO:0005515	PS50404;PS50405	SSF47616;SSF52833	PF00043;PF02798	NA	NA	NA	NA	cd10291;cd03048	NA	NA	NA	NA	NA	SFLDG01151;SFLDS00019
PNP38047.1	G3DSA:3.30.420.10	IPR036397	GO:0003676;GO:0004523	PS50879	SSF53098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40738.1	G3DSA:2.60.40.1390	IPR024061	GO:0003677;GO:0003700;GO:0006355	PS51517	SSF49417	PF05224	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41619.1	G3DSA:3.30.160.60	IPR013087	GO:0003676	PS50157	SSF57667	PF00096	SM00355	mobidb-lite	NA	PS00028	NA	NA	NA	NA	NA	NA	NA
PNP45713.1	G3DSA:1.10.10.60	IPR009057	GO:0003677	PS51294	SSF46689	PF13921;PF11831	SM00717	mobidb-lite	Reactome: R-HSA-72163	NA	cd00167;cd11659	Coil	NA	NA	NA	NA	NA
PNP39712.1	G3DSA:3.40.50.300	IPR003439	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085;GO:0016020	PS50893	SSF52540	PF00005;PF06422;PF01061;PF14510	SM00382	mobidb-lite	Reactome: R-HSA-1369062	PS00211	cd03232;cd03233;cd06175	NA	NA	NA	NA	NA	NA
PNP48726.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45279.1	G3DSA:3.10.330.10;G3DSA:1.10.286.60;G3DSA:2.40.40.50	IPR004854	GO:0006511	NA	NA	PF03152;PF16558	NA	NA	Reactome: R-HSA-110320|Reactome: R-HSA-5689880	NA	NA	NA	NA	NA	NA	NA	NA
PNP42318.1	G3DSA:3.90.1010.10	IPR002871	GO:0005506;GO:0016226;GO:0051536	NA	SSF82649	PF01592	NA	NA	Reactome: R-HSA-1362409	NA	cd06664	NA	NA	TIGR01999	NA	NA	NA
PNP42805.1	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	PF04082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41110.1	G3DSA:2.170.120.12;G3DSA:3.30.1360.270	IPR011263	GO:0003899;GO:0006351;GO:0046983;GO:0003677	NA	SSF55257;SSF56553	PF01000;PF01193	SM00662	NA	NA	PS00446	cd07031	NA	NA	NA	NA	NA	NA
PNP41368.1	G3DSA:1.10.287.370	IPR004127	GO:0006457;GO:0016272;GO:0051082	NA	SSF46579	PF02996	NA	NA	Reactome: R-HSA-389957	NA	cd00584	Coil	NA	TIGR00293	NA	NA	NA
PNP39656.1	G3DSA:1.20.1250.20	IPR020846	GO:0055085	PS50850	SSF103473	PF07690	NA	mobidb-lite	NA	NA	cd17327	NA	NA	NA	NA	NA	NA
PNP40037.1	G3DSA:3.40.630.30	IPR000182	GO:0008080	PS51186	SSF55729	PF13673	NA	NA	NA	NA	cd04301	NA	NA	NA	NA	NA	NA
PNP39299.1	G3DSA:1.20.1250.20	IPR020846	GO:0055085	PS50850	SSF103473	PF07690	NA	mobidb-lite	NA	NA	cd17352	NA	NA	NA	NA	NA	NA
PNP37838.1	G3DSA:2.30.30.1060	IPR021331	NA	NA	NA	PF11160	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45855.1	G3DSA:3.30.230.10;G3DSA:3.30.70.890	IPR016005	GO:0004631;GO:0005524	NA	SSF54211	PF00288;PF08544	NA	NA	KEGG: 00900+2.7.4.2|MetaCyc: PWY-7391|MetaCyc: PWY-922	NA	NA	NA	NA	NA	NA	PIRSF017288	NA
PNP44650.1	NA	IPR013226	NA	NA	NA	PF08316	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45127.1	G3DSA:3.40.50.150	IPR029063	NA	NA	SSF53335	PF04672	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	PIRSF017393	NA
PNP47206.1	NA	IPR006806	GO:0022904	NA	NA	PF04716	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA	NA	NA
PNP38430.1	G3DSA:3.20.20.80	IPR033452		NA	SSF51445	PF17189;PF02055	NA	NA	Reactome: R-HSA-1660662|Reactome: R-HSA-390471	NA	NA	NA	NA	NA	NA	NA	NA
PNP41254.1	G3DSA:3.30.200.130	IPR013924	GO:0006401;GO:0032299	NA	NA	PF08615	NA	NA	NA	NA	cd09271	NA	NA	NA	NA	NA	NA
PNP43768.1	G3DSA:3.40.30.10	IPR013766	GO:0045454;GO:0003756;GO:0016853	PS51352	SSF52833	PF00085;PF13848	NA	mobidb-lite	NA	PS00194	cd02961;cd02982;cd02995;cd02981	Coil	PR00421	TIGR01130;TIGR01126	NA	NA	NA
PNP48763.1	G3DSA:1.10.3450.40	IPR034652	GO:0003723;GO:0005047;GO:0005786;GO:0006614;GO:0008312;GO:0030942	NA	NA	PF16969	NA	mobidb-lite	Reactome: R-HSA-1799339	NA	cd15481	Coil	NA	NA	NA	PIRSF038995	NA
PNP48239.1	G3DSA:3.40.50.620	IPR014729	GO:0003824;GO:0009058;GO:0009435;GO:0016779	NA	SSF52374	PF01467	NA	NA	KEGG: 00760+2.7.7.18|MetaCyc: PWY-5381|MetaCyc: PWY-5653|MetaCyc: PWY-7761|Reactome: R-HSA-196807	NA	NA	NA	NA	TIGR00482	NA	NA	NA
PNP39325.1	G3DSA:3.40.50.720;G3DSA:3.90.180.10	IPR002328	GO:0008270;GO:0016491;GO:0055114	NA	SSF50129;SSF51735	PF00107;PF08240	SM00829	NA	Reactome: R-HSA-71384	PS00059	cd05285	NA	NA	NA	NA	NA	NA
PNP45838.1	G3DSA:1.25.10.10	IPR016024	NA	NA	SSF48371	NA	NA	mobidb-lite	NA	NA	cd13394	NA	NA	NA	NA	NA	NA
PNP41447.1	NA	IPR012479	GO:0006355	NA	NA	PF07818	NA	mobidb-lite	Reactome: R-HSA-427413	NA	NA	NA	NA	NA	NA	NA	NA
PNP46550.1	G3DSA:3.40.50.300	IPR027417	NA	NA	SSF52540	PF17109	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP47349.1	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	PF04082	SM00906	mobidb-lite	NA	NA	cd12148	NA	NA	NA	NA	NA	NA
PNP48052.1	NA	IPR019364	GO:0003712;GO:0006357;GO:0016592	NA	NA	PF10232	NA	mobidb-lite	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	NA	NA	Coil	NA	NA	NA	NA	NA
PNP44749.1	G3DSA:4.10.240.10	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	SSF57701	PF00172	SM00066	NA	NA	PS00463	cd00067	NA	NA	NA	NA	NA	NA
PNP37150.1	G3DSA:3.90.70.10;G3DSA:3.30.40.10	IPR028889	GO:0006511;GO:0036459;GO:0016579	PS50235	SSF57850;SSF54001	PF00443	NA	mobidb-lite	NA	PS00973	cd02660	NA	NA	NA	NA	NA	NA
