Gene	MobiDBLite	interpro	GO	Gene3D	SUPERFAMILY	ProSiteProfiles	Pfam	SMART	Coils	CDD	ProSitePatterns	PRINTS	PATHWAY	TIGRFAM	Hamap	PIRSF	SFLD
PKK47272.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK52256.1	NA	IPR008979	GO:0008239;GO:0016787	G3DSA:3.40.50.1820;G3DSA:1.10.3020.20;G3DSA:2.60.120.260	SSF49785;SSF53474	NA	PF08530;PF02129	SM00939	NA	NA	NA	NA	NA	TIGR00976	NA	NA	NA
PKK51154.1	NA	IPR029510	GO:0016491;GO:0055114;GO:0016620	G3DSA:3.40.605.10;G3DSA:3.40.309.10	SSF53720	NA	PF00171	NA	NA	NA	PS00687	NA	NA	NA	NA	NA	NA
PKK41291.1	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	G3DSA:1.10.510.10;G3DSA:3.30.200.20	SSF56112	PS50011	PF00069	NA	NA	cd00180	NA	NA	NA	NA	NA	NA	NA
PKK45645.1	mobidb-lite	IPR007248	GO:0016021	NA	NA	NA	PF04117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK52126.1	NA	IPR000683	GO:0016491	G3DSA:3.30.360.10;G3DSA:3.40.50.720	SSF55347;SSF51735	NA	PF01408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK47652.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK51379.1	NA	IPR036291	GO:0003854;GO:0006694;GO:0016616;GO:0055114	G3DSA:3.40.50.720	SSF51735	NA	PF01073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK43772.1	NA	IPR029044	GO:0016021;GO:0016757	G3DSA:3.90.550.10	SSF53448	NA	PF09258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK46739.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK51380.1	NA	IPR000960	GO:0004499;GO:0050660;GO:0050661;GO:0055114	G3DSA:3.50.50.60	SSF51905	NA	PF00743	NA	Coil	NA	NA	PR00419	NA	NA	NA	PIRSF000332	NA
PKK44235.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50089.1	mobidb-lite	IPR001487	GO:0005515;GO:0003682	G3DSA:1.20.920.10;G3DSA:2.30.30.490	SSF47370	PS50014;PS51038	PF00439;PF01426	SM00297;SM00439	NA	cd04717;cd04369	PS00633	PR00503	NA	NA	NA	NA	NA
PKK48082.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK41757.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA
PKK49114.1	NA	IPR011008	NA	G3DSA:3.30.70.100	SSF54909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK42307.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK53430.1	NA	IPR000683	GO:0016491	G3DSA:3.40.50.720;G3DSA:3.30.360.10	SSF55347;SSF51735	NA	PF01408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK43046.1	mobidb-lite	IPR020548	GO:0005975;GO:0042578;GO:0016791	G3DSA:3.30.540.10;G3DSA:3.40.190.80	SSF56655	NA	PF00316	NA	NA	NA	PS00124	PR01958	KEGG: 00010+3.1.3.11|KEGG: 00030+3.1.3.11|KEGG: 00051+3.1.3.11|KEGG: 00680+3.1.3.11|KEGG: 00710+3.1.3.11|MetaCyc: PWY-5484|Reactome: R-HSA-70263	NA	NA	NA	NA
PKK50557.1	mobidb-lite	IPR022812	GO:0003924;GO:0005525	G3DSA:3.40.50.300	SSF52540	PS51718;PS51388	PF00350;PF01031	SM00053	Coil	cd08771	NA	PR00195	NA	NA	NA	NA	NA
PKK46254.1	NA	IPR016163	GO:0016491;GO:0016620;GO:0055114	G3DSA:3.40.309.10;G3DSA:3.40.605.10	SSF53720	NA	PF00171	NA	NA	cd07103	NA	NA	NA	NA	NA	NA	NA
PKK49383.1	NA	IPR006076	GO:0016491;GO:0055114	G3DSA:3.50.50.60;G3DSA:3.30.9.10	SSF51905	PS51257	PF01266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK53758.1	NA	IPR035371		G3DSA:3.30.70.3030;G3DSA:1.10.1410.10;G3DSA:3.30.460.10	NA	NA	PF17407;PF17404;PF17403;PF17406;PF03813;PF17405	NA	Coil	NA	NA	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA
PKK41729.1	NA	IPR005123	GO:0016491;GO:0055114;GO:0005506;GO:0016705;GO:0031418	G3DSA:2.60.120.620	NA	PS51471	PF13640	SM00702	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK55048.1	NA	IPR002347	NA	G3DSA:3.40.50.720	SSF51735	NA	PF00106	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA
PKK49709.1	mobidb-lite	NA	NA	NA	NA	NA	PF08700	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK48559.1	mobidb-lite	IPR022024	NA	NA	NA	NA	PF12223	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK52773.1	NA	IPR036291	GO:0016491;GO:0055114	G3DSA:3.40.50.720;G3DSA:3.90.180.10	SSF51735;SSF50129	NA	PF08240	SM00829	NA	cd08249	NA	NA	NA	NA	NA	NA	NA
PKK53989.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK48579.1	NA	IPR029061	GO:0016624;GO:0004739;GO:0006086;GO:0043231	G3DSA:3.40.50.970	SSF52518	NA	PF00676	NA	NA	cd02000	NA	NA	Reactome: R-HSA-389661	TIGR03182	NA	NA	NA
PKK50086.1	mobidb-lite	IPR000014	GO:0006355;GO:0008270;GO:0043565;GO:0005515	G3DSA:3.30.450.20;G3DSA:3.30.50.10	SSF55785;SSF57716	PS50112;PS50114	PF00320;PF08446;PF13426;PF08447	SM00086;SM00401;SM00091	NA	cd00130;cd00202	PS00344	NA	Reactome: R-HSA-383280	TIGR00229	NA	NA	NA
PKK51941.1	NA	IPR036322	GO:0005515	NA	SSF50978	NA	NA	NA	Coil	NA	PS00678	NA	NA	NA	NA	NA	NA
PKK51086.1	mobidb-lite	IPR003846	NA	NA	NA	NA	PF02696	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK54095.1	NA	IPR020846	GO:0055085	G3DSA:1.20.1250.20	SSF103473	PS50850	PF07690	NA	NA	cd17352	NA	NA	NA	NA	NA	NA	NA
PKK42308.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK45666.1	mobidb-lite	IPR003114	GO:0035091;GO:0006400;GO:0008176	G3DSA:3.30.1520.10;G3DSA:1.20.58.1850;G3DSA:3.40.50.150	SSF48097;SSF64268;SSF53335	PS51207;PS50132;PS50195;PS51625	PF00615;PF02194;PF02390;PF08628;PF00787	SM00313;SM00312;SM00315	Coil	cd02440;cd06876	NA	NA	Reactome: R-HSA-6782315	TIGR00091	MF_03055	NA	NA
PKK49313.1	NA	IPR020846	GO:0016020;GO:0022857;GO:0055085;GO:0016021	G3DSA:1.20.1250.20	SSF103473	PS50850	PF00083	NA	NA	cd17356	PS00216	PR00171	Reactome: R-HSA-189200	TIGR00879	NA	NA	NA
PKK46430.1	mobidb-lite	IPR003903	NA	NA	NA	PS50330	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK45743.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK48152.1	mobidb-lite	IPR011022	NA	G3DSA:2.60.40.640	SSF81296	NA	PF02752;PF00339	SM01017	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK48060.1	mobidb-lite	IPR013087	GO:0003676	G3DSA:3.30.160.60	SSF57667	PS50157	PF00096	SM00355	NA	NA	PS00028	NA	NA	NA	NA	NA	NA
PKK46551.1	mobidb-lite	IPR000462	GO:0008654;GO:0016020;GO:0016780	G3DSA:1.20.120.1760	NA	NA	PF01066	NA	NA	NA	PS00379	NA	KEGG: 00260+2.7.8.8|KEGG: 00564+2.7.8.8|MetaCyc: PWY-5669	TIGR00473	NA	PIRSF000852	NA
PKK46815.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50619.1	mobidb-lite	IPR013083	GO:0003676;GO:0000439;GO:0006289;GO:0006351;GO:0006281;GO:0008270	G3DSA:3.30.40.10;G3DSA:3.40.50.410	SSF57889;SSF53300	PS50157;PS50234	PF04056;PF07975	SM00327;SM01047	NA	cd01453	PS00028	NA	NA	TIGR00622	NA	PIRSF015919	NA
PKK46600.1	mobidb-lite	IPR006195	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004829;GO:0005737;GO:0006435;GO:0043039	G3DSA:3.30.930.10;G3DSA:3.10.20.30;G3DSA:3.30.980.10;G3DSA:3.40.50.800	SSF81271;SSF55681;SSF52954;SSF55186	PS50862	PF03129;PF00587;PF02824;PF07973	SM00863	NA	cd01667;cd00771;cd00860	NA	PR01047	KEGG: 00970+6.1.1.3	TIGR00418	MF_00184	NA	NA
PKK52712.1	mobidb-lite	IPR021047	NA	NA	NA	NA	PF11735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK45411.1	NA	IPR015424	GO:0009058;GO:0030170;GO:0003824	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	SSF53383	NA	PF00155	NA	NA	cd00609	NA	NA	NA	NA	NA	NA	NA
PKK48780.1	NA	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0016021	G3DSA:1.20.1250.20	SSF103473	PS50850	PF00083	NA	NA	cd17356	PS00217	PR00171	Reactome: R-HSA-189200	TIGR00879	NA	NA	NA
PKK42624.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK46737.1	mobidb-lite	IPR003891	GO:0003723;GO:0005515	G3DSA:1.25.40.180	SSF48371	PS51366	PF02847;PF02854	SM00543;SM00544	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK45557.1	mobidb-lite	IPR008942	GO:0005543;GO:0003779	G3DSA:1.25.40.90;G3DSA:1.20.1410.10	SSF89009;SSF109885;SSF48464	PS50942;PS50945	PF07651;PF01608	SM00307;SM00273	Coil	cd17007	NA	NA	Reactome: R-HSA-8856828	NA	NA	NA	NA
PKK50732.1	NA	IPR001841	NA	G3DSA:3.30.40.10;G3DSA:1.20.120.1750	SSF57850	PS51873;PS50089	PF01485	NA	Coil	NA	PS00518	NA	NA	NA	NA	NA	NA
PKK52046.1	NA	IPR036291		G3DSA:3.40.50.720;G3DSA:3.90.25.10	SSF51735	NA	PF05368	NA	NA	NA	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA
PKK54383.1	NA	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	G3DSA:4.10.240.10	SSF57701	PS50048	NA	NA	NA	cd12148;cd00067	PS00463	NA	NA	NA	NA	NA	NA
PKK48456.1	mobidb-lite	IPR013536	NA	NA	NA	PS51397	PF08325	NA	NA	cd07344	NA	NA	NA	NA	NA	NA	NA
PKK42310.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	cd18808	NA	NA	NA	NA	NA	NA	NA
PKK52043.1	NA	IPR020846	GO:0055085	G3DSA:1.20.1250.20	SSF103473	PS50850	PF07690	NA	NA	cd17502	NA	NA	NA	NA	NA	NA	NA
PKK52668.1	NA	IPR010636	GO:0005576	G3DSA:3.20.120.10	SSF101751	NA	PF06766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK53010.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK42551.1	NA	IPR002397	GO:0005506;GO:0020037;GO:0055114;GO:0016705	G3DSA:1.10.630.10	SSF48264	NA	PF00067	NA	NA	NA	PS00086	PR00359	NA	NA	NA	NA	NA
PKK44778.1	NA	IPR004046	GO:0005515	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	SSF47616;SSF52833	PS50405;PS50404	PF00043;PF02798	NA	NA	cd03048	NA	NA	NA	NA	NA	NA	SFLDG00358;SFLDG01151
PKK48565.1	mobidb-lite	IPR013497	GO:0003677;GO:0003916;GO:0006265	G3DSA:2.70.20.10;G3DSA:1.10.460.10;G3DSA:3.40.50.140;G3DSA:1.10.290.10	SSF56712	PS50880	PF01751;PF01131	SM00493;SM00436;SM00437	NA	cd00186;cd03362	NA	PR00417	NA	NA	NA	NA	NA
PKK50682.1	mobidb-lite	IPR001202	GO:0005515	G3DSA:2.20.70.10	SSF51045	PS50020	PF00397	SM00456	NA	cd00201	PS01159	NA	NA	NA	NA	NA	NA
PKK50433.1	NA	IPR002347	NA	G3DSA:3.40.50.720	SSF51735	NA	PF00106	NA	NA	NA	NA	PR00080;PR00081	NA	NA	NA	PIRSF000126	NA
PKK52724.1	NA	IPR004240	GO:0016021	NA	NA	NA	PF02990	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK45901.1	NA	IPR001780	GO:0003735;GO:0005840;GO:0006412	G3DSA:2.40.10.190	SSF50447	NA	PF01247	NA	NA	NA	PS01105	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	MF_00573	NA	NA
PKK45022.1	mobidb-lite	IPR036134		G3DSA:1.10.579.10;G3DSA:3.40.50.620;G3DSA:1.25.40.80	SSF48173;SSF52425	PS51645	PF03441;PF00875	NA	NA	NA	NA	NA	Reactome: R-HSA-400253	NA	NA	NA	NA
PKK46519.1	NA	IPR000182	GO:0008080	G3DSA:3.40.630.30	SSF55729	PS51186	PF00583	NA	NA	cd04301	NA	NA	NA	NA	NA	NA	NA
PKK50382.1	mobidb-lite	IPR000210	GO:0005515	NA	SSF54695	PS50097	PF00651	NA	NA	cd18186	NA	NA	NA	NA	NA	NA	NA
PKK51769.1	NA	IPR021858	NA	NA	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK51548.1	NA	IPR012951	GO:0016491;GO:0050660;GO:0055114;GO:0071949	G3DSA:3.30.465.40;G3DSA:3.40.462.20	SSF56176	PS51387	PF08031;PF01565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK47554.1	mobidb-lite	IPR006569	NA	G3DSA:1.25.40.90	NA	PS51391	PF04818	SM00582	NA	cd17003	NA	NA	NA	NA	NA	NA	NA
PKK48984.1	NA	IPR010349	NA	NA	NA	NA	PF06089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK43407.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK53865.1	mobidb-lite	IPR000612	GO:0016021	NA	NA	NA	PF01679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK54128.1	mobidb-lite	IPR000530	GO:0003735;GO:0005840;GO:0006412	G3DSA:3.30.1330.30	SSF55315	NA	PF01248	NA	NA	NA	PS01189	PR00972	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA
PKK43090.1	NA	IPR031100	NA	G3DSA:3.40.50.450	SSF102405	NA	PF03641	NA	NA	NA	NA	NA	NA	TIGR00730	NA	NA	NA
PKK47806.1	NA	IPR008146	GO:0004356;GO:0006807;GO:0006542;GO:0003824	G3DSA:3.30.590.40;G3DSA:3.10.20.70	SSF55931;SSF54368	NA	PF00120;PF03951	SM01230	NA	NA	PS00180;PS00181	NA	KEGG: 00220+6.3.1.2|KEGG: 00250+6.3.1.2|KEGG: 00630+6.3.1.2|KEGG: 00910+6.3.1.2|MetaCyc: PWY-381|MetaCyc: PWY-5675|MetaCyc: PWY-6549|MetaCyc: PWY-6963|MetaCyc: PWY-6964	NA	NA	NA	NA
PKK44517.1	mobidb-lite	IPR021833	NA	G3DSA:1.20.5.170	NA	NA	PF11905	NA	Coil	cd14688	NA	NA	NA	NA	NA	NA	NA
PKK43376.1	mobidb-lite	IPR000757	GO:0004553;GO:0005975	G3DSA:2.60.120.200	SSF49899	PS51762;PS51212	PF01822	SM00321	NA	cd02181	NA	NA	NA	NA	NA	NA	NA
PKK48524.1	NA	IPR029058	NA	G3DSA:3.40.50.1820	SSF53474	NA	PF12697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK43217.1	NA	IPR001375	GO:0006508;GO:0008236	G3DSA:2.120.10.30;G3DSA:3.40.50.1820	SSF82171;SSF53474	NA	PF00326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK47224.1	NA	IPR037523	NA	G3DSA:3.10.180.10	SSF54593	PS51819	PF00903	NA	NA	cd07267	NA	NA	NA	NA	NA	NA	NA
PKK48007.1	NA	IPR004813	GO:0055085	NA	NA	NA	PF03169	NA	NA	NA	NA	NA	NA	TIGR00728	NA	NA	NA
PKK41376.1	NA	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	G3DSA:1.10.630.10	SSF48264	NA	PF00067	NA	NA	NA	NA	PR00465;PR00385	NA	NA	NA	NA	NA
PKK38836.1	mobidb-lite	IPR036789	GO:0003735;GO:0005840;GO:0006412;GO:0019843	G3DSA:3.90.930.12	SSF56053	NA	PF00347	NA	NA	NA	PS00525	PR00059	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA
PKK54255.1	NA	IPR029039	GO:0016491	G3DSA:3.40.50.360	SSF52218	NA	PF03358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK54317.1	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	G3DSA:4.10.240.10	SSF57701	PS50048	PF04082;PF00172	SM00066;SM00906	Coil	cd12148;cd00067	PS00463	NA	NA	NA	NA	NA	NA
PKK48948.1	mobidb-lite	IPR018823	NA	NA	NA	NA	PF10337;PF13515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK53281.1	mobidb-lite	IPR004827	GO:0003700;GO:0006355	G3DSA:1.20.5.170	SSF57959	NA	NA	SM00338	Coil	cd14688	PS00036	NA	NA	NA	NA	NA	NA
PKK45960.1	mobidb-lite	IPR023395	NA	G3DSA:1.50.40.10	SSF103506	PS50920	PF00153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK55213.1	NA	IPR035476	GO:0004347;GO:0006096;GO:0006094	G3DSA:3.40.50.10490;G3DSA:1.10.1390.10	SSF53697	PS51463	PF00342	NA	NA	cd05015;cd05016	PS00174;PS00765	PR00662	KEGG: 00010+5.3.1.9|KEGG: 00030+5.3.1.9|KEGG: 00500+5.3.1.9|KEGG: 00520+5.3.1.9|MetaCyc: PWY-3801|MetaCyc: PWY-5054|MetaCyc: PWY-5384|MetaCyc: PWY-5514|MetaCyc: PWY-5659|MetaCyc: PWY-6142|MetaCyc: PWY-621|MetaCyc: PWY-622|MetaCyc: PWY-6981|MetaCyc: PWY-6992|MetaCyc: PWY-7238|MetaCyc: PWY-7347|MetaCyc: PWY-7385|MetaCyc: PWY-8013|Reactome: R-HSA-5628897|Reactome: R-HSA-6798695|Reactome: R-HSA-70171|Reactome: R-HSA-70263	NA	MF_00473	NA	NA
PKK43168.1	NA	IPR014721	GO:0003735;GO:0005840;GO:0006412	G3DSA:3.30.230.10	SSF54211	NA	PF00380	NA	NA	NA	PS00360	NA	NA	NA	NA	NA	NA
PKK37306.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK46266.1	mobidb-lite	IPR017986	GO:0005515;GO:0036265	G3DSA:2.130.10.10	SSF50998	PS50294	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-6782315	NA	MF_03056	NA	NA
PKK45434.1	NA	IPR002938	GO:0071949	G3DSA:3.40.30.120;G3DSA:3.50.50.60;G3DSA:3.30.9.50	SSF51905	NA	PF01494	NA	NA	NA	NA	PR00420	NA	NA	NA	NA	NA
PKK51981.1	NA	IPR020846	GO:0016021;GO:0022857;GO:0055085;GO:0016020	G3DSA:1.20.1250.20	SSF103473	PS50850	PF00083	NA	NA	cd17356	PS00217;PS00216	PR00171	Reactome: R-HSA-189200	TIGR00879	NA	NA	NA
PKK40864.1	mobidb-lite	IPR001452	GO:0005515	G3DSA:2.30.30.40	SSF50044	PS50002	NA	SM00326	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK51106.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK53005.1	mobidb-lite	IPR021765	GO:0043386	NA	NA	NA	PF11807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK48924.1	mobidb-lite	IPR029058	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK51809.1	NA	IPR013094	GO:0016787	G3DSA:3.40.50.1820	SSF53474	NA	PF07859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50974.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK43863.1	NA	IPR013815	GO:0005524;GO:0004637;GO:0009113;GO:0004641;GO:0006189;GO:0046872	G3DSA:3.30.1490.20;G3DSA:3.30.1330.10;G3DSA:3.90.600.10;G3DSA:3.30.470.20;G3DSA:3.90.650.10;G3DSA:3.40.50.20	SSF56059;SSF51246;SSF56042;SSF55326;SSF52440	PS50975	PF01071;PF02769;PF00586;PF02844;PF02843	SM01209;SM01210	NA	cd02196	PS00184	NA	KEGG: 00230+6.3.4.13|MetaCyc: PWY-6121|MetaCyc: PWY-6122|MetaCyc: PWY-6277|Reactome: R-HSA-73817	TIGR00878;TIGR00877	MF_00741;MF_00138	NA	NA
